Taxa,27/03/2019,30/04/2019,14/05/2019,26/06/2019,08/07/2019,29/08/2019 (8m),29/08/2019 (I),17/09/2019,21/10/2019,19/11/2019,15/12/2019,21/01/2020,12/02/2020,17/03/2020,20/04/2020,13/05/2020,23/06/2020,06/07/2020,05/08/2020,16/09/2020,22/10/2020,11/11/2020
Achnanthidium minutissimum,0.089,3.381,,,,,,,,,,,,,,2.124,1.416,2.124,0.020,10.620,2.124,2.124
Aulacoseira granulata,,,,,,,,,0.090,,,,,,,,,,,,,
Cyclotella sp.,59.439,,,628.918,649.205,10.654,6.037,11.514,13.948,10.144,0.355,102.112,99.828,181.602,96.292,539.496,344.088,142.308,157.176,244.260,33.984,293.112
Cymbella sp.,,,,,,,,,,,,3.186,,,,,,,,,,
Encyonopsis sp.,,,,,,,,,,1.421,,,,,,,,,,,,
Fragilaria crotonensis,7.902,,,,,,,,,,,,,,,,,,,,,
Fragilaria nanana,,1173.608,1541.638,207.045,130.690,6.037,9.234,1.776,1.657,0.710,3.551,0.160,,,,,,,,,,
Fragilaria sp.,,,,,,,,,,,,,14.868,,,,,,,,0.040,0.040
Gomphonema sp.,0.355,,,,,,,,,,,,,,,,,,,,,
Navicula radiosa,,,,,,,,,,1.065,0.330,0.120,2.124,,,,,,,,,
Navicula sp.,,,,5.072,5.072,0.060,2.636,15.336,24.447,0.710,1.268,3.186,4.248,1.416,0.532,1.416,,0.280,0.040,,0.680,1.280
Nitzschia acicularis,,,,,,,,,,0.880,,,,,,,,,,,,
Nitzschia sp.,4.794,,,,,,,,0.592,0.355,0.010,38.232,,10.620,,2.124,0.708,0.520,0.280,,,0.160
Stephanodiscus hantzschii,,,,,,,,,,,,,,0.354,,,,,,,,0.880
Tabellaria fenestrata,,,,,,,,,,,,0.120,,,,,,,,,,
Ulnaria acus,,8.523,4.735,0.020,,,,,,,,,,,,,,,,,,
Ulnaria ulna,4.084,,,,,,,,,,,,,,,,,,,,,
Closterium aciculare,,,,,,,,,0.340,1.130,1.590,2.000,38.232,2.478,0.300,0.880,0.160,0.160,,,0.080,0.120
Closterium sp.,,,,,,,,,,,,0.040,,,,,,,,,,
Cosmarium bioculatum,,6.763,30.432,121.726,175.566,1838.570,2193.604,682.758,,,,,,,,,,,,,,
Cosmarium laeve,,0.474,,0.178,0.355,4.262,0.710,2.536,0.237,,,,,1.062,0.020,,,0.040,,,0.160,0.080
Cosmarium majae,,,,,,,,,,,,,,,6.372,3.540,69.384,110.448,3156.264,10301.400,497.016,664.812
Cosmarium sp.,,,,,,,,,2.536,,,0.080,2.124,,,,,,,,,
Elakatothrix gelatinosa,,,,,,,,,,,,,,,,1.416,1.416,0.680,0.200,,4.248,1.360
Mougeotia sp.,,,,,,0.220,0.230,2.590,8.405,1.150,8.000,11.320,112.572,,0.060,4.602,0.080,,,,0.120,0.760
Ankistrodesmus falcatus,,,,,,,,,,,,,,,,,,,0.040,,63.720,19.116
Carteria multifilis,,,,,,,,,,,,,,,,,,1.040,31.860,10.620,,
Carteria sp.,,,,,,,,,,,,,,,,,18.408,,,,,
Chlamydomonas sp.,,16.906,,,3.804,3.804,5.072,8.876,16.484,5.072,32.967,3.186,6.372,,,1.416,0.708,3.540,46.728,90.270,25.488,6.372
