Taxa,27/03/2019,30/04/2019,14/05/2019,26/06/2019,08/07/2019,29/08/2019 (8m),29/08/2019 (I),17/09/2019,21/10/2019,19/11/2019,15/12/2019,21/01/2020,12/02/2020,17/03/2020,20/04/2020,13/05/2020,23/06/2020,06/07/2020,05/08/2020,16/09/2020,22/10/2020,11/11/2020
Achnanthidium minutissimum,2.242E-05,8.538E-04,,,,,,,,,,,,,,5.363E-04,3.575E-04,5.363E-04,5.050E-06,2.682E-03,5.363E-04,5.363E-04
Aulacoseira granulata,,,,,,,,,1.540E-04,,,,,,,,,,,,,
Cyclotella sp.,7.045E-03,,,3.786E-01,3.908E-01,1.567E-02,8.881E-03,6.471E-03,2.904E-03,3.713E-03,1.877E-03,8.729E-02,9.856E-02,2.114E-01,1.283E-01,8.233E-01,5.061E-01,2.093E-01,7.260E-02,2.327E-02,1.570E-02,1.397E-01
Cymbella sp.,,,,,,,,,,,,7.965E-04,,,,,,,,,,
Encyonopsis sp.,,,,,,,,,,1.144E-03,,,,,,,,,,,,
Fragilaria crotonensis,3.687E-03,,,,,,,,,,,,,,,,,,,,,
Fragilaria nanana,,2.710E-01,3.560E-01,4.781E-02,3.018E-02,1.394E-03,2.132E-03,4.100E-04,3.827E-04,1.640E-04,8.200E-04,3.695E-05,,,,,,,,,,
Fragilaria sp.,,,,,,,,,,,,,1.625E-02,,,,,,,,4.373E-05,4.373E-05
Gomphonema sp.,1.656E-04,,,,,,,,,,,,,,,,,,,,,
Navicula radiosa,,,,,,,,,,2.008E-04,5.521E-03,2.007E-03,3.553E-02,,,,,,,,,
Navicula sp.,,,,1.480E-03,1.779E-03,5.022E-04,2.536E-03,1.120E-02,1.663E-02,1.809E-04,2.564E-04,5.282E-03,5.232E-03,1.442E-03,1.553E-04,4.550E-04,,2.255E-04,3.348E-04,,2.968E-03,2.544E-03
Nitzschia acicularis,,,,,,,,,,1.472E-02,,,,,,,,,,,,
Nitzschia sp.,1.191E-03,,,,,,,,3.743E-04,1.911E-04,1.969E-05,3.913E-02,,1.087E-02,,2.174E-03,7.246E-04,5.322E-04,2.866E-04,,,4.057E-05
Stephanodiscus hantzschii,,,,,,,,,,,,,,6.618E-04,,,,,,,,1.645E-03
Tabellaria fenestrata,,,,,,,,,,,,3.610E-04,,,,,,,,,,
Ulnaria acus,,2.183E-02,1.213E-02,5.123E-05,,,,,,,,,,,,,,,,,,
Ulnaria ulna,4.038E-02,,,,,,,,,,,,,,,,,,,,,
Closterium aciculare,,,,,,,,,2.137E-03,7.104E-03,9.996E-03,1.991E-02,3.806E-01,2.467E-02,2.987E-03,8.761E-03,1.593E-03,1.593E-03,,,7.964E-04,1.195E-03
Closterium sp.,,,,,,,,,,,,1.679E-03,,,,,,,,,,
Cosmarium bioculatum,,3.108E-03,1.399E-02,5.595E-02,8.070E-02,8.451E-01,1.008E+00,3.138E-01,,,,,,,,,,,,,,
Cosmarium laeve,,2.911E-04,,1.092E-04,2.183E-04,2.620E-03,4.366E-04,1.559E-03,1.455E-04,,,,,6.528E-04,1.229E-05,,,2.459E-05,,,9.836E-05,4.918E-05
Cosmarium majae,,,,,,,,,,,,,,,1.127E-03,6.260E-04,1.227E-02,1.953E-02,5.582E-01,1.822E+00,8.789E-02,1.176E-01
Cosmarium sp.,,,,,,,,,3.218E-04,,,1.009E-05,2.680E-04,,,,,,,,,
Elakatothrix gelatinosa,,,,,,,,,,,,,,,,1.642E-04,1.642E-04,7.883E-05,2.319E-05,,4.925E-04,1.577E-04
Mougeotia sp.,,,,,,2.022E-03,2.114E-03,2.380E-02,7.723E-02,5.202E-03,3.619E-02,9.958E-03,9.902E-02,,5.278E-05,4.048E-03,7.037E-05,,,,1.056E-04,6.685E-04
Ankistrodesmus falcatus,,,,,,,,,,,,,,,,,,,4.400E-06,,7.009E-03,2.103E-03
Carteria multifilis,,,,,,,,,,,,,,,,,,1.494E-03,4.578E-02,1.526E-02,,
Carteria sp.,,,,,,,,,,,,,,,,,1.195E-02,,,,,
Chlamydomonas sp.,,4.328E-04,,,9.737E-05,9.737E-05,1.298E-04,2.272E-04,7.655E-04,1.700E-04,5.808E-03,1.068E-04,4.063E-04,,,1.635E-04,8.175E-05,4.087E-04,5.395E-03,1.042E-02,2.943E-03,7.357E-04
Chlorella sp.,,1.859E-04,3.996E-03,5.228E-04,,7.575E-04,8.417E-05,2.579E-03,1.120E-03,,,,,,,,,,,,1.269E-03,9.869E-04
Desmodesmus abundans,,,,,,,,,3.589E-04,1.077E-03,,,,,,,,,,,,
Kirchneriella bibraiana,,,,,,,,,,,,,,,0.000E+00,,,,,,,
Kirchneriella dianae,,,,,,,,,,,,,,,,,,,,,,3.336E-04
Kirchneriella irregularis,,,,,,,,,,,,,,,,,,,,,3.255E-04,4.650E-05
Monoraphidium circinale,,,,,,,,,,,,,,,,,,,,4.542E-02,,
Monoraphidium contortum,,,,,,,,,,,,2.549E-04,,,,,,,,,,
Monoraphidium komarkovae,,9.123E-05,,,,,,,,,,,,,,,,,,,,
Monoraphidium minutum,,,,,,,,,4.861E-05,,,,,,,,,,,,,
Oocystis marssonii,,,,1.007E-03,,,,,1.007E-03,,1.007E-03,,,,,,1.038E-02,,,,,
Oocystis parva,,,,,,1.863E-04,,,,,,,,,5.249E-04,1.125E-04,8.924E-03,3.000E-04,,,,1.125E-03
Oocystis solitaria,,,,,,,,,,,,,,,,1.910E-03,,,,,,
Pediastrum boryanum,,,,,,,1.614E-05,4.036E-05,,,,,,,,,,,,,,
Pediastrum duplex,,,,,6.293E-03,,,,,,,,,,,,,,,,,
Planktosphaeria gelatinosa,,,,,2.583E-01,,,,,,,,,,,,,,,,,
Polytoma cordatum,,,,,,,,,,,1.501E-03,,,,,,,,,,,
Polytoma sp.,,,,,,,,,,,,1.131E-02,,,,,,,,,,
Scenedesmus aculeolatus,,,,,,,,,,,,,,,,,,,,,,4.081E-06
Scenedesmus armatus,,,,,,,,,,,,,,,,,,,,,3.191E-05,
Scenedesmus ecornis,,,,,,5.469E-04,5.469E-04,3.646E-04,,,,,,,,4.071E-04,1.150E-05,,,,,
Scenedesmus ellipticus,,,,,,,,,,,,,,,,,,,,,,6.940E-05
Scenedesmus linearis,,,,,,,,,,,,,,,,,,3.265E-04,4.898E-04,1.837E-03,9.224E-05,
Sphaerellopsis aulata,2.529E-01,,,,,,,,,,,,,,,,,,,,,
Sphaerocystis schroeteri,,,,,,,,,,,,,,1.061E-02,,,,,1.224E-04,1.191E-02,,1.958E-04
Stichococcus sp.,,,,,,,1.494E-04,1.494E-04,,,,,,,,,,,,,,
Tetraedron minimum,,,,2.847E-04,4.066E-03,1.017E-03,1.017E-03,1.932E-02,4.066E-03,,,,,,,,1.135E-03,6.414E-05,3.207E-05,,3.406E-03,3.576E-02
Tetraedron regulare,,,,,,,,,,,,,,,,8.161E-04,4.080E-04,,,,,
Tetraselmis cordiformis,,,,,,,,,,,,,,,,,,,,,,3.325E-03
Tetraselmis sp.,,,,,,,,,1.336E-03,,,,,,,,,,,,,
Treubaria planctonica,,,,,,,,,,,2.950E-03,,,,,,,,,,,
Cryptomonas erosa,,,,,,,,1.648E-03,,,,,,,1.354E-03,3.604E-03,,1.018E-04,2.545E-05,,1.622E-02,8.109E-03
Cryptomonas marssonii,,,,,,,,,,,,,,1.592E-03,3.588E-03,1.450E-02,,,2.022E-05,1.611E-02,3.436E-02,2.577E-02
Plagioselmis nannoplanctica,,,,,1.455E-04,6.547E-03,4.074E-03,4.074E-03,7.274E-04,1.018E-03,2.910E-03,2.596E-02,2.201E-02,2.540E-03,,1.192E-03,,3.136E-04,7.150E-03,1.082E-02,1.279E-02,1.731E-02
Bitrichia chodatii,,,,,,5.847E-03,8.186E-04,1.111E-03,5.847E-05,1.754E-04,2.088E-04,4.197E-03,1.294E-02,1.259E-02,,,2.087E-02,2.028E-02,1.749E-02,1.137E-02,,
Chromulina sp.,,,,,1.614E-04,3.407E-04,1.793E-04,,,,,,,,,,,,,,,
Chrysolykos planctonicus,,,,1.556E-04,6.223E-04,,3.112E-04,2.801E-03,,,,,,,,,,,,,,
Dinobryon bavaricum,,,,,,,,,,,3.122E-03,1.141E-02,3.328E-03,,,,,,,,,
Dinobryon divergens,,6.624E-02,1.092E-01,3.365E-04,,4.712E-04,3.769E-04,,3.365E-04,1.885E-04,,,,1.879E-04,7.515E-04,3.757E-04,,1.127E-03,6.763E-02,4.086E-02,,2.866E-04
Lagynion sp.,,2.529E-03,,,,,,,,,,,,,,,,,,,,
Mallomonas acaroides,,,,,,,,,4.087E-03,,,,,,,,,,,,,
Mallomonas akrokomos,,,,,,,,,,,,,,1.863E-04,,,,,,,,
Mallomonas helvetica,,,,,,,,,,,,,,1.387E-03,,,,,,,,
