Taxa,08/03/2018,12/04/2018,09/05/2018,07/06/2018,09/07/2018,09/07/2018,07/08/2018,07/09/2018,07/09/2018,01/10/2018,14/11/2018,14/11/2018,03/12/2018,14/01/2019,18/02/2019,12/03/2019,01/04/2019,08/05/2019,08/05/2019,06/06/2019,06/06/2019,25/06/2019,25/06/2019,11/07/2019,11/07/2019,29/08/2019,17/09/2019,21/10/2019,19/11/2019,18/12/2019,21/01/2020,18/02/2020,17/03/2020,20/04/2020,14/05/2020,23/06/2020,23/06/2020,08/07/2020,05/08/2020,17/09/2020,20/10/2020,12/11/2020,15/12/2020
Achnanthidium minutissimum,,,,1.000E-03,,,,,,,,,,,,,,1.281E-03,,,,,,,,,,,,,,,2.279E-02,,,,,,2.950E-03,,,8.938E-04,5.050E-05
Asterionella formosa,,,,,,,,,,,,,,,,,,,6.283E-04,,,,,,,,,,,,,,,,,,,,,,,,
Aulacoseira distans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.085E-03,,,,,,,,,,
Coconeis sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.545E-03,,,,,,,,,,
Cyclotella pseudostelligera,,,,,,,,,,,,,,,,,,,,,,,,6.443E-01,7.386E-01,,,,,,,,,,,,,,,,,,
Cyclotella sp.,,,5.205E-03,,,,,,,,,4.764E-04,,,,3.250E-03,,,,,,6.159E-02,3.520E-02,,,,,1.056E-03,5.857E-04,7.248E-04,6.662E-05,,1.172E-02,,,,,1.717E-02,2.943E-03,,2.858E-04,1.241E-04,4.787E-04
Diatoma sp.,,,,,,,,,,,,,,,,,,,1.186E-03,,,,,,,,,,,,,,,,,,,,,,,,
Encyonema sp.,,,,,,,,,,,,,,,,,,8.159E-05,,,,,,,,,,,,,,,,,,,,,,,,,
Fragilaria crotonensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.964E-02,,,,,
Fragilaria sp.,,,,,,,,,,,,,,,,,2.077E-02,6.694E-04,1.136E-04,1.093E-04,,,,,,,,,,,1.279E-05,,1.121E-02,2.002E-03,,8.708E-02,1.471E-01,,2.590E-04,,2.550E-04,1.706E-04,1.023E-04
