Taxa,08/03/2018,12/04/2018,09/05/2018,07/06/2018,09/07/2018,09/07/2018,07/08/2018,07/09/2018,07/09/2018,01/10/2018,14/11/2018,14/11/2018,03/12/2018,14/01/2019,18/02/2019,12/03/2019,01/04/2019,08/05/2019,08/05/2019,06/06/2019,06/06/2019,25/06/2019,25/06/2019,11/07/2019,11/07/2019,29/08/2019,17/09/2019,21/10/2019,19/11/2019,18/12/2019,21/01/2020,18/02/2020,17/03/2020,20/04/2020,14/05/2020,23/06/2020,23/06/2020,08/07/2020,05/08/2020,17/09/2020,20/10/2020,12/11/2020,15/12/2020
Achnanthidium minutissimum,,,,1,,,,,,,,,,,,,,5.071916824,,,,,,,,,,,,,,,90.27,,,,,,11.682,,,3.54,0.2
Asterionella formosa,,,,,,,,,,,,,,,,,,,0.710273122,,,,,,,,,,,,,,,,,,,,,,,,
Aulacoseira distans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.31,,,,,,,,,,
Coconeis sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.655,,,,,,,,,,
Cyclotella pseudostelligera,,,,,,,,,,,,,,,,,,,,,,,,2079.485898,2383.800907,,,,,,,,,,,,,,,,,,
Cyclotella sp.,,,25,,,,,,,,,5,,,,34.077,,,,,,295.8618147,169.0638941,,,,,5.071916824,1.267979206,7.607875236,0.32,,7.965,,,,,37.17,6.372,,3,2.8,10.8
Diatoma sp.,,,,,,,,,,,,,,,,,,,0.710273122,,,,,,,,,,,,,,,,,,,,,,,,
Encyonema sp.,,,,,,,,,,,,,,,,,,0.355136561,,,,,,,,,,,,,,,,,,,,,,,,,
Fragilaria crotonensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.78,,,,,
Fragilaria sp.,,,,,,,,,,,,,,,,,45.436,2.130819365,1.065409683,0.1,,,,,,,,,,,0.12,,2.655,7.08,,79.65,134.52,,1.593,,1.2,1,0.6
Fragilaria tenera,2239,7874,7585,5,130,183,50,78,57,83,,1,4,3,1.894,5.209,9.944,1.775682804,2.130819365,,,,17.75682804,5.327048413,,,,,,,,,,,,,,1295.64,2.124,,,,
Gomphonema sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.79,,,,,,,,,,
Melosira varians,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navicula radiata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,
Navicula sp.,,18,,,,,,,,,1,,,1,0.474,2.841,2.368,0.08,,0.1,,,,,,,,,,2.615958412,2.124,1.416,37.17,7.08,15.93,,,,1.062,,1.6,3,2.8
Nitzschia acicularis,21,148,,,,,,,,,,,,,,,,,0.355136561,,,,,,,,,,,,,,,1.77,,,,,,,,,
Nitzschia linearis,,,,,,,,,,,,,,,0.8,0.32,0.12,,,,,,,,,,,,,,,,,,,,7.08,,,,,,
Nitzschia sp.,,,,,,,,,,,,,,,,,,,0.355136561,,3.551365608,,,,,,,5.071916824,,,,,7.965,,0.1,106.2,77.88,,,53.1,0.2,0.6,0.6
Tabellaria fenestrata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.31,,,,,,,,
Tabellaria sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.124,,,,
Ulnaria acus,,,1,1,1,1,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,0.531,,,0.2,
Ulnaria ulna,5,2,1,,,,,1,1,1,1,,,1,,0.12,,,,,,,,,,,,,,0.01,,,0.1,1.77,,,,,,,0.4,,
Closterium parvulum,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Closterium sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.1,,,,,,,,
Cosmarium bioculatum,,,,,,,1648,16698,19286,6340,89,101,57,1,12.173,17.038,5.679,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmarium formosulum,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmarium laeve,,,,,1,1,99,721,654,406,9,9,3,3,4.262,2.368,2.368,5.682184973,4.26163873,17.75682804,23.08387645,35.51365608,29.5947134,26.63524206,4.735154145,55.79108507,481.8320983,395.6095123,168.0978147,10.65409683,2.124,3.186,26.55,12.39,21.248,,,113.28,20.178,934.56,148.68,21.24,5.8
Cosmarium majae,,55,1103,12,,,,,,,,,,,,,,,,,,,,49873.94005,25972.96786,689.7806881,722.7481474,370.2499282,150.7083856,3.803937618,1.062,,,,,74.34,113.28,408.87,,,63.72,,21.24
Cosmarium phaseolus,,,,,,,,,,,,,,,,,,598.4861853,436.1848469,5477.67017,4945.118904,18935.15614,23922.54102,,,,,,,,,,,,,,,,,,,,
Cosmarium sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.06,100.89,,,,,,
