taxa,abundance,date,bv,ind.bv
Achnanthidium minutissimum,1,07/06/2018,0.001,0.001
Achnanthidium minutissimum,5.071916824,08/05/2019,0.001281,2.5256723334625414e-4
Achnanthidium minutissimum,90.27,17/03/2020,0.02279,2.5246482773900525e-4
Achnanthidium minutissimum,11.682,05/08/2020,0.00295,2.525252525252525e-4
Achnanthidium minutissimum,3.54,12/11/2020,8.938e-4,2.524858757062147e-4
Achnanthidium minutissimum,0.2,15/12/2020,5.05e-5,2.525e-4
Asterionella formosa,0.710273122,08/05/2019,6.283e-4,8.845892946516425e-4
Aulacoseira distans,5.31,17/03/2020,0.001085,2.0433145009416198e-4
Coconeis sp.,2.655,17/03/2020,0.003545,0.001335216572504708
Cyclotella pseudostelligera,2079.485898,11/07/2019,0.6443,3.098361958692158e-4
Cyclotella pseudostelligera,2383.800907,11/07/2019,0.7386,3.0984131176018553e-4
Cyclotella sp.,25,09/05/2018,0.005205,2.0820000000000002e-4
Cyclotella sp.,5,14/11/2018,4.764e-4,9.528e-5
Cyclotella sp.,34.077,12/03/2019,0.00325,9.537224520937876e-5
Cyclotella sp.,295.8618147,25/06/2019,0.06159,2.0817150757508686e-4
Cyclotella sp.,169.0638941,25/06/2019,0.0352,2.0820530715552708e-4
Cyclotella sp.,5.071916824,21/10/2019,0.001056,2.0820530711447647e-4
Cyclotella sp.,1.267979206,19/11/2019,5.857e-4,4.619160923369275e-4
Cyclotella sp.,7.607875236,18/12/2019,7.248e-4,9.526970113419984e-5
Cyclotella sp.,0.32,21/01/2020,6.662e-5,2.0818749999999998e-4
Cyclotella sp.,7.965,17/03/2020,0.01172,0.0014714375392341494
Cyclotella sp.,37.17,08/07/2020,0.01717,4.619316653214958e-4
Cyclotella sp.,6.372,05/08/2020,0.002943,4.61864406779661e-4
Cyclotella sp.,3,20/10/2020,2.858e-4,9.526666666666667e-5
Cyclotella sp.,2.8,12/11/2020,1.241e-4,4.4321428571428574e-5
Cyclotella sp.,10.8,15/12/2020,4.787e-4,4.432407407407407e-5
Diatoma sp.,0.710273122,08/05/2019,0.001186,0.0016697802060430494
Encyonema sp.,0.355136561,08/05/2019,8.159e-5,2.2974260878760942e-4
Fragilaria crotonensis,24.78,08/07/2020,0.02964,0.0011961259079903148
Fragilaria sp.,45.436,01/04/2019,0.02077,4.57126507615107e-4
Fragilaria sp.,2.130819365,08/05/2019,6.694e-4,3.1415145318993294e-4
Fragilaria sp.,1.065409683,08/05/2019,1.136e-4,1.0662565003175403e-4
Fragilaria sp.,0.1,06/06/2019,1.093e-4,0.001093
Fragilaria sp.,0.12,21/01/2020,1.279e-5,1.0658333333333333e-4
Fragilaria sp.,2.655,17/03/2020,0.01121,0.004222222222222223
Fragilaria sp.,7.08,20/04/2020,0.002002,2.827683615819209e-4
Fragilaria sp.,79.65,23/06/2020,0.08708,0.0010932831136220966
Fragilaria sp.,134.52,23/06/2020,0.1471,0.0010935176925364258
Fragilaria sp.,1.593,05/08/2020,2.59e-4,1.6258631512868803e-4
Fragilaria sp.,1.2,20/10/2020,2.55e-4,2.1250000000000002e-4
Fragilaria sp.,1,12/11/2020,1.706e-4,1.706e-4
Fragilaria sp.,0.6,15/12/2020,1.023e-4,1.7050000000000002e-4
Fragilaria tenera,2239,08/03/2018,0.5402,2.4126842340330506e-4
Fragilaria tenera,7874,12/04/2018,1.9,2.413004826009652e-4
Fragilaria tenera,7585,09/05/2018,1.83,2.4126565589980225e-4
Fragilaria tenera,5,07/06/2018,0.001206,2.412e-4
Fragilaria tenera,130,09/07/2018,0.03136,2.4123076923076922e-4
Fragilaria tenera,183,09/07/2018,0.04415,2.4125683060109292e-4
Fragilaria tenera,50,07/08/2018,0.01206,2.4119999999999998e-4
Fragilaria tenera,78,07/09/2018,0.01882,2.4128205128205128e-4
Fragilaria tenera,57,07/09/2018,0.01375,2.412280701754386e-4
Fragilaria tenera,83,01/10/2018,0.02002,2.4120481927710844e-4
Fragilaria tenera,1,14/11/2018,2.413e-4,2.413e-4
Fragilaria tenera,4,03/12/2018,9.65e-4,2.4125e-4
Fragilaria tenera,3,14/01/2019,0.001,3.333333333333333e-4
Fragilaria tenera,1.894,18/02/2019,4.6e-4,2.4287222808870118e-4
Fragilaria tenera,5.209,12/03/2019,0.00126,2.4188903820311004e-4
Fragilaria tenera,9.944,01/04/2019,0.0024,2.4135156878519706e-4
