"","family","mean.mass.ug","order","class","phylum","kingdom","group"
"1","Achnanthaceae",0.00298,"Achnanthales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"2","Amoebidae",0.03,"Euamoebida","Tubulinea","Amoebozoa","Protozoa","zooplankton"
"3","Amphipleuraceae",0.00953333333333333,"Naviculales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"4","Aphanizomenonaceae",0.000725266666666667,"Nostocales","Cyanophyceae","Cyanobacteria","Bacteria","phytoplankton"
"5","Arcidae",0.00226,"Arcida","Bivalvia","Mollusca","Animalia","phytoplankton"
"6","Asplanchnidae",16.7,"Ploima","Eurotatoria","Rotifera","Animalia","zooplankton"
"7","Bacillariaceae",0.0013795,"Bacillariales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"8","Bosminidae",30,"Anomopoda","Branchiopoda","Arthropoda","Animalia","zooplankton"
"9","Brachionidae",0.509333333333333,"Ploima","Eurotatoria","Rotifera","Animalia","zooplankton"
"10","Calanidae",420,"Calanoida","Copepoda","Arthropoda","Animalia","zooplankton"
"11","Chlamydomonadaceae",0.000998,"Chlamydomonadales","Chlorophyceae","Chlorophyta","Plantae","phytoplankton"
"12","Chlorellaceae",0.000145166666666667,"Chlorellales","Trebouxiophyceae","Chlorophyta","Plantae","phytoplankton"
"13","Chroococcaceae",0.000108,"Chroococcales","Cyanophyceae","Cyanobacteria","Bacteria","phytoplankton"
"14","Chydoridae",5.04,"Anomopoda","Branchiopoda","Arthropoda","Animalia","zooplankton"
"15","Closteriaceae",0.008,"Desmidiales","Zygnematophyceae","Charophyta","Plantae","phytoplankton"
"16","Cocconeidaceae",0.000318,"Achnanthales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"17","Codonellidae",0.03,"Choreotrichida","Oligotrichea","Ciliophora","Chromista","zooplankton"
"18","Cryptomonadaceae",0.00155,"Cryptomonadales","Cryptophyceae","Cryptophyta","Chromista","phytoplankton"
"19","Cyclopettidae",15,"Cyclopoida","Copepoda","Arthropoda","Animalia","zooplankton"
"20","Cyclopidae",36.845,"Cyclopoida","Copepoda","Arthropoda","Animalia","zooplankton"
"21","Cymbellaceae",0.000246,"Cymbellales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"22","Daphniidae",2.5,"Anomopoda","Branchiopoda","Arthropoda","Animalia","zooplankton"
"23","Desmidiaceae",4.95e-05,"Desmidiales","Zygnematophyceae","Charophyta","Plantae","phytoplankton"
"24","Diaptomidae",43.1,"Calanoida","Copepoda","Arthropoda","Animalia","zooplankton"
"25","Difflugiidae",0.0391,"Arcellinida","Tubulinea","Amoebozoa","Protozoa","zooplankton"
"26","Diploneidaceae",0.0015,"Naviculales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"27","Euglenaceae",0.00313666666666667,"Euglenales","Euglenophyceae","Euglenozoa","Protozoa","phytoplankton"
"28","Euglyphidae",0.03,"Euglyphida","Imbricatea","Cercozoa","Chromista","zooplankton"
"29","Fragilariaceae",0.00202425,"Fragilariales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"30","Gomphonemataceae",0.000999,"Cymbellales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"31","Gymnodiniaceae",0.00202,"Gymnodiniales","Dinophyceae","Myzozoa","Chromista","phytoplankton"
"32","Halimedaceae",0.0042,"Bryopsidales","Ulvophyceae","Chlorophyta","Plantae","phytoplankton"
"33","Hemiselmidaceae",1e-04,"Pyrenomonadales","Cryptophyceae","Cryptophyta","Chromista","phytoplankton"
"34","Hydrodictyaceae",0.0002385,"Sphaeropleales","Chlorophyceae","Chlorophyta","Plantae","phytoplankton"
"35","Koliellaceae",1e-04,"Prasiolales","Trebouxiophyceae","Chlorophyta","Plantae","phytoplankton"
"36","Lecanidae",0.172,"Ploima","Eurotatoria","Rotifera","Animalia","zooplankton"
"37","Melosiraceae",0.000738,"Melosirales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"38","Microcystaceae",4.57e-05,"Chroococcales","Cyanophyceae","Cyanobacteria","Bacteria","phytoplankton"
"39","Moinidae",99.2,"Anomopoda","Branchiopoda","Arthropoda","Animalia","zooplankton"
"40","Nodulariaceae",3e-06,"Nostocales","Cyanophyceae","Cyanobacteria","Bacteria","phytoplankton"
"41","Oocystaceae",0.0002505,"Chlorellales","Trebouxiophyceae","Chlorophyta","Plantae","phytoplankton"
"42","Oscillatoriaceae",0.0006005,"Oscillatoriales","Cyanophyceae","Cyanobacteria","Bacteria","phytoplankton"
"43","Peridiniaceae",0.000642,"Peridiniales","Dinophyceae","Myzozoa","Chromista","phytoplankton"
"44","Peridiniales incertae sedis",0.000401,"Peridiniales","Dinophyceae","Myzozoa","Chromista","phytoplankton"
"45","Phacaceae",0.000558,"Euglenales","Euglenophyceae","Euglenozoa","Protozoa","phytoplankton"
"46","Pinnulariaceae",0.0407,"Naviculales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
