"","genus","mean.mass.ug","family","order","class","phylum","kingdom","group"
"1","Achnanthes",0.00298,"Achnanthaceae","Achnanthales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"2","Actinastrum",0.000116,"Chlorellaceae","Chlorellales","Trebouxiophyceae","Chlorophyta","Plantae","phytoplankton"
"3","Alona",5.04,"Chydoridae","Anomopoda","Branchiopoda","Arthropoda","Animalia","zooplankton"
"4","Amoeba",0.03,"Amoebidae","Euamoebida","Tubulinea","Amoebozoa","Protozoa","zooplankton"
"5","Amphipleura",0.003,"Amphipleuraceae","Naviculales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"6","Amphiprora",0.0251,"Amphipleuraceae","Naviculales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"7","Anabaena",0.000149,"Aphanizomenonaceae","Nostocales","Cyanophyceae","Cyanobacteria","Bacteria","phytoplankton"
"8","Anabaenopsis",3e-06,"Nodulariaceae","Nostocales","Cyanophyceae","Cyanobacteria","Bacteria","phytoplankton"
"9","Ankistrodesmus",0.000201,"Selenastraceae","Sphaeropleales","Chlorophyceae","Chlorophyta","Plantae","phytoplankton"
"10","Aphanizomenon",0.002,"Aphanizomenonaceae","Nostocales","Cyanophyceae","Cyanobacteria","Bacteria","phytoplankton"
"11","Asplanchna",16.7,"Asplanchnidae","Ploima","Eurotatoria","Rotifera","Animalia","zooplankton"
"12","Asterionella",0.000787,"Fragilariaceae","Fragilariales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"13","Bosmina",30,"Bosminidae","Anomopoda","Branchiopoda","Arthropoda","Animalia","zooplankton"
"14","Brachionus",0.24,"Brachionidae","Ploima","Eurotatoria","Rotifera","Animalia","zooplankton"
"15","Calanus",420,"Calanidae","Calanoida","Copepoda","Arthropoda","Animalia","zooplankton"
"16","Chlamydomonas",0.000998,"Chlamydomonadaceae","Chlamydomonadales","Chlorophyceae","Chlorophyta","Plantae","phytoplankton"
"17","Chlorella",1.95e-05,"Chlorellaceae","Chlorellales","Trebouxiophyceae","Chlorophyta","Plantae","phytoplankton"
"18","Chroococcus",0.000108,"Chroococcaceae","Chroococcales","Cyanophyceae","Cyanobacteria","Bacteria","phytoplankton"
"19","Chroomonas",1e-04,"Hemiselmidaceae","Pyrenomonadales","Cryptophyceae","Cryptophyta","Chromista","phytoplankton"
"20","Closterium",0.008,"Closteriaceae","Desmidiales","Zygnematophyceae","Charophyta","Plantae","phytoplankton"
"21","Cocconeis",0.000318,"Cocconeidaceae","Achnanthales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"22","Coelastrum",0.000271,"Scenedesmaceae","Sphaeropleales","Chlorophyceae","Chlorophyta","Plantae","phytoplankton"
"23","Cosmarium",4.95e-05,"Desmidiaceae","Desmidiales","Zygnematophyceae","Charophyta","Plantae","phytoplankton"
"24","Crucigenia",9.91e-05,"Trebouxiophyceae incertae sedis","Trebouxiophyceae ordo incertae sedis","Trebouxiophyceae","Chlorophyta","Plantae","phytoplankton"
"25","Cryptomonas",0.00155,"Cryptomonadaceae","Cryptomonadales","Cryptophyceae","Cryptophyta","Chromista","phytoplankton"
"26","Cyclops",70.7,"Cyclopidae","Cyclopoida","Copepoda","Arthropoda","Animalia","zooplankton"
"27","Cyclotella",0.000563,"Stephanodiscaceae","Thalassiosirales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"28","Cymbella",0.000246,"Cymbellaceae","Cymbellales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"29","Daphnia",2.5,"Daphniidae","Anomopoda","Branchiopoda","Arthropoda","Animalia","zooplankton"
"30","Diaphanosoma",10,"Sididae","Ctenopoda","Branchiopoda","Arthropoda","Animalia","zooplankton"
"31","Diatoma",0.0022,"Fragilariaceae","Fragilariales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"32","Difflugia",0.0391,"Difflugiidae","Arcellinida","Tubulinea","Amoebozoa","Protozoa","zooplankton"
"33","Diploneis",0.0015,"Diploneidaceae","Naviculales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"34","Eudorina",0.002,"Volvocaceae","Chlamydomonadales","Chlorophyceae","Chlorophyta","Plantae","phytoplankton"
"35","Euglena",0.0044,"Euglenaceae","Euglenales","Euglenophyceae","Euglenozoa","Protozoa","phytoplankton"
"36","Euglypha",0.03,"Euglyphidae","Euglyphida","Imbricatea","Cercozoa","Chromista","zooplankton"
"37","Filinia",0.5,"Trochosphaeridae","Flosculariaceae","Eurotatoria","Rotifera","Animalia","zooplankton"
"38","Fragilaria",1e-04,"Fragilariaceae","Fragilariales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"39","Frustulia",5e-04,"Amphipleuraceae","Naviculales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"40","Glenodinium",0.000401,"Peridiniales incertae sedis","Peridiniales","Dinophyceae","Myzozoa","Chromista","phytoplankton"
"41","Gomphonema",0.000999,"Gomphonemataceae","Cymbellales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"42","Gymnodinium",0.00202,"Gymnodiniaceae","Gymnodiniales","Dinophyceae","Myzozoa","Chromista","phytoplankton"
"43","Gyrosigma",0.000129,"Pleurosigmataceae","Naviculales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"44","Hantzschia",0.0021,"Bacillariaceae","Bacillariales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"45","Keratella",0.268,"Brachionidae","Ploima","Eurotatoria","Rotifera","Animalia","zooplankton"
"46","Kirchneriella",3e-04,"Selenastraceae","Sphaeropleales","Chlorophyceae","Chlorophyta","Plantae","phytoplankton"
"47","Lecane",0.172,"Lecanidae","Ploima","Eurotatoria","Rotifera","Animalia","zooplankton"
"48","Melosira",0.000738,"Melosiraceae","Melosirales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"49","Merismopedia",5.71e-05,"Microcystaceae","Chroococcales","Cyanophyceae","Cyanobacteria","Bacteria","phytoplankton"
"50","Micractinium",3e-04,"Chlorellaceae","Chlorellales","Trebouxiophyceae","Chlorophyta","Plantae","phytoplankton"
"51","Microcystis",3.43e-05,"Microcystaceae","Chroococcales","Cyanophyceae","Cyanobacteria","Bacteria","phytoplankton"
"52","Moina",99.2,"Moinidae","Anomopoda","Branchiopoda","Arthropoda","Animalia","zooplankton"
"53","Nauplius",2.99,"Cyclopidae","Cyclopoida","Copepoda","Arthropoda","Animalia","zooplankton"
"54","Navicula",0.00226,"Arcidae","Arcida","Bivalvia","Mollusca","Animalia","phytoplankton"
"55","Neodiaptomus",43.1,"Diaptomidae","Calanoida","Copepoda","Arthropoda","Animalia","zooplankton"
"56","Nitzschia",0.000659,"Bacillariaceae","Bacillariales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"57","Notholca",1.02,"Brachionidae","Ploima","Eurotatoria","Rotifera","Animalia","zooplankton"
"58","Oocystis",0.000401,"Oocystaceae","Chlorellales","Trebouxiophyceae","Chlorophyta","Plantae","phytoplankton"
"59","Oscillatoria",0.001,"Oscillatoriaceae","Oscillatoriales","Cyanophyceae","Cyanobacteria","Bacteria","phytoplankton"
"60","Pandorina",0.004,"Volvocaceae","Chlamydomonadales","Chlorophyceae","Chlorophyta","Plantae","phytoplankton"
"61","Paracyclopina",15,"Cyclopettidae","Cyclopoida","Copepoda","Arthropoda","Animalia","zooplankton"
"62","Pediastrum",0.000178,"Hydrodictyaceae","Sphaeropleales","Chlorophyceae","Chlorophyta","Plantae","phytoplankton"
"63","Peridinium",0.000642,"Peridiniaceae","Peridiniales","Dinophyceae","Myzozoa","Chromista","phytoplankton"
"64","Phacus",0.000558,"Phacaceae","Euglenales","Euglenophyceae","Euglenozoa","Protozoa","phytoplankton"
"65","Phormidium",0.000201,"Oscillatoriaceae","Oscillatoriales","Cyanophyceae","Cyanobacteria","Bacteria","phytoplankton"
"66","Pinnularia",0.0407,"Pinnulariaceae","Naviculales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"67","Planctonema",1e-04,"Oocystaceae","Chlorellales","Trebouxiophyceae","Chlorophyta","Plantae","phytoplankton"
"68","Polyarthra",0.55,"Synchaetidae","Ploima","Eurotatoria","Rotifera","Animalia","zooplankton"
"69","Quadrigula",5e-04,"Selenastraceae","Sphaeropleales","Chlorophyceae","Chlorophyta","Plantae","phytoplankton"
"70","Raphidiopsis",2.68e-05,"Aphanizomenonaceae","Nostocales","Cyanophyceae","Cyanobacteria","Bacteria","phytoplankton"
"71","Raphidonema",1e-04,"Koliellaceae","Prasiolales","Trebouxiophyceae","Chlorophyta","Plantae","phytoplankton"
"72","Rhipilia",0.0042,"Halimedaceae","Bryopsidales","Ulvophyceae","Chlorophyta","Plantae","phytoplankton"
"73","Scenedesmus",5.66e-05,"Scenedesmaceae","Sphaeropleales","Chlorophyceae","Chlorophyta","Plantae","phytoplankton"
"74","Schroederia",3e-04,"Schroederiaceae","Sphaeropleales","Chlorophyceae","Chlorophyta","Plantae","phytoplankton"
"75","Selenastrum",0.00011,"Selenastraceae","Sphaeropleales","Chlorophyceae","Chlorophyta","Plantae","phytoplankton"
"76","Spirulina",0.000769,"Spirulinaceae","Spirulinales","Cyanophyceae","Cyanobacteria","Bacteria","phytoplankton"
"77","Stauroneis",0.00017,"Stauroneidaceae","Naviculales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"78","Strobilidium",0.03,"Strobilidiidae","Choreotrichida","Oligotrichea","Ciliophora","Chromista","zooplankton"
"79","Strombomonas",0.00383,"Euglenaceae","Euglenales","Euglenophyceae","Euglenozoa","Protozoa","phytoplankton"
"80","Surirella",0.00307,"Surirellaceae","Surirellales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"81","Synedra",0.00501,"Fragilariaceae","Fragilariales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"82","Tabellaria",0.003,"Tabellariaceae","Tabellariales","Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"83","Tetraedron",0.000299,"Hydrodictyaceae","Sphaeropleales","Chlorophyceae","Chlorophyta","Plantae","phytoplankton"
"84","Tetrastrum",8e-05,"Scenedesmaceae","Sphaeropleales","Chlorophyceae","Chlorophyta","Plantae","phytoplankton"
"85","Tintinnopsis",0.03,"Codonellidae","Choreotrichida","Oligotrichea","Ciliophora","Chromista","zooplankton"
"86","Trachelomonas",0.00118,"Euglenaceae","Euglenales","Euglenophyceae","Euglenozoa","Protozoa","phytoplankton"
"87","Vorticella",0.0146,"Vorticellidae","Sessilida","Oligohymenophorea","Ciliophora","Chromista","zooplankton"
"88","Westella",2.02e-05,"Scenedesmaceae","Sphaeropleales","Chlorophyceae","Chlorophyta","Plantae","phytoplankton"
