"","order","mean.mass.ug","class","phylum","kingdom","group"
"1","Achnanthales",0.001649,"Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"2","Anomopoda",34.185,"Branchiopoda","Arthropoda","Animalia","zooplankton"
"3","Arcellinida",0.0391,"Tubulinea","Amoebozoa","Protozoa","zooplankton"
"4","Arcida",0.00226,"Bivalvia","Mollusca","Animalia","phytoplankton"
"5","Bacillariales",0.0013795,"Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"6","Bryopsidales",0.0042,"Ulvophyceae","Chlorophyta","Plantae","phytoplankton"
"7","Calanoida",231.55,"Copepoda","Arthropoda","Animalia","zooplankton"
"8","Chlamydomonadales",0.00233266666666667,"Chlorophyceae","Chlorophyta","Plantae","phytoplankton"
"9","Chlorellales",0.0001873,"Trebouxiophyceae","Chlorophyta","Plantae","phytoplankton"
"10","Choreotrichida",0.03,"Oligotrichea","Ciliophora","Chromista","zooplankton"
"11","Chroococcales",6.64666666666667e-05,"Cyanophyceae","Cyanobacteria","Bacteria","phytoplankton"
"12","Cryptomonadales",0.00155,"Cryptophyceae","Cryptophyta","Chromista","phytoplankton"
"13","Ctenopoda",10,"Branchiopoda","Arthropoda","Animalia","zooplankton"
"14","Cyclopoida",29.5633333333333,"Copepoda","Arthropoda","Animalia","zooplankton"
"15","Cymbellales",0.0006225,"Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"16","Desmidiales",0.00402475,"Zygnematophyceae","Charophyta","Plantae","phytoplankton"
"17","Euamoebida",0.03,"Tubulinea","Amoebozoa","Protozoa","zooplankton"
"18","Euglenales",0.002492,"Euglenophyceae","Euglenozoa","Protozoa","phytoplankton"
"19","Euglyphida",0.03,"Imbricatea","Cercozoa","Chromista","zooplankton"
"20","Flosculariaceae",0.5,"Eurotatoria","Rotifera","Animalia","zooplankton"
"21","Fragilariales",0.00202425,"Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"22","Gymnodiniales",0.00202,"Dinophyceae","Myzozoa","Chromista","phytoplankton"
"23","Melosirales",0.000738,"Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"24","Naviculales",0.010157,"Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"25","Nostocales",0.0005447,"Cyanophyceae","Cyanobacteria","Bacteria","phytoplankton"
"26","Oscillatoriales",0.0006005,"Cyanophyceae","Cyanobacteria","Bacteria","phytoplankton"
"27","Peridiniales",0.0005215,"Dinophyceae","Myzozoa","Chromista","phytoplankton"
"28","Ploima",3.15833333333333,"Eurotatoria","Rotifera","Animalia","zooplankton"
"29","Prasiolales",1e-04,"Trebouxiophyceae","Chlorophyta","Plantae","phytoplankton"
"30","Pyrenomonadales",1e-04,"Cryptophyceae","Cryptophyta","Chromista","phytoplankton"
"31","Sessilida",0.0146,"Oligohymenophorea","Ciliophora","Chromista","zooplankton"
"32","Sphaeropleales",0.000210527272727273,"Chlorophyceae","Chlorophyta","Plantae","phytoplankton"
"33","Spirulinales",0.000769,"Cyanophyceae","Cyanobacteria","Bacteria","phytoplankton"
"34","Surirellales",0.00307,"Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"35","Tabellariales",0.003,"Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"36","Thalassiosirales",0.000563,"Bacillariophyceae","Heterokontophyta","Chromista","phytoplankton"
"37","Trebouxiophyceae ordo incertae sedis",9.91e-05,"Trebouxiophyceae","Chlorophyta","Plantae","phytoplankton"
