resolved.taxa.name,tax.uid,form,variety,species,genus,family,order,class,phylum,kingdom,rank,source,check
Choricystis parasitica,tax-47,NA,NA,Choricystis parasitica,Choricystis,Coccomyxaceae,,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Choricystis skujae,tax-87,NA,NA,Choricystis skujae,Choricystis,Coccomyxaceae,,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Lemmermannia triangularis,tax-162,NA,NA,Lemmermannia triangularis,Lemmermannia,,,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Crucigenia fenestrata,tax-164,NA,NA,Crucigenia fenestrata,Crucigenia,,,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Jaaginema geminatum,tax-177,NA,NA,Jaaginema geminatum,Jaaginema,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Lemmermannia punctata,tax-198,NA,NA,Lemmermannia punctata,Lemmermannia,,,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Lemmermannia komarekii,tax-212,NA,NA,Lemmermannia komarekii,Lemmermannia,,,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Lemmermannia tetrapedia,tax-222,NA,NA,Lemmermannia tetrapedia,Lemmermannia,,,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Crucigenia mucronata,tax-225,NA,NA,Crucigenia mucronata,Crucigenia,,,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Crucigenia quadrata,tax-254,NA,NA,Crucigenia quadrata,Crucigenia,,,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Chloroidium ellipsoideum,tax-294,NA,NA,Chloroidium ellipsoideum,Chloroidium,,,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Crucigenia lauterbornii,tax-376,NA,NA,Crucigenia lauterbornii,Crucigenia,,,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Paradoxia pelletieri,tax-429,NA,NA,Paradoxia pelletieri,Paradoxia,Coccomyxaceae,,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Paradoxia multiseta,tax-467,NA,NA,Paradoxia multiseta,Paradoxia,Coccomyxaceae,,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Gliwiczia calcar,tax-531,NA,NA,Gliwiczia calcar,Gliwiczia,,,,Bacillariophyta,NA,species,AlgaeBase,check
Navigeia decussis,tax-572,NA,NA,Navigeia decussis,Navigeia,,,,Bacillariophyta,NA,species,AlgaeBase,check
Echinosphaerella limnetica,tax-643,NA,NA,Echinosphaerella limnetica,Echinosphaerella,,Chlamydomonadales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Gomphonella olivacea,tax-646,NA,NA,Gomphonella olivacea,Gomphonella,,Cymbellales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Desmatractum indutum,tax-676,NA,NA,Desmatractum indutum,Desmatractum,,Chlamydomonadales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Belonastrum berolinense,tax-855,NA,NA,Belonastrum berolinense,Belonastrum,,,,Bacillariophyta,NA,species,AlgaeBase,check
Jaaginema angustissimum,tax-1084,NA,NA,Jaaginema angustissimum,Jaaginema,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Dispora crucigenioides,tax-1156,NA,NA,Dispora crucigenioides,Dispora,Coccomyxaceae,,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Crucigenia staurogeniaeformis,tax-1275,NA,NA,Crucigenia staurogeniaeformis,Crucigenia,,,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Playaensis citrus,tax-1524,NA,NA,Playaensis citrus,Playaensis,,,,Bacillariophyta,NA,species,AlgaeBase,check
Mayamaea atomus,tax-1742,NA,NA,Mayamaea atomus,Mayamaea,,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Chamaepinnularia bremensis,tax-1744,NA,NA,Chamaepinnularia bremensis,Chamaepinnularia,,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Chamaepinnularia mediocris,tax-1753,NA,NA,Chamaepinnularia mediocris,Chamaepinnularia,,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Navigeia modica,tax-1772,NA,NA,Navigeia modica,Navigeia,,,,Bacillariophyta,NA,species,AlgaeBase,check
Pseudofallacia occulta,tax-1790,NA,NA,Pseudofallacia occulta,Pseudofallacia,,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Navigeia aikenensis,tax-1794,NA,NA,Navigeia aikenensis,Navigeia,,,,Bacillariophyta,NA,species,AlgaeBase,check
Ninastrelnikovia gibbosa,tax-1802,NA,NA,Ninastrelnikovia gibbosa,Ninastrelnikovia,,,,Bacillariophyta,NA,species,AlgaeBase,check
Mayamaea ingenua,tax-1806,NA,NA,Mayamaea ingenua,Mayamaea,,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Navigeia lateropunctata,tax-1809,NA,NA,Navigeia lateropunctata,Navigeia,,,,Bacillariophyta,NA,species,AlgaeBase,check
Placogeia similis,tax-1818,NA,NA,Placogeia similis,Placogeia,,,,Bacillariophyta,NA,species,AlgaeBase,check
Pseudofallacia tenera,tax-1821,NA,NA,Pseudofallacia tenera,Pseudofallacia,,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Mayamaea agrestis,tax-1824,NA,NA,Mayamaea agrestis,Mayamaea,,Naviculales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
