resolved.taxa.name,form,variety,species,genus,family,order,class,phylum,kingdom,rank,source,check
Chlorococcales,NA,NA,NA,NA,NA,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae,order,gbif,check
Chloraphyta,NA,NA,NA,NA,NA,NA,NA,Chlorophyta,Plantae,phylum,gbif,check
Myxococcoides chlorelloidea,NA,NA,NA,Myxococcoides,Chroococcaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteria,Bacteria,genus,gbif,check
Fotterella tetrachlorella,NA,NA,NA,Fotterella,Oocystaceae,Oocystales,Trebouxiophyceae,Chlorophyta,Plantae,genus,gbif,check
Dinobryon anneciense,NA,NA,NA,Dinobryon,Dinobryaceae,Chromulinales,Chrysophyceae,Ochrophyta,Chromista,genus,gbif,check
Euglena korsikovii,NA,NA,NA,Euglena,Euglenaceae,Euglenida,Euglenoidea,Euglenozoa,Protozoa,genus,gbif,check
Eunotia nymanii,NA,NA,NA,Eunotia,Eunotiaceae,Eunotiales,Bacillariophyceae,Ochrophyta,Chromista,genus,gbif,check
Encyonopsis evergladianum,NA,NA,NA,Encyonopsis,Cymbellaceae,Cymbellales,Bacillariophyceae,Ochrophyta,Chromista,genus,gbif,check
Closterium moniliforme,NA,NA,NA,Closterium,Closteriaceae,Zygnematales,Zygnematophyceae,Charophyta,Plantae,genus,gbif,check
Echinopus giboni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,check
Polypedilum subgenus,NA,NA,NA,Polypedilum,Chironomidae,Diptera,Insecta,Arthropoda,Animalia,genus,gbif,check
Anopheles aureosquamiger,NA,NA,NA,Anopheles,Culicidae,Diptera,Insecta,Arthropoda,Animalia,genus,gbif,check
Nesydemius polhemusorum,NA,NA,NA,Nesydemius,Baetidae,Ephemeroptera,Insecta,Arthropoda,Animalia,genus,gbif,check
Nilotanypus comatus,NA,NA,NA,Nilotanypus,Chironomidae,Diptera,Insecta,Arthropoda,Animalia,genus,gbif,check
Assiminidae,NA,NA,NA,NA,Assimineidae,Littorinimorpha,Gastropoda,Mollusca,Animalia,family,gbif,check
Ampullaridae,NA,NA,NA,NA,Ampullariidae,Architaenioglossa,Gastropoda,Mollusca,Animalia,family,gbif,check
Daphnia hyalinaxgaleata,NA,NA,NA,Daphnia,Daphniidae,Diplostraca,Branchiopoda,Arthropoda,Animalia,genus,gbif,check
Asplanchna henrietta,NA,NA,NA,Asplanchna,Asplanchnidae,Ploima,Eurotatoria,Rotifera,Animalia,genus,gbif,check
Trichotria similis,NA,NA,NA,Trichotria,Trichotriidae,Ploima,Eurotatoria,Rotifera,Animalia,genus,gbif,check
Platyias polyacanthus,NA,NA,NA,Platyias,Brachionidae,Ploima,Eurotatoria,Rotifera,Animalia,genus,gbif,check
Bdelloida,NA,NA,NA,NA,NA,Bdelloidea,Eurotatoria,Rotifera,Animalia,order,gbif,check
Chrysosporum minor,NA,NA,NA,Chrysosporum,Nodulariaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteria,Bacteria,genus,gbif,check
Sphaerastrum fockii,NA,NA,NA,Sorastrum,Hydrodictyaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae,genus,gbif,check
Amoeba leningradensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,check
Pristina,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,kingdom,gbif,check
Fallacia difficillimoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,check
Naviculadicta seminulum,NA,NA,NA,Naviculadicta,Naviculaceae,Naviculales,Bacillariophyceae,Ochrophyta,Chromista,genus,gbif,check
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,check
Limnomonas gaiensis,NA,NA,NA,Limnomonas,NA,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae,genus,gbif,check
Copepod,NA,NA,NA,NA,NA,NA,Copepoda,Arthropoda,Animalia,class,gbif,check
Insect,NA,NA,NA,NA,NA,NA,Insecta,Arthropoda,Animalia,class,gbif,check
Chironomid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,check
Mosquito,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,check
Beetle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,check
Scuticociliate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,check
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,check
Euglenophyta,NA,NA,NA,NA,NA,NA,NA,Euglenozoa,Protozoa,phylum,gbif,check
Carteria compressa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,check
Dinoflagellata,NA,NA,NA,NA,NA,NA,Dinophyceae,Myzozoa,Chromista,class,gbif,check
Trichodina diaptomi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,check
Chrysomonadales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,check
Vorticella aquadulcis,NA,NA,NA,Vorticella,Vorticellidae,Peritrichida,Oligohymenophorea,Ciliophora,Chromista,genus,gbif,check
Chroococcales,NA,NA,NA,NA,NA,Cyanobacteriales,Cyanobacteriia,Cyanobacteria,Bacteria,order,gbif,check
Coccolithophyceae,NA,NA,NA,NA,NA,NA,Prymnesiophyceae,Haptophyta,Chromista,class,gbif,check
Amphidinium manannini,NA,NA,NA,Amphidinium,Amphidiniaceae,NA,Dinophyceae,Myzozoa,Chromista,genus,gbif,check
Ankistrodesmus gelifactum,NA,NA,NA,Ankistrodesmus,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae,genus,gbif,check
Chlorococcum polymorphum,NA,NA,NA,Chlorococcum,Chlorococcaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae,genus,gbif,check
Gloeococcus planctogloea,NA,NA,NA,Gloeococcus,Palmellopsidaceae,Tetrasporales,Chlorophyceae,Chlorophyta,Plantae,genus,gbif,check
Leptolyngbya treleasii,NA,NA,NA,Leptolyngbya,Leptolyngbyaceae,Leptolyngbyales,Cyanobacteriia,Cyanobacteria,Bacteria,genus,gbif,check
Limnothrix meffertae,NA,NA,NA,Limnothrix,Cyanobacteriaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteria,Bacteria,genus,gbif,check
Microglena subglobosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,check
Tetrablepharis obovalis,NA,NA,NA,Tetrablepharis,Chlamydomonadaceae,Volvocales,Chlorophyceae,Chlorophyta,Plantae,genus,gbif,check
Difflugia tuberspinifera,NA,NA,NA,Difflugia,Difflugiidae,Arcellinida,Lobosa,Amoebozoa,Protozoa,genus,gbif,check
Pyxicola ovata,NA,NA,NA,Pyxicola,Vaginicolidae,Peritrichida,Oligohymenophorea,Ciliophora,Chromista,genus,gbif,check
Pyxicola psammata,NA,NA,NA,Pyxicola,Vaginicolidae,Peritrichida,Oligohymenophorea,Ciliophora,Chromista,genus,gbif,check
Ostracod,NA,NA,NA,NA,NA,NA,Ostracoda,Arthropoda,Animalia,class,gbif,check
Unapertura latens,NA,NA,NA,Unapertura,NA,Diplostraca,Branchiopoda,Arthropoda,Animalia,genus,gbif,check
Micrasterias ralfsii,NA,NA,NA,Micrasterias,NA,Desmidiales,Conjugatophyceae,Charophyta,Plantae,genus,gbif,check
Diplopora oregonensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,check
Brachionus Quadridentatus,NA,NA,NA,Brachionus,Acinetidae,Suctorida,Kinetofragminophora,Ciliophora,Chromista,genus,gbif,check
Coccoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,check
Haptophyceae,NA,NA,NA,NA,NA,NA,Prymnesiophyceae,Haptophyta,Chromista,class,gbif,check
