resolved.taxa.name,tax.uid,form,variety,species,genus,family,order,class,phylum,kingdom,rank,source,check
Aphanocapsa delicatissima,tax-1,NA,NA,Aphanocapsa delicatissima,Aphanocapsa,Merismopediaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Merismopedia minima,tax-2,NA,NA,Merismopedia minima,Merismopedia,Merismopediaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Synechocystis parvula,tax-3,NA,NA,Synechocystis parvula,Synechocystis,Merismopediaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Aphanocapsa incerta,tax-4,NA,NA,Aphanocapsa incerta,Aphanocapsa,Merismopediaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Eucapsis microscopica,tax-5,NA,NA,Eucapsis microscopica,Eucapsis,Merismopediaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Merismopedia tenuissima,tax-7,NA,NA,Merismopedia tenuissima,Merismopedia,Merismopediaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Pannus spumosus,tax-8,NA,NA,Pannus spumosus,Pannus,Merismopediaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Cyanodictyon planctonicum,tax-9,NA,NA,Cyanodictyon planctonicum,Cyanodictyon,Synechococcaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Lemmermanniella parva,tax-10,NA,NA,Lemmermanniella parva,Lemmermanniella,Synechococcaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Lemmermanniella,tax-11,NA,NA,NA,Lemmermanniella,Cymatolegaceae,NA,NA,Cyanobacteria,Bacteria,genus,gbif,check
Aphanothece saxicola,tax-13,NA,NA,Aphanothece saxicola,Aphanothece,Aphanothecaceae,Chroococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Anathece clathrata,tax-16,NA,NA,Anathece clathrata,Anathece,Synechococcaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Aphanothece clathrata rosea,tax-17,NA,Aphanothece clathrata rosea,NA,Aphanothece,Aphanothecaceae,Chroococcales,Cyanophyceae,Cyanobacteria,NA,variety,AlgaeBase,check
Aphanocapsa holsatica,tax-18,NA,NA,Aphanocapsa holsatica,Aphanocapsa,Merismopediaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Chlorococcales,tax-19,NA,NA,NA,NA,NA,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae,order,gbif,check
Raphidocelis microscopica,tax-20,NA,NA,Raphidocelis microscopica,Raphidocelis,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Rhabdoderma tenuissimum,tax-22,NA,NA,Rhabdoderma tenuissimum,Rhabdoderma,Synechococcaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Aphanocapsa conferta,tax-23,NA,NA,Aphanocapsa conferta,Aphanocapsa,Merismopediaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Monoraphidium nanum,tax-24,NA,NA,Monoraphidium nanum,Monoraphidium,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Snowella arachnoidea,tax-25,NA,NA,Snowella arachnoidea,Snowella,Coelosphaeriaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Aphanothece nidulans,tax-27,NA,NA,Aphanothece nidulans,Aphanothece,Aphanothecaceae,Chroococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Synechococcus nidulans,tax-28,NA,NA,Synechococcus nidulans,Synechococcus,Synechococcaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Aphanocapsa parasitica,tax-29,NA,NA,Aphanocapsa parasitica,Aphanocapsa,Merismopediaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Leptolyngbya lagerheimii,tax-30,NA,NA,Leptolyngbya lagerheimii,Leptolyngbya,Leptolyngbyaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Romeria gracilis,tax-31,NA,NA,Romeria gracilis,Romeria,Leptolyngbyaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Aphanocapsa elachista,tax-33,NA,NA,Aphanocapsa elachista,Aphanocapsa,Merismopediaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Chroococcus minimus,tax-34,NA,NA,Chroococcus minimus,Chroococcus,Chroococcaceae,Chroococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Snowella septentrionalis,tax-36,NA,NA,Snowella septentrionalis,Snowella,Coelosphaeriaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Chlorella vulgaris,tax-39,NA,NA,Chlorella vulgaris,Chlorella,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Nephrochlamys allanthoidea,tax-41,NA,NA,Nephrochlamys allanthoidea,Nephrochlamys,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Romeria chlorina,tax-42,NA,NA,Romeria chlorina,Romeria,Leptolyngbyaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Monoraphidium tortile,tax-43,NA,NA,Monoraphidium tortile,Monoraphidium,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Dictyosphaerium subsolitarium,tax-44,NA,NA,Dictyosphaerium subsolitarium,Dictyosphaerium,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Snowella lacustris,tax-45,NA,NA,Snowella lacustris,Snowella,Coelosphaeriaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Chloraphyta,tax-46,NA,NA,NA,NA,NA,NA,NA,Chlorophyta,Plantae,phylum,gbif,check
Choricystis parasitica,tax-47,NA,NA,Choricystis parasitica,Choricystis,Coccomyxaceae,,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Leptolyngbya valderiana,tax-48,NA,NA,Leptolyngbya valderiana,Leptolyngbya,Leptolyngbyaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Pseudanabaena limnetica,tax-49,NA,NA,Pseudanabaena limnetica,Pseudanabaena,Pseudanabaenaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Rhabdoderma lineare,tax-50,NA,NA,Rhabdoderma lineare,Rhabdoderma,Synechococcaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Planktolyngbya limnetica,tax-51,NA,NA,Planktolyngbya limnetica,Planktolyngbya,Leptolyngbyaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Pseudanabaena tenuis,tax-52,NA,NA,Pseudanabaena tenuis,Pseudanabaena,Pseudanabaenaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Pseudanabaena catenata,tax-53,NA,NA,Pseudanabaena catenata,Pseudanabaena,Pseudanabaenaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Aphanocapsa planctonica,tax-54,NA,NA,Aphanocapsa planctonica,Aphanocapsa,Merismopediaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Coelosphaerium kuetzingianum,tax-55,NA,NA,Coelosphaerium kuetzingianum,Coelosphaerium,Coelosphaeriaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Microcystis ichthyoblabe,tax-56,NA,NA,Microcystis ichthyoblabe,Microcystis,Microcystaceae,Chroococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Radiocystis aphanothecoidea,tax-58,NA,NA,Radiocystis aphanothecoidea,Radiocystis,Microcystaceae,Chroococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Drepanochloris nannoselene,tax-60,NA,NA,Drepanochloris nannoselene,Drepanochloris,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Myxococcoides chlorelloidea,tax-62,NA,NA,NA,Myxococcoides,Chroococcaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteria,Bacteria,genus,gbif,check
Pseudanabaena articulata,tax-63,NA,NA,Pseudanabaena articulata,Pseudanabaena,Pseudanabaenaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Pseudanabaena mucicola,tax-64,NA,NA,Pseudanabaena mucicola,Pseudanabaena,Pseudanabaenaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Pseudoschroederia antillarum,tax-66,NA,NA,Pseudoschroederia antillarum,Pseudoschroederia,Characiaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Aphanothece elabens,tax-67,NA,NA,Aphanothece elabens,Aphanothece,Aphanothecaceae,Chroococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Anagnostidinema acutissimum,tax-68,NA,NA,Anagnostidinema acutissimum,Anagnostidinema,Coleofasciculaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Monoraphidium capricornutum,tax-70,NA,NA,Monoraphidium capricornutum,Monoraphidium,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Pseudanabaena galeata,tax-71,NA,NA,Pseudanabaena galeata,Pseudanabaena,Pseudanabaenaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Nephrochlamys danica,tax-72,NA,NA,Nephrochlamys danica,Nephrochlamys,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Pseudanabaena arcuata,tax-73,NA,NA,Pseudanabaena arcuata,Pseudanabaena,Pseudanabaenaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Komvophoron minutum,tax-75,NA,NA,Komvophoron minutum,Komvophoron,Gomontiellaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Monoraphidium circinale,tax-76,NA,NA,Monoraphidium circinale,Monoraphidium,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Achroonema articulatum,tax-77,NA,NA,Achroonema articulatum,Achroonema,Eubacteria family,Eubacteria order,Eubacteria class,Eubacteria phylum,NA,species,AlgaeBase,check
Snowella rosea,tax-78,NA,NA,Snowella rosea,Snowella,Coelosphaeriaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Merismopedia hyalina,tax-79,NA,NA,Merismopedia hyalina,Merismopedia,Merismopediaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Merismopedia tranquilla,tax-80,NA,NA,Merismopedia tranquilla,Merismopedia,Merismopediaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Chroococcus varius,tax-81,NA,NA,Chroococcus varius,Chroococcus,Chroococcaceae,Chroococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Hariotina reticulata,tax-83,NA,NA,Hariotina reticulata,Hariotina,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Pseudodidymocystis fina,tax-84,NA,NA,Pseudodidymocystis fina,Pseudodidymocystis,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Radiocystis geminata,tax-85,NA,NA,Radiocystis geminata,Radiocystis,Microcystaceae,Chroococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Aphanocapsa muscicola,tax-86,NA,NA,Aphanocapsa muscicola,Aphanocapsa,Merismopediaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Choricystis skujae,tax-87,NA,NA,Choricystis skujae,Choricystis,Coccomyxaceae,,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Komvophoron skujae,tax-88,NA,NA,Komvophoron skujae,Komvophoron,Gomontiellaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Woronichinia ruzickae,tax-89,NA,NA,Woronichinia ruzickae,Woronichinia,Coelosphaeriaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Nitzschia lacuum,tax-90,NA,NA,Nitzschia lacuum,Nitzschia,Bacillariaceae,Bacillariales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Woronichinia fusca,tax-91,NA,NA,Woronichinia fusca,Woronichinia,Coelosphaeriaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Oscillatoria janus,tax-93,NA,NA,Oscillatoria janus,Oscillatoria,Oscillatoriaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Dolichospermum lemmermannii,tax-95,NA,NA,Dolichospermum lemmermannii,Dolichospermum,Aphanizomenonaceae,Nostocales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Dolichospermum flosaquae,tax-96,NA,NA,Dolichospermum flosaquae,Dolichospermum,Aphanizomenonaceae,Nostocales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Cyanobium,tax-97,NA,NA,NA,Cyanobium,Cyanobiaceae,NA,Cyanobacteriia,Cyanobacteria,Bacteria,genus,gbif,check
Merismopedia duplex,tax-98,NA,NA,Merismopedia duplex,Merismopedia,Merismopediaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Raphidocelis subcapitata,tax-99,NA,NA,Raphidocelis subcapitata,Raphidocelis,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Siderocelis oblonga,tax-101,NA,NA,Siderocelis oblonga,Siderocelis,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Platessa conspicua,tax-102,NA,NA,Platessa conspicua,Platessa,Achnanthaceae,Mastogloiales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Limnothrix planctonica,tax-103,NA,NA,Limnothrix planctonica,Limnothrix,Pseudanabaenaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Limnothrix obliqueacuminata,tax-105,NA,NA,Limnothrix obliqueacuminata,Limnothrix,Pseudanabaenaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Nephrochlamys subsolitaria,tax-106,NA,NA,Nephrochlamys subsolitaria,Nephrochlamys,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Anagnostidinema amphibium,tax-107,NA,NA,Anagnostidinema amphibium,Anagnostidinema,Coleofasciculaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Synechococcus ambiguus,tax-108,NA,NA,Synechococcus ambiguus,Synechococcus,Synechococcaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Woronichinia naegeliana,tax-109,NA,NA,Woronichinia naegeliana,Woronichinia,Coelosphaeriaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Scenedesmus pecsensis,tax-110,NA,NA,Scenedesmus pecsensis,Scenedesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
