original.taxa.name,resolved.taxa.name.gna,resolved.source.gnr,manual
Chlorophyceae small colony,Chlorophyceae,Catalogue of Life,bumped
Chlorella + Choricysits,NA,NA,na
Choricystis cf minor,Choricystis,Catalogue of Life,bumped
Choricystis minor,Choricystis,Catalogue of Life,bumped
Coelosphaerium kutzingii,Coelosphaerium,Catalogue of Life,bumped
Radiocystis aphaniticoidea,Radiocystis,Catalogue of Life,bumped
Chlorelloidea sp.,NA,NA,na
Schroederia antillarum,Schroederia,Catalogue of Life,bumped
Ulothrix barrel cell somtimes surounded by mucous,Ulothrix,Catalogue of Life,bumped
Kirchneriella subcapitata,Kirchneriella,Catalogue of Life,bumped
Chlorophyceae indetermined big,Chlorophyceae,Catalogue of Life,bumped
Didymocystis planctonica,Didymocystis,Catalogue of Life,bumped
cf Mantellum sp.,NA,NA,na
Cylindrospermum Bourget03,Cylindrospermum,Catalogue of Life,bumped
Kirchneriella contorta,Kirchneriella,Catalogue of Life,bumped
Pseudokephyrion striatum,Pseudokephyrion,Catalogue of Life,bumped
Scenedesmus lunatus,Scenedesmus,Catalogue of Life,bumped
Crucigeniella rectangularis,Crucigeniella,Catalogue of Life,bumped
Aphanizomenon issatschenkoi,Aphanizomenon,EOL,bumped
Stomatocyst 130,NA,NA,na
Coenochloris pyrenoideum var. minimum,Coenochloris,Catalogue of Life,bumped
Tetrastrum punctatum,Tetrastrum,Catalogue of Life,bumped
Tetrastrum komarekii,Tetrastrum,Catalogue of Life,bumped
Stomatocyst 114,NA,NA,na
Ulothrix short cell and broken filament,Ulothrix,Catalogue of Life,bumped
Cell of Dinobryon,NA,NA,na
Centric spp.,Centric,EOL,juvenile
Centric (Cyclotella + Stephanodiscus),NA,NA,na
Centric,Centric,EOL,juvenile
Heterothrix constricta,Heterothrix,Catalogue of Life,bumped
Ankyra flagellated zoospore,Ankyra,Catalogue of Life,bumped
Chrooccocus distans (4 cells),NA,NA,na
cf. Katodinium fongiforme,NA,NA,na
Dictyosphaerium cf tetrachotomum,Dictyosphaerium,Catalogue of Life,bumped
Kirchneriella dichotomococcoides,Kirchneriella,Catalogue of Life,bumped
Stomatocyst FR1,NA,NA,na
Coenochloris ovalis,Coenochloris,Catalogue of Life,bumped
Oscillatoria bourrellyi,Oscillatoria,Catalogue of Life,bumped
Stomatocyst sp.,NA,NA,na
Chlamydomonas cf botryospora,Chlamydomonas,Catalogue of Life,bumped
Volvocale 4 flagella,NA,NA,na
Scenedesmus spinosus,Scenedesmus,Catalogue of Life,bumped
Scenedesmus acutiformis,Scenedesmus,Catalogue of Life,bumped
