resolved.taxa.name,form,variety,species,genus,family,order,class,phylum,kingdom,rank,tol.id,source
Aphanocapsa delicatissima,NA,NA,Aphanocapsa delicatissima,Cyanothece,NA,NA,NA,Cyanobacteria,NA,species,4016690,tol
Merismopedia minima,NA,NA,Merismopedia minima,Merismopedia,NA,NA,NA,Cyanobacteria,NA,species,4016807,tol
Synechocystis parvula,NA,NA,Synechocystis parvula,Prochloron,NA,NA,NA,Cyanobacteria,NA,species,4016590,tol
Aphanocapsa incerta,NA,NA,Aphanocapsa incerta,Cyanothece,NA,NA,NA,Cyanobacteria,NA,species,4016649,tol
Chroococcus microscopicus,NA,NA,Chroococcus microscopicus,Chroococcus,NA,NA,NA,Cyanobacteria,NA,species,4016489,tol
Komvophoron,NA,NA,NA,Komvophoron,NA,NA,NA,Cyanobacteria,NA,genus,460980,tol
Merismopedia tenuissima,NA,NA,Merismopedia tenuissima,Merismopedia,NA,NA,NA,Cyanobacteria,NA,species,285034,tol
Pannus spumosus,NA,NA,Pannus spumosus,Pannus,NA,NA,NA,Cyanobacteria,NA,species,4016960,tol
Cyanodictyon planctonicum,NA,NA,Cyanodictyon planctonicum,Cyanodictyon,NA,NA,NA,Cyanobacteria,NA,species,4017123,tol
Lemmermanniella parva,NA,NA,Lemmermanniella parva,Lemmermanniella,NA,NA,NA,Cyanobacteria,NA,species,4017377,tol
Lemmermanniella,NA,NA,NA,Lemmermanniella,NA,NA,NA,Cyanobacteria,NA,genus,4017076,tol
Leptolyngbya,NA,NA,NA,Leptolyngbya,NA,NA,NA,Cyanobacteria,NA,genus,757914,tol
Aphanothece saxicola,NA,NA,Aphanothece saxicola,NA,NA,NA,NA,Cyanobacteria,NA,species,4016627,tol
Synechococcus,NA,NA,NA,Synechococcus,NA,NA,NA,Cyanobacteria,NA,genus,269054,tol
Aphanothece,NA,NA,NA,Aphanothece,NA,NA,NA,Cyanobacteria,NA,genus,269057,tol
