resolved.taxa.name
Myxococcoides chlorelloidea
Gloeotila spiralis
Scenedesmus pulloideus
Salpingoeca globulosa
Ochromonas nannos
Pseudosphaerocystis lundii
Pseudokephyrion blatnense
Fotterella tetrachlorella
Dinobryon anneciense
Kephyrion gracile
Stephanocodon socialis
Daphnia hyalinaxgaleata
Asplanchna henrietta
Chlorolobion glareosum
Kephyrion welshii
Notommata oculifera
Fallacia difficillimoides
Mayamaea alcimonica
Naviculadicta seminulum
Trichodina diaptomi
Schroederia ecsediensis
Bicosoeca lauterbornei
Centritractus rotundatus
Characiopsis crassirostrum
Characiopsis obliqua
Characiopsis spina
Characium sikangense
Chroostipes linearis
Chrysococcocystis ovoides
Chrysosphaerella setifera
Chrysoxys rhizopodica
Dichotomococcus bacillaris
Granulocystis ruzickae
Kephyrion crassum
Lepidochromonas butcheri
Lepidochromonas subquadrangularis
Lepidochromonas subrotacea
Lepidochromonas takahashii
Leptolyngbya purpurascens
Mallomonas bacterium
Mallomonas valkanoviana
Microglena subglobosa
Ochromonas coronifera
Ochromonas sphaerella
Polygoniochloris tetragona
Pseudococcomyxa chodatii
Pseudokephyrion hyalinum
Pseudokephyrion pilidium
Pseudokephyrion urnula
Pseudopedinella ambigua
Rayssiella marvanii
Scenedesmus pseudogranulatus
Scenedesmus pseudohelveticus
Scenedesmus pseudohystrix
Stokesiella longipes
Stokesiella minutissima
Tetrablepharis obovalis
Thorakochloris pringsheimii
Pyxicola psammata
Unapertura latens
Brachionus tubifex
Diaphanosoma edmondsoni
Diaphanosoma kizakiensis
Moina hemanti
Gloeomonas tecta
Pseudopediastrum subgranulatum
Scenedesmus formidolosus
Scenedesmus pseudoquadricauda
Scenedesmus similagineus
