cleaned.taxa.name,resolved.taxa.name.manual
coelosphaerium kutzingii,Coelosphaerium kuetzingianum
gloeotila spiralis,stichococcus contortus
anabaena flos-aquae treleasii,Dolichospermum flosaquae
aphanizomenon flos-aquae gracile,Aphanizomenon gracile
scenedesmus pulloideus,scenedesmus
scenedesmus intermedius acaudatus,scenedesmus intermedius
gomphonema intricatum pumila,gomphonema intricatum
anabaena oscillarioides elliptica,anabaena oscillarioides
salpingoeca globulosa,salpingoeca
scenedesmus intermedius bicaudatus,scenedesmus intermedius
anabaena bergii limnetica,Anabaena minderi
ochromonas nannos,ochromonas nana
scenedesmus ecornis polymorphus,scenedesmus ecornis
cyclotella atomus gracilis,cyclotella atomus
tetraedron minimum tetralobulatum,tetraedron minimum
scenedesmus acutus acutus,scenedesmus acutus
stichogloea olivacea sphaerica,stichogloea olivacea
scenedesmus denticulatus fenestratus,Desmodesmus denticulatus
cosmarium pygmaeum heimerlii,cosmarium pygmaeum
scenedesmus lefevrei manguinii,Desmodesmus lefevrei
kirchneriella dichotomococcoides,kirchneriella
scenedesmus intermedius intermedius,Desmodesmus intermedius
scenedesmus opoliensis carinatus,Desmodesmus opoliensis
staurodesmus incus minor,staurodesmus incus
chlamydomonas gloeophila irregularis,chlamydomonas gloeophila
cosmarium polygonum hexagonum,cosmarium polygonum
fragilaria construens venter,Fragilaria venter
cosmarium abbreviatum minor,cosmarium abbreviatum
pseudosphaerocystis lundii,pseudosphaerocystis
fragilaria tenera lemanensis,fragilaria tenera
pseudokephyrion blatnense,kephyrion blatnense
fotterella tetrachlorella,fotterella tetrachlorelloides
dinobryon anneciense,dinobryon
dinobryon sertularia protuberans,dinobryon sertularia
closterium acutum linea,closterium acutum
dinobryon sociale americanum,dinobryon sociale
dinobryon sociale stipitatum,dinobryon sociale
pandorina morum major,pandorina morum
cosmarium novae-semliae sibiricum,cosmarium novae-semliae
closterium acutum variabile,closterium acutum
cosmarium sexangulare minus,Cosmarium sexangulare
tetraedron minimum scrobiculatum,tetraedron minimum
cosmarium phaseolus minus,cosmarium phaseolus
dinobryon cylindricum alpinum,dinobryon cylindricum
ulothricophyceae,chlorophyceae
pseudostaurastrum alternans,staurastrum alternans
closterium venus westii,closterium venus
trachelomonas volvocina subglobosa,trachelomonas volvocina
pseudostaurastrum hastatum palatinum,pseudostaurastrum hastatum
cosmarium venustum minus,cosmarium venustum
cosmarium subcostatum minus,cosmarium subcostatum
ulnaria delicatissima angustissima,Synedra delicatissima
coenocystis planctonica hercynica,coenocystis planctonica
peridiniopsis umbonatum,Peridinium umbonatum
cymbella helvetica curta,cymbella helvetica
cosmarium subprotumidum gregorii,cosmarium subprotumidum
aulacoseira islandica helvetica,aulacoseira islandica
cosmarium undulatum minutum,cosmarium undulatum
peridinium inconspicuum var. contactum,Parvodinium inconspicuum
stephanodiscus hantzschii tenuis,Stephanodiscus tenuis
cosmarium subcostatum subcostatum,Cosmarium subcosmetum
phacus pleuronectes pleuronectes,phacus pleuronectes
staurastrum johnsonii triradiatum,staurastrum johnsonii
staurastrum sebaldii ornatum,Staurastrum manfeldtii
cosmarium margaritiferum regularius,cosmarium margaritiferum
staurastrum planctonicum bullosum,Staurastrum pingue
cymatopleura solea regula,Surirella regula
cyclotella bodanica lemanensis,Lindavia bodanica
kephyrion gracilis,kephyrion
kephyrion gracile,kephyrion
gomphosphaeria pallidum,gomphosphaeria
stephanocodon socialis,Bicosoeca socialis
afroneurus ethiopicus,afroneurus
anax congoliath lisomboae,anax congoliath
gomphidia quarrei quarrei,gomphidia quarrei
gomphidia quarrei confinii,gomphidia quarrei
ictinogomphus ruwenzorica,ictinogomphus
clogmia albopuncta,clogmia albipunctata
bosmina longispina-maritima,bosmina longispina
chydorus bicuspidatus,chydorus
daphnia cucullataxgaleata,daphnia
daphnia hyalinaxgaleata,daphnia
copepodit calanoida,Calanoida
copepodit cyclopoida,Calanoida
asplanchna henrietta,asplanchna priodonta
nauplii copepoda,copepoda
chlorolobion glareosum,chlorolobion
desmodesmus armatus longispina,desmodesmus armatus
dictyosphaerium pulchellum minutum,Mucidosphaerium pulchellum
pseudopediastrum boryanum longicorne,pseudopediastrum boryanum
scenedesmus armatus boglariensis,Desmodesmus denticulatus
scenedesmus denticulatus brevispinus,Desmodesmus denticulatus
scenedesmus granulatus f. spinosus,Desmodesmus granulatus
