search_string,new_name
coelosphaerium kutzingii,NA
gloeotila spiralis,stichococcus contortus
anabaena flos-aquae treleasii,NA
aphanizomenon flos-aquae gracile,NA
scenedesmus pulloideus,scenedesmus
scenedesmus intermedius acaudatus,NA
gomphonema intricatum pumila,NA
anabaena oscillarioides elliptica,NA
salpingoeca globulosa,salpingoeca
scenedesmus intermedius bicaudatus,NA
anabaena bergii limnetica,NA
ochromonas nannos,ochromonas nana
scenedesmus ecornis polymorphus,NA
cyclotella atomus gracilis,NA
tetraedron minimum tetralobulatum,NA
scenedesmus acutus acutus,NA
stichogloea olivacea sphaerica,NA
scenedesmus denticulatus fenestratus,NA
cosmarium pygmaeum heimerlii,NA
scenedesmus lefevrei manguinii,NA
kirchneriella dichotomococcoides,NA
scenedesmus intermedius intermedius,NA
scenedesmus opoliensis carinatus,NA
staurodesmus incus minor,NA
chlamydomonas gloeophila irregularis,NA
cosmarium polygonum hexagonum,NA
fragilaria construens venter,NA
cosmarium abbreviatum minor,NA
pseudosphaerocystis lundii,pseudosphaerocystis
fragilaria tenera lemanensis,NA
pseudokephyrion blatnense,kephyrion blatnense
fotterella tetrachlorella,fotterella tetrachlorelloides
dinobryon anneciense,dinobryon
dinobryon sertularia protuberans,NA
closterium acutum linea,NA
dinobryon sociale americanum,NA
dinobryon sociale stipitatum,NA
pandorina morum major,NA
cosmarium novae-semliae sibiricum,NA
closterium acutum variabile,NA
cosmarium sexangulare minus,NA
tetraedron minimum scrobiculatum,NA
cosmarium phaseolus minus,NA
dinobryon cylindricum alpinum,NA
ulothricophyceae,NA
pseudostaurastrum alternans,NA
closterium venus westii,NA
trachelomonas volvocina subglobosa,NA
pseudostaurastrum hastatum palatinum,NA
cosmarium venustum minus,NA
cosmarium subcostatum minus,NA
ulnaria delicatissima angustissima,NA
coenocystis planctonica hercynica,NA
peridiniopsis umbonatum,NA
cymbella helvetica curta,NA
cosmarium subprotumidum gregorii,NA
aulacoseira islandica helvetica,NA
cosmarium undulatum minutum,NA
peridinium inconspicuum var. contactum,NA
stephanodiscus hantzschii tenuis,NA
cosmarium subcostatum subcostatum,NA
phacus pleuronectes pleuronectes,NA
staurastrum johnsonii triradiatum,NA
staurastrum sebaldii ornatum,NA
