original.taxa.name,resolved.taxa.name.manual,resolved.source.manual
Aphanothece clathrata var. rosea,NA,NA
Aphanocapsa parasitica f. dinobryonis,NA,NA
Aphanocapsa parasitica f. dinobryonis single cell,NA,NA
Aphanocapsa elachista var. conferta,NA,NA
Chlorophyceae small colony,Chlorophyceae,manually
Chlorella + choricysits,Chloraphyta,manually
Choricystis cf minor,Choricystis minor,manually
Choricystis minor,Choricystis minor,manually
Coelosphaerium kutzingii,Coelosphaerium kuetzingianum,manually
Radiocystis aphaniticoidea,NA,manually
Chlorelloidea sp.,Myxococcoides chlorelloidea,manually
Schroederia antillarum,Pseudoschroederia antillarum,manually
Ulothrix barrel cell somtimes surounded by mucous,Ulothrix,manually
Anabaena flos-aquae f. lemmermannii,NA,NA
Anabaena flos-aquae var. treleasii,NA,NA
Kirchneriella subcapitata,Raphidocelis subcapitata,manually
Woronichinia naegeliana f. cellulaire,NA,NA
Chlorophyceae indetermined big,Chlorophyceae,manually
Aphanizomenon flos-aquae var. gracile,NA,NA
Didymocystis planctonica,Pseudodidymocystis planctonica,manually
Cf mantellum sp.,Mantellum,manually
Cylindrospermum bourget03,Cylindrospermum,manually
Kirchneriella contorta,Raphidocelis danubiana,manually
Pediastrum boryanum var. longicorne,NA,NA
Pseudokephyrion striatum,Pseudokephyrion striatum,manually
Scenedesmus intermedius var. acaudatus,NA,NA
Scenedesmus lunatus,Desmodesmus lunatus,manually
Gomphonema intricatum var. pumila,NA,NA
Crucigeniella rectangularis,Willea rectangularis,manually
Aphanizomenon issatschenkoi,Cuspidothrix issatschenkoi,manually
Tribonema microchloron var. cylindricum,NA,NA
Stomatocyst 130,Chrysophyceae,manually
Anabaena oscillarioides f. elliptica,NA,NA
Coenochloris pyrenoideum var. minimum,NA,manually
Tetrastrum punctatum,Lemmermannia punctata,manually
Scenedesmus intermedius var. bicaudatus,NA,NA
Tetrastrum komarekii,Lemmermannia komarekii,manually
Anabaena bergii var. limneticum,NA,NA
Scenedesmus bicaudatus var. brevicaudatus,NA,NA
Rhodomonas minuta var. nannoplanctica,NA,NA
Scenedesmus ecornis var. polymorphus,NA,NA
Stomatocyst 114,Chrysophyceae,manually
Cyclotella atomus var. gracilis,NA,NA
Ulothrix short cell and broken filament,Ulothrix,manually
Tetraedron minimum f. tetralobulatum,NA,NA
Scenedesmus bicaudatus var. fenestratus,NA,NA
Cell of dinobryon,Dinobryon,manually
Centric spp.,Bacillariophyceae,manually
Centric (cyclotella + stephanodiscus),Stephanodiscaceae,manually
Centric,Bacillariophyceae,manually
Scenedesmus acutus var. acutus,NA,NA
Heterothrix constricta,Xanthonema constrictum,manually
Stichogloea olivacea var. sphaerica,NA,NA
Stichogloea olivacea var. sphaerica single cell,NA,NA
Ankyra flagellated zoospore,Ankyra,manually
Anabaena solitaria var. planctonica,NA,NA
Scenedesmus denticulatus var. fenestratus,NA,NA
Cosmarium pygmaeum var. heimerlii,NA,NA
Scenedesmus lefevrii var. manguinii,NA,NA
Chrooccocus distans (4 cells),NA,manually
