Species,Nitrogen fixation,Motility,Silicon demand,Individual cell volumes (μm³),Maximum linear size (μm),Viscose,Cell tissue type,min_size,max_size,min_length,max_length
Euastrum ansatum,Not possess,Non-motor cells,Not possess,1000~2000,25~40,Not possess,Monoplast,1000,2000,25,40
Scenedesmus armatus,Not possess,Non-motor cells,Not possess,400~1000,12~25,Not possess,Cenobium,400,1000,12,25
Scenedesmus platydiscus,Not possess,Non-motor cells,Not possess,400~1000,12~25,Not possess,Cenobium,400,1000,12,25
Cocconeis placentula,Not possess,Non-motor cells,Possess,3000~10000,40~80,Not possess,Monoplast,3000,10000,40,80
Cymbopleura solea,Not possess,Non-motor cells,Possess,>10000,>200,Not possess,Monoplast,10000,NA,200,NA
Westella botryoides,Not possess,Non-motor cells,Not possess,<400,<12,Possess,Instable group,NA,400,NA,12
Surirella robusta,Not possess,Non-motor cells,Possess,>10000,40~80,Not possess,Monoplast,10000,NA,40,80
Gyrosigma scalproides,Not possess,Non-motor cells,Possess,>10000,80~200,Not possess,Monoplast,10000,NA,80,200
Spirulina major,Possess,Non-motor cells,Not possess,<400,<12,Possess,Protonema,NA,400,NA,12
Euglena ehrenbergii,Not possess,Flagellar species that can move in 3D space,Not possess,>10000,>200,Not possess,Monoplast,10000,NA,200,NA
Pediastrum simplex,Not possess,Non-motor cells,Not possess,1000~2000,12~25,Possess,Cenobium,1000,2000,12,25
Scenedesmus linearis,Not possess,Non-motor cells,Not possess,<400,12~25,Not possess,Cenobium,NA,400,12,25
Merismopedia convoluta,Not possess,Non-motor cells,Not possess,<400,<12,Possess,Cenobium,NA,400,NA,12
Crucigenia apiculata,Not possess,Non-motor cells,Not possess,<400,<12,Not possess,Cenobium,NA,400,NA,12
Tetrastnun staurogeniaeforme,Not possess,Non-motor cells,Not possess,<400,<12,Not possess,Cenobium,NA,400,NA,12
Fragilaria capucina,Not possess,Non-motor cells,Possess,3000~10000,>200,Not possess,Monoplast,3000,10000,200,NA
Arthrospira platensis,Not possess,Flagellar species that can move in 3D space,Not possess,>10000,>200,Not possess,Monoplast,10000,NA,200,NA
Scenedesmus obtusus,Not possess,Non-motor cells,Not possess,<400,12~25,Not possess,Cenobium,NA,400,12,25
Peridinium sp.1,Not possess,Flagellar species that can move in 3D space,Not possess,400~1000,25~40,Not possess,Monoplast,400,1000,25,40
Pediastrum duplex Meyen,Not possess,Non-motor cells,Not possess,1000~2000,12~25,Possess,Cenobium,1000,2000,12,25
Scenedesmus dimorphus,Not possess,Non-motor cells,Not possess,<400,12~25,Not possess,Cenobium,NA,400,12,25
Navicula radiosa,Not possess,Non-motor cells,Possess,3000~10000,80~200,Not possess,Monoplast,3000,10000,80,200
Ceratium hirundinella,Not possess,Flagellar species that can move in 3D space,Not possess,3000~10000,>200,Not possess,Monoplast,3000,10000,200,NA
Kirchneriella obesa,Not possess,Non-motor cells,Not possess,<400,12~25,Possess,Cenobium,NA,400,12,25
Dinobryon divergens,Not possess,Non-motor cells,Not possess,1000~2000,40~80,Possess,Instable group,1000,2000,40,80
Crucigenia divergens,Not possess,Non-motor cells,Not possess,<400,<12,Not possess,Cenobium,NA,400,NA,12
Scenedesmus abundans,Not possess,Non-motor cells,Not possess,<400,12~25,Not possess,Cenobium,NA,400,12,25
Staurastrum gracile,Not possess,Non-motor cells,Not possess,>10000,40~80,Not possess,Monoplast,10000,NA,40,80
Nitzschia palea,Not possess,Non-motor cells,Possess,1000~2000,40~80,Not possess,Monoplast,1000,2000,40,80
Skeletonema potamos,Not possess,Non-motor cells,Not possess,<400,<12,Not possess,Protonema,NA,400,NA,12
Anabaena azotica Ley,Possess,Adjust the buoyancy through the airbag,Not possess,<400,<12,Possess,Protonema,NA,400,NA,12
Cosmarium laeve Rabenhorst,Not possess,Non-motor cells,Not possess,3000~10000,40~80,Not possess,Monoplast,3000,10000,40,80
Thalassiosira Cleve sp.1,Not possess,Non-motor cells,Possess,<400,<12,Not possess,Monoplast,NA,400,NA,12
Actinastrwn fluviatile,Not possess,Non-motor cells,Not possess,<400,12~25,Not possess,Cenobium,NA,400,12,25
Strombomonas fluviatilis,Not possess,Non-motor cells,Not possess,400~1000,25~40,Not possess,Monoplast,400,1000,25,40
Hannaea arcus,Not possess,Non-motor cells,Possess,3000~10000,80~200,Not possess,Monoplast,3000,10000,80,200
Pseudanabaena limnetica,Possess,Non-motor cells,Not possess,400~1000,<12,Not possess,Protonema,400,1000,NA,12
Oocystis lacustris,Possess,Non-motor cells,Not possess,<400,25~40,Possess,Instable group,NA,400,25,40
Tetrastrumelegans Playfair,Not possess,Non-motor cells,Not possess,<400,<12,Not possess,Cenobium,NA,400,NA,12
Microcystis wesenbergii,Possess,Adjust the buoyancy through the airbag,Not possess,<400,<12,Possess,Instable group,NA,400,NA,12
Navicula recens,Not possess,Non-motor cells,Possess,3000~10000,40~80,Not possess,Monoplast,3000,10000,40,80
Trachelomonas hisoida,Not possess,Flagellar species that can move in 3D space,Not possess,<400,12~25,Not possess,Monoplast,NA,400,12,25
Gyrosigma acuminatum,Not possess,Non-motor cells,Possess,3000~10000,80~200,Not possess,Monoplast,3000,10000,80,200
Oscillatoria acutissima,Possess,Non-motor cells,Not possess,<400,<12,Possess,Protonema,NA,400,NA,12
Phacus acuminatus,Not possess,Flagellar species that can move in 3D space,Not possess,>10000,25~40,Not possess,Monoplast,10000,NA,25,40
Chroomonas acuta,Not possess,Flagellar species that can move in 3D space,Not possess,<400,<12,Not possess,Monoplast,NA,400,NA,12
Euglena oxyuris,Not possess,Flagellar species that can move in 3D space,Not possess,>10000,>200,Not possess,Monoplast,10000,NA,200,NA
