Sp_no,Species name,BioVol_C1,BioVol_C2,BioVol_C3,BioVol_C4,BioVol_C5,min.body.size,max.body.size,type
Sp01,Achnanthidium exiguum,0,1,0,0,0,100,300,range
Sp02,Achnanthidium minutissimum,1,0,0,0,0,5,100,range
Sp03,Achroonema articulatum,0,1,0,0,0,100,300,range
Sp04,Amphora ovalis,0,0,0,0,1,1500,NA,min
Sp05,Ankyra ancora,0,1,0,0,0,100,300,range
Sp06,Anomoeoneis sphaerophora,0,0,0,0,1,1500,NA,min
Sp07,Aphanocapsa elegans,0,1,0,0,0,100,300,range
Sp08,Aphanocapsa grevillei,0,1,0,0,0,100,300,range
Sp09,Brachysira serians,0,1,0,0,0,100,300,range
Sp10,Caloneis bacillum,0,0,1,0,0,300,600,range
Sp11,Chlamydomonas reinchardtii,0,1,0,0,0,100,300,range
Sp12,Chlorella minutissima,1,0,0,0,0,5,100,range
Sp13,Chloromonas angustissima,1,0,0,0,0,5,100,range
Sp14,Chroococcus limneticus,0,0,0,1,0,600,1500,range
Sp15,Chroococcus vacuolatus,0,0,1,0,0,300,600,range
Sp16,Chrysochromulina parva,1,0,0,0,0,5,100,range
Sp17,Closterium ehrenbergii,0,0,0,0,1,1500,NA,min
Sp18,Cocconeis placentula,0,0,0,0,1,1500,NA,min
Sp19,Coelastrum astroideum,0,0,0,1,0,600,1500,range
Sp20,Coenochloris helvetica,0,1,0,0,0,100,300,range
Sp21,Coenocystis planctonica,0,1,0,0,0,100,300,range
Sp22,Cosmarium carinthiacum,0,0,0,0,1,1500,NA,min
Sp23,Cosmarium trilobulatum,0,0,0,0,1,1500,NA,min
Sp24,Cryptomonas ovata,0,0,0,0,1,1500,NA,min
Sp25,Cyclotella meneghiniana,0,0,0,1,0,600,1500,range
Sp26,Cymatopleura solea,0,0,0,0,1,1500,NA,min
Sp27,Desmodesmus opoliensis,0,0,1,0,0,300,600,range
Sp28,Diatoma vulgaris,0,0,0,0,1,1500,NA,min
Sp29,Dictosphaerium ehrenbergainum,0,0,1,0,0,300,600,range
Sp30,Diplostauron elegans,0,1,0,0,0,100,300,range
Sp31,Euglenaria clavata,0,0,0,0,1,1500,NA,min
Sp32,Euglenaformis proxima,0,0,0,0,1,1500,NA,min
Sp33,Euglena viridis,0,0,0,0,1,1500,NA,min
Sp34,Eunotia bilunaris,0,0,0,1,0,600,1500,range
Sp35,Eunotia minor,0,0,0,1,0,600,1500,range
Sp36,Eutetramorus planctonicus,0,0,0,0,1,1500,NA,min
Sp37,Eutetramorus polycoccus,0,1,0,0,0,100,300,range
Sp38,Fragilaria capucina,0,1,0,0,0,100,300,range
Sp39,Fragilaria gracilis,1,0,0,0,0,5,100,range
Sp40,Fragilaria mesolepta,0,1,0,0,0,100,300,range
Sp41,Fragilaria pararumpens,0,0,1,0,0,300,600,range
Sp42,Geminella terricola,0,1,0,0,0,100,300,range
Sp43,Gomphonema affine,0,0,0,1,0,600,1500,range
Sp44,Gomphonema acidoclinatum,0,0,1,0,0,300,600,range
Sp45,Gomphonema acuminatum,0,0,0,0,1,1500,NA,min
Sp46,Gomphonema angusticephalum,0,0,1,0,0,300,600,range
Sp47,Gomphonema parvulum,0,0,1,0,0,300,600,range
Sp48,Gomphonema truncatum,0,0,0,1,0,600,1500,range
Sp49,Hippodonta capitata,0,0,1,0,0,300,600,range
Sp50,Jaaginema geminata,1,0,0,0,0,5,100,range
Sp51,Kirchneriella obesa,0,0,1,0,0,300,600,range
Sp52,Koliella longiseta,0,1,0,0,0,100,300,range
Sp53,Koliella sempervirens,0,1,0,0,0,100,300,range
Sp54,Lemnicola hungarica,0,0,1,0,0,300,600,range
Sp55,Lepocinclis acus,0,0,0,0,1,1500,NA,min
Sp56,Lepocinclis marssonii,0,0,0,0,1,1500,NA,min
Sp57,Lepocinclis ovum,0,1,0,0,1,100,300,range
Sp58,Lepocinclis texta,0,0,0,0,1,1500,NA,min
Sp59,Melosira varians,0,0,0,0,1,1500,NA,min
Sp60,Meridion circulare,0,0,0,1,0,600,1500,range
Sp61,Merismopedia elegans,0,1,0,0,0,100,300,range
Sp62,Merismopedia tenuissima,1,0,0,0,0,5,100,range
Sp63,Microcystis flos-aquae,0,0,0,0,1,1500,NA,min
Sp64,Microspora floccosa,0,0,0,0,1,1500,NA,min
Sp65,Monomorphina pyrum,0,0,0,0,1,1500,NA,min
Sp66,Monoraphidium contortum,1,0,0,0,0,5,100,range
Sp67,Monoraphidium griffithii,0,0,1,0,0,300,600,range
Sp68,Navicula cincta,0,0,1,0,0,300,600,range
Sp69,Navicula lanceolata,0,0,0,1,0,600,1500,range
Sp70,Neglectella solitaria,0,1,0,0,0,100,300,range
Sp71,Nitzschia fonticola,0,0,1,0,0,300,600,range
Sp72,Oocystidium polymammilatum,0,0,0,0,1,1500,NA,min
Sp73,Oocystis borgei,0,0,0,0,1,1500,NA,min
Sp74,Oocystis lacustris,0,0,1,0,0,300,600,range
Sp75,Parapediastrum biradiatum,0,0,0,1,0,600,1500,range
Sp76,Pediastrum boryanum,0,0,0,1,0,600,1500,range
Sp77,Pediastrum duplex,0,0,0,1,0,600,1500,range
Sp78,Pediastrum tetras,0,0,0,1,0,600,1500,range
Sp79,Peridiniopsis cunningtonii,0,0,0,0,1,1500,NA,min
Sp80,Peridinium willei,0,0,0,0,1,1500,NA,min
Sp81,Phacus  monilatus,0,0,0,0,1,1500,NA,min
Sp82,Phacus helicoides,0,0,0,0,1,1500,NA,min
Sp83,Phacus longicauda,0,0,0,0,1,1500,NA,min
Sp84,Phacus orbicularis,0,0,0,0,1,1500,NA,min
Sp85,Phacus parvulus,0,0,0,0,1,1500,NA,min
Sp86,Phormidium tenue,1,0,0,0,0,5,100,range
