source,authors,year,title,doi,page,volume,issue
"Abdel-Aziz, F.A. et al. (2020) ‘Pleurotheciella nilotica sp. nov. (Pleurotheciales, Ascomycota) from freshwater habitats in Egypt’, Nova Hedwigia, 110(1–2), pp. 91–98. Available at: https://doi.org/10.1127/nova_hedwigia/2020/0570.","Abdel-Aziz, F.A. et al. ",2020,"Pleurotheciella nilotica sp. nov. (Pleurotheciales, Ascomycota) from freshwater habitats in Egypt",10.1127/nova_hedwigia/2020/0570,91–98,110,(1–2)
"Abdollahzadeh, J. et al. (2020) ‘Evolution of lifestyles in Capnodiales’, Studies in Mycology, 95, pp. 381–414. Available at: https://doi.org/10.1016/j.simyco.2020.02.004.","Abdollahzadeh, J. et al. ",2020,Evolution of lifestyles in Capnodiales,10.1016/j.simyco.2020.02.004,381–414,95,NA
"Abdullahi, B.A. (1992) ‘Effects of diet on growth and development of three species of cyclopoid copepods’, Hydrobiologia, 232(3), pp. 233–241. Available at: https://doi.org/10.1007/BF00013708.","Abdullahi, B.A. ",1992,Effects of diet on growth and development of three species of cyclopoid copepods,10.1007/BF00013708,233–241,232,(3)
"Abonyi, A., Horváth, Z. and Ptacnik, R. (2018) ‘Functional richness outperforms taxonomic richness in predicting ecosystem functioning in natural phytoplankton communities’, Freshwater Biology, 63(2), pp. 178–186. Available at: https://doi.org/10.1111/fwb.13051.","Abonyi, A., Horváth, Z. and Ptacnik, R. ",2018,Functional richness outperforms taxonomic richness in predicting ecosystem functioning in natural phytoplankton communities,10.1111/fwb.13051,178–186,63,(2)
"Adl, S.M. et al. (2012) ‘The Revised Classification of Eukaryotes’, Journal of Eukaryotic Microbiology, 59(5), pp. 429–514. Available at: https://doi.org/10.1111/j.1550-7408.2012.00644.x.","Adl, S.M. et al. ",2012,The Revised Classification of Eukaryotes,10.1111/j.1550-7408.2012.00644.x,429–514,59,(5)
"Adrian, R. (1999) ‘Top-down effects of crustacean zooplankton on pelagic microorganisms in a mesotrophic lake’, Journal of Plankton Research, 21(11), pp. 2175–2190. Available at: https://doi.org/10.1093/plankt/21.11.2175.","Adrian, R. ",1999,Top-down effects of crustacean zooplankton on pelagic microorganisms in a mesotrophic lake,10.1093/plankt/21.11.2175,2175–2190,21,(11)
"Aguilera, A. et al. (2017) ‘Synergistic effects of nutrients and light favor Nostocales over non-heterocystous cyanobacteria’, Hydrobiologia, 794(1), pp. 241–255. Available at: https://doi.org/10.1007/s10750-017-3099-1.","Aguilera, A. et al. ",2017,Synergistic effects of nutrients and light favor Nostocales over non-heterocystous cyanobacteria,10.1007/s10750-017-3099-1,241–255,794,(1)
"Aguilera, A. et al. (2018) ‘Bloom-forming cyanobacteria and cyanotoxins in Argentina: A growing health and environmental concern’, Limnologica, 69, pp. 103–114. Available at: https://doi.org/10.1016/j.limno.2017.10.006.","Aguilera, A. et al. ",2018,Bloom-forming cyanobacteria and cyanotoxins in Argentina: A growing health and environmental concern,10.1016/j.limno.2017.10.006,103–114,69,NA
"Aguilera, A. et al. (2019) ‘Raphidiopsis mediterranea (Nostocales) exhibits a flexible growth strategy under light and nutrient fluctuations in contrast to Planktothrix agardhii (Oscillatoriales)’, Hydrobiologia, 839(1), pp. 145–157. Available at: https://doi.org/10.1007/s10750-019-04002-5.","Aguilera, A. et al. ",2019,Raphidiopsis mediterranea (Nostocales) exhibits a flexible growth strategy under light and nutrient fluctuations in contrast to Planktothrix agardhii (Oscillatoriales),10.1007/s10750-019-04002-5,145–157,839,(1)
"Aleoshin, V.V. et al. (2016) ‘Heterokont Predator Develorapax marinus gen. et sp. nov. – A Model of the Ochrophyte Ancestor’, Frontiers in Microbiology, 7. Available at: https://doi.org/10.3389/fmicb.2016.01194.","Aleoshin, V.V. et al. ",2016,Heterokont Predator Develorapax marinus gen. et sp. nov. – A Model of the Ochrophyte Ancestor,10.3389/fmicb.2016.01194,NA,7,NA
"Al-Hatmi, A.M.S. et al. (2021) ‘Basidiobolus omanensis sp. nov. Causing Angioinvasive Abdominal Basidiobolomycosis’, Journal of Fungi, 7(8), p. 653. Available at: https://doi.org/10.3390/jof7080653.","Al-Hatmi, A.M.S. et al. ",2021,Basidiobolus omanensis sp. nov. Causing Angioinvasive Abdominal Basidiobolomycosis,10.3390/jof7080653,653,7,(8)
"Allen, A.P., Gillooly, J.F. and Brown, J.H. (2005) ‘Linking the global carbon cycle to individual metabolism’, Functional Ecology, 19(2), pp. 202–213. Available at: https://doi.org/10.1111/j.1365-2435.2005.00952.x.","Allen, A.P., Gillooly, J.F. and Brown, J.H. ",2005,Linking the global carbon cycle to individual metabolism,10.1111/j.1365-2435.2005.00952.x,202–213,19,(2)
"Almanza, V. et al. (2016) ‘Occurrence of toxic blooms of Microcystis aeruginosa in a central Chilean (36° Lat. S) urban lake’, Revista Chilena de Historia Natural, 89(1), p. 8. Available at: https://doi.org/10.1186/s40693-016-0057-7.","Almanza, V. et al. ",2016,Occurrence of toxic blooms of Microcystis aeruginosa in a central Chilean (36° Lat. S) urban lake,10.1186/s40693-016-0057-7,8,89,(1)
"Almanza, V. et al. (2019) ‘Association between trophic state, watershed use, and blooms of cyanobacteria in south-central Chile’, Limnologica, 75, pp. 30–41. Available at: https://doi.org/10.1016/j.limno.2018.11.004.","Almanza, V. et al. ",2019,"Association between trophic state, watershed use, and blooms of cyanobacteria in south-central Chile",10.1016/j.limno.2018.11.004,30–41,75,NA
