original.taxa.name,cleaned.taxa.name.gna,cleaned.source.gna
Cyclotella rhomboideo-elliptica,Cyclotella rhomboideo-elliptica,EOL
Cyclotella baicalensis,Cyclotella baicalensis,EOL
Cyclotella ornata,Cyclotella ornata,EOL
Cyclotella minuta,Cyclotella minuta,EOL
Urosolenia eriensis var. morsa,Urosolenia eriensis morsa,EOL
Cyclotella stylorum,Cyclotella stylorum,EOL
small Cyclotella,NA,NA
Aulacoseira subartica,Aulacoseira subarctica,EOL
Stephanodiscus meyerii,Stephanodiscus meyeri,EOL
Aulacoseira baicalensis,Aulacoseira baicalensis,EOL
Cyclostephanus dubius,Cyclostephanos dubius,EOL
Stephanodiscus neoastrea,Stephanodiscus neoastraea,EOL
Cyclostesphanos,NA,NA
Skeletonema cf. subsalsum,Skeletonema subsalsum,EOL
Pennales,Pennales,EOL
Eunotia incisa,Eunotia incisa,EOL
Desmidium laticeps var. quadrangulare,Desmidium laticeps quadrangulare,EOL
Staurastrum cf. chaetoceras,Staurastrum chaetoceras,EOL
Aulacoseira granulata f. curvata,Aulacoseira granulata curvata,EOL
Staurastrum cf. gracile,Staurastrum gracile,EOL
Surirella peisonis,Surirella peisonis,EOL
Campylodiscus clypeus,Campylodiscus clypeus,EOL
Aulacoseira ambigua var. ambigua f. spiralis,Aulacoseira ambigua,EOL
Aulacoseira granulata var. granulata,Aulacoseira granulata granulata,EOL
Geminella,Geminella,Catalogue of Life
Ulothrichales,NA,NA
Mesotaenium chlamydosporum,Mesotaenium chlamydosporum,EOL
Epiphytic cyanobacteria,NA,NA
Rivularia,Rivularia,Catalogue of Life
Benthic (epiphytic) desmids and filamentous green algae,NA,NA
benthic diatoms,NA,NA
Planktolyngbya circumcreta,Planktolyngbya circumcreta,EOL
Limnotrichoideae,NA,NA
Jaaginema quadripunctulatum,Jaaginema quadripunctulatum,EOL
Limnothrix-Planktothrix agardhii,NA,NA
Limnothrix amphigranulata,Limnothrix,EOL
Leptolynbgya cf. notata,NA,NA
Anabaena minutissima,Anabaena minutissima,EOL
