uid,species,Codon,Ecosytem,Habitat,Reference,Note,name
1,Urosolenia longiseta,A,Dom Helvécio Lake (Brazil),"deep, oligotrophic, atelomixis",Souza et al. (2008),NA,species.1
2,Thalassiosira sp.,A,Faxinal Reservoir (Brazil),"deep, meso-eutrophic, warm monomictic, atelomictic, water  supply",Becker et al. (2008),NA,species.1
3,Urosolenia,A,Hungarian Rivers,NA,Borics et al. (2007),NA,species.1
3,Rhizosolenia,A,Hungarian Rivers,NA,Borics et al. (2007),NA,species.2
3,Cyclotella comensis,A,Hungarian Rivers,NA,Borics et al. (2007),NA,species.3
3,Cyclotella glomerata,A,Hungarian Rivers,NA,Borics et al. (2007),NA,species.4
4,Cyclotella rhomboideo-elliptica,A,Lake Fuxian; Lake Xingyun (China),deep oligotrophic; shallow eutrophic,Zhang et al. (2007),might fit due to the size,species.1
5,Acanthoceras,A,Mary River (Australia),floodplain lake,Townsend (2006),NA,species.1
6,Urosolenia,A,Lake Kivu (Africa),"deep, meromictic",Sarmento et al. (2006),NA,species.1
7,Urosolenia,A,Lake Samsonvale (Australia),dam reservoir,Antenucci et al. (2005),NA,species.1
8,Cyclotella baicalensis,A,Lake Baikal (Russia),deep,Fietz et al. (2005),NA,species.1
8,Cyclotella ornata,A,Lake Baikal (Russia),deep,Fietz et al. (2005),NA,species.2
8,Cyclotella minuta,A,Lake Baikal (Russia),deep,Fietz et al. (2005),NA,species.3
9,Urosolenia spp.,A,"Foz do Areia, Segredo, Salto Santiago, Salto Osório, Salto Caxias reservoirs (Brazil)",cascading reservoir,Silva et al. (2005),NA,species.1
10,Brachysira vitrea,A,Lake Batata (Brazil),Amazonian flood-plain,Melo & Huszar (2000); Huszar & Reynolds (1997),NA,species.1
10,Urosolenia eriensis var. morsa,A,Lake Batata (Brazil),Amazonian flood-plain,Melo & Huszar (2000); Huszar & Reynolds (1997),NA,species.2
11,Cyclotella stylorum,A,Lake Manyas (Turkey),"shallow, hypertrophic",Çelik & Ongun (2008),might fit due to the size,species.1
12,Cyclotella comta,A,Lake Balaton (Hungary),shallow,Hajnal & Padisák (2008),to  B,species.1
13,Cyclotella,A,"Lake Geneva, Lake Constance","monomictic, peri-alpine",Anneville et al. (2005),taxonomic resolution does not allow sorting into coda,species.1
14,Cyclotella,A,"Upper and Lower Lake Zurich, Lake Walen","monomictic, peri-alpine",Anneville et al. (2005),taxonomic resolution does not allow sorting into coda,species.1
14,Stephanodiscus,A,"Upper and Lower Lake Zurich, Lake Walen","monomictic, peri-alpine",Anneville et al. (2005),taxonomic resolution does not allow sorting into coda,species.2
15,Cyclotella stelligera,A,IAG Reservoir (Brazil),"shallow, oligotrophic",Lopes et al. (2005),to  B,species.1
16,non-identified Centrales,A,Stissing lake (USA),"shallow, mesoeutrophic, dimictic",Huszar et al. (2003),might fit if small celled species,species.1
17,Cyclotella bodanica,A,Wononscopomuc lake (USA),"deep, mesotrophic, dimictic",Huszar et al. (2003),to  B,species.1
18,Cyclotella kützingiana,A,Kuzgun Dam Reservoir (Turkey),oligo-mesotrophic,Gurbuz et al. (2003),to  B,species.1
18,Cyclotella ocellata,A,Kuzgun Dam Reservoir (Turkey),oligo-mesotrophic,Gurbuz et al. (2003),to  B,species.2
19,Mallomonas spp.,A,Lake Blanca (Uruguay),yellow-brownish shallow,Mazzeo et al. (2003),to  E,species.1
20,small Cyclotella spp.,A,Lake Garda (Italy),"deep, subalpine",Salmaso (2002),to B,species.1
21,Discostella stelligera,B,Capivari Reservoir (Brazil),dam reservoir,Borges et al. (2008),NA,species.1
22,Aulacoseira subartica,B,Hungarian Rivers,NA,Borics et al. (2007),NA,species.1
22,Aulacoseira islandica,B,Hungarian Rivers,NA,Borics et al. (2007),NA,species.2
22,Stephanodiscus neoastraea,B,Hungarian Rivers,NA,Borics et al. (2007),NA,species.3
22,Stephanodiscus rotula,B,Hungarian Rivers,NA,Borics et al. (2007),NA,species.4
22,Cyclotella comta,B,Hungarian Rivers,NA,Borics et al. (2007),NA,species.5
23,Aulacoseira italica,B,Paraná River (Argentina),NA,Devercelli (2006),NA,species.1
24,Aulacoseira,B,Lake Constance,"monomictic, peri-alpine",Anneville et al. (2005),might fit due to the habitat,species.1
25,Aulacoseira,B,Lake Samsonvale (Australia),dam reservoir,Antenucci et al. (2005),taxonomic resolution does not allow sorting into coda,species.1
26,Stephanodiscus meyerii,B,Lake Baikal (Russia),Deep,Fietz et al. (2005),A. baicalensis  would deserve a new codon,species.1
26,Aulacoseira baicalensis,B,Lake Baikal (Russia),Deep,Fietz et al. (2005),A. baicalensis  would deserve a new codon,species.2
27,Fragilaria crotonensis,B,Lake Mondsee (Austria),"deep, oligo-mesotrophic period of the lake",Dokulil & Teubner (2003),"Fragilaria to  P, Ceratium and Peridinium to Lo, Rhodomonas to X2, Cryptomonas to Y",species.1
27,Aulacoseira italica,B,Lake Mondsee (Austria),"deep, oligo-mesotrophic period of the lake",Dokulil & Teubner (2003),"Fragilaria to  P, Ceratium and Peridinium to Lo, Rhodomonas to X2, Cryptomonas to Y",species.2
27,Cyclotella operculata,B,Lake Mondsee (Austria),"deep, oligo-mesotrophic period of the lake",Dokulil & Teubner (2003),"Fragilaria to  P, Ceratium and Peridinium to Lo, Rhodomonas to X2, Cryptomonas to Y",species.3
27,dinoflagellates,B,Lake Mondsee (Austria),"deep, oligo-mesotrophic period of the lake",Dokulil & Teubner (2003),"Fragilaria to  P, Ceratium and Peridinium to Lo, Rhodomonas to X2, Cryptomonas to Y",species.4
27,Ceratium hirundinella,B,Lake Mondsee (Austria),"deep, oligo-mesotrophic period of the lake",Dokulil & Teubner (2003),"Fragilaria to  P, Ceratium and Peridinium to Lo, Rhodomonas to X2, Cryptomonas to Y",species.5
27,Peridinium willei,B,Lake Mondsee (Austria),"deep, oligo-mesotrophic period of the lake",Dokulil & Teubner (2003),"Fragilaria to  P, Ceratium and Peridinium to Lo, Rhodomonas to X2, Cryptomonas to Y",species.6
27,Cryptomonas,B,Lake Mondsee (Austria),"deep, oligo-mesotrophic period of the lake",Dokulil & Teubner (2003),"Fragilaria to  P, Ceratium and Peridinium to Lo, Rhodomonas to X2, Cryptomonas to Y",species.7
27,Rhodomonas minuta,B,Lake Mondsee (Austria),"deep, oligo-mesotrophic period of the lake",Dokulil & Teubner (2003),"Fragilaria to  P, Ceratium and Peridinium to Lo, Rhodomonas to X2, Cryptomonas to Y",species.8
28,Centrales spp. (5–20 µm),B,Lake Balaton (Hungary),Shallow,Hajnal & Padisák (2008),taxonomic resolution does not allow sorting into coda,species.1
29,Cyclotella,B,Sardis Reservoir (USA),water level changes,Sthapit et al. (2008),taxonomic resolution does not allow sorting into coda,species.1
29,Aulacoseira,B,Sardis Reservoir (USA),water level changes,Sthapit et al. (2008),taxonomic resolution does not allow sorting into coda,species.2
30,Cyclotella meneghiniana,B,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),To be moved to codon C,species.1
31,Synedra,B,"Lake Geneva, Upper and Lower Lake Zürich, Lake Walen","monomictic, peri-alpine",Anneville et al. (2005),to D,species.1
32,Erkenia,B,"Lake Constance, Upper and Lower Lake Zürich, Lake Walen","monomictic, peri-alpine",Anneville et al. (2005),to E,species.1
33,Aulacoseira granulata,B,Ömerli Reservoir (Istanbul),drinking water,Albay & Akçaalan (2003),to P,species.1
34,Cyclotella meneghiniana,B,Lake Rodó (Uruguay),"shallow, polimictic",Kruk et al. (2002),To be moved to codon C,species.1
