source.code,authors,year,title,publication,volume,issue,start.page,end.page,doi,ISSN,eISSN,ISBN
1,"Rimet, F; Druart, JC",2018,a trait database for phytoplankton of temperate lakes,Annales de Limnologie - International Journal of Limnology,54,NA,18,NA,10.1051/limn/2018009,0003-4088,NA,NA
109,"Kremer, CT; Gillette, JP; Rudstam, LG; Brettum, P; Ptacnik, R",2014,a compendium of cell and natural unit biovolumes for >1200 freshwater phytoplankton species,Ecology,95,10,2984,2984,10.1890/14-0603.1,0012-9658,NA,NA
217,"Odume, O.N; Akamagwuna, FC; Ntloko, P; Dallas, HF; Nnadozie CF; Barber-James, HM",2023,a trait database for southern african freshwater invertebrates,African Journal of Aquatic Science,48,1,64,70,10.2989/16085914.2022.2142505,1608-5914,NA,NA
313,"Hébert, MP; Beisner, B.E; Maranger, E",2016,a compilation of quantitative functional traits for marine and freshwater crustacean zooplankton,Ecology,97,4,1081,NA,10.1890/15-1275.1,1939-9170,NA,NA
415,"Gavrilko, DE; Shurganova, GV; Kudrin, IA; Yakimov, BN",2021,identification of freshwater zooplankton functional groups based on the functional traits of species,Biology Bulletin,48,10,1849,1856,10.1134/S1062359021100095,1608-3059,NA,NA
519,"Laplace-Treyture, C; Derot, J; Prévost, E; Le Mat, A; Jamoneau, A",2021,phytoplankton morpho-functional trait dataset from french water-bodies,Scientific Data,8,1,40,NA,10.1038/s41597-021-00814-0,2052-4463,NA,NA
573,"Neury-Ormanni, J; Vedrenne, J; Wagner, M; Jan, G; Morin, S",2020,micro-meiofauna morphofunctional traits linked to trophic activity,Hydrobiologia,847,12,2725,2736,10.1007/s10750-019-04120-0,1573-5117,NA,NA
618,"Rimet, F; Bouchez, A",2012,"life-forms, cell-sizes and ecological guilds of diatoms in european rivers",Knowledge and Management of Aquatic Ecosystems,NA,406,1,NA,10.1051/kmae/2012018,1961-9502,NA,NA
594,Canadian Institute of Ecology and Evolution (CIEE) working group on zooplankton dynamics.,2012,freshwater zooplankton database,Canadian Institute of Ecology and Evolution (CIEE) working group on zooplankton dynamics.,NA,NA,NA,NA,NA,NA,NA,NA
620,"Lynch, M.",1980,the evolution of cladoceran life histories,Quarterly Review of Biology,55,1,23,42,10.1086/411614,0033-5770,NA,NA
12,"Bottrell, HH; Duncan, A; Gliwicz, ZM; Grygierek, E; Herzig, A; Hillbricht-Ilkowska, A; Kurasawa, H; Larsson, P; Weglenska. T",1976,a review of some problems in zooplankton production studies,Norwegian Journal of Zoology,21,NA,477,483,NA,NA,NA,NA
23,"T�mpling, W V; Friedrich. G",1999,biologische gewasseruntersuchung,Methoden der Biologischen Wasseruntersuchung II,NA,NA,NA,NA,NA,NA,NA,NA
34,"Adrian, R",1988,"untersuchungen zur herbivore und carnivoren ernahrungsweise von cyclops kolensis und c. vicinus (crustacea, copepoda)",NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"Dumont, HJ; de Velde, IV; Dumont. S",1975,"the dry weight estimate of biomass in a selection of cladocera, copepoda and rotifera from the plankton, periphyton and benthos of continental waters",Oecologia,19,1,75,97,10.1007/BF00377592,1432-1939,NA,NA
55,"Berne, T. V.",1991,"abundance, standing crop and production of microcrustacean populations (cladocera, copepoda) in the littoral zone of lake biel, switzerland",Archiv f�r Hydrobiologie,123,2,165,185,NA,0003-9136,NA,NA
66,"Frey, D. G.",1973,"comparative morphology and biology of three species of eurycercus (chrydoridae, cladocera) with a description of eurycercus macrocanthus sp.",Internationale Revue der gesamten Hydrobiologie,58,2,221,267,10.1002/iroh.19730580204,1522-2632,NA,NA
77,"Smirnov, N. N.",1964,eurycercus lamellatus (chydoridae: cladocera): field observations and nutrition,Hydrobiologia,20,3,280,NA,10.1007/BF00046194,1573-5117,NA,NA
88,"Green, J.",1956,"growth, size, and reproduction in daphnia (crustacea: cladocera)",Journal of the Zoological society of London,126,2,173,204,10.1111/j.1096-3642.1956.tb00432.x,1469-7998,NA,NA
99,"Burgis, M. J.",1973,"observations on the cladocera of lake george, uganda",Journal of the Zoological society of London,170,3,339,349,10.1111/j.1469-7998.1973.tb01382.x,1469-7998,NA,NA
110,"Murugan, N; Sivaramakrishnan, KG",1973,"the biology of simocephalus acutirostratus king (cladocera: daphnidae) - laboratory studies of life span, instar duration, egg production, growth, and stages in embryonic development",Freshwater Biology,3,1,77,83,10.1111/j.1365-2427.1973.tb00063.x,1365-2427,NA,NA
121,"Branstrator, D. K.",2005,contrasting life histories of the predatory cladocerans leptodora kindtii and bythotrephes longimanus,Journal of Plankton Research,27,6,569,585,10.1093/plankt/fbi033,0142-7873,NA,NA
132,"Andrews, T. F.",1948,"the life history, distribution, growth, and abundance of leptodora kindtii (focke) in western lake erie",PhD Thesis,NA,NA,NA,NA,NA,NA,NA,NA
143,"Vijverberg, J., and H. P. Koelewijn.",2004,effect of temperature on development and growth of the raptorial cladoceran leptodora kindtii under laboratory conditions,Freshwater Biology,49,11,1415,1422,10.1111/j.1365-2427.2004.01276.x,NA,NA,NA
154,"Vijverberg, J., Koelewijn, H. P. and W. L. T. van Densen.",2005,effects of predation and food on the population dynamics of the raptorial cladoceran leptodora kindtii,Limnology and Oceanography,50,2,455,464,10.4319/lo.2005.50.2.0455,NA,NA,NA
165,"Lehman, J. T. and C. E. Caceres",1993,food-web responses to species invasion by a predatory invertebrate: bythotrephes in lake michigan,Limnology and Oceanography,38,4,879,891,10.4319/lo.1993.38.4.0879,1939-5590,NA,NA
175,"Culver, D. A., Boucherle, M. M., Bean, D. J., and J. W. Fletcher.",1985,biomass of freshwater crustacean zooplankton from length-weight regressions,Canadian Journal Fisheries and Aquatic Sciences,42,8,1380,1390,10.1139/f85-173,0706-652X,NA,NA
186,"Barnett, A. J., Finlay, K., and B. E. Beisner.",2007,functional diversity of crustacean zooplankton communities: towards a trait-based classification,Freshwater Biology,52,5,796,813,0.1111/j.1365-2427.2007.01733.x,NA,NA,NA
196,"McCauley, E.",1984,the estimation of the abundance and biomass of zooplankton in samples,A manual on methods for the assessment of secondary production in fresh waters,NA,NA,NA,NA,NA,NA,NA,NA
207,"Green, J. D., and M. A. Chapman.",1977,temperature effects on oxygen consumption by copepod boeckella dilatata,New Zealand Journal of Marine and Freshwater Research,11,2,375,382,10.1080/00288330.1977.9515683,0028-8330,NA,NA
218,"Comita, G. W.",1968,oxygen consumption in diaptomus,Limnology and Oceanography,13,1,51,57,10.4319/lo.1968.13.1.0051,1939-5590,NA,NA
228,"Kibby, H.V.",1971,energetics and population dynamics of diaptomus gracilis,Ecological Monograph,41,4,311,327,10.2307/1948496,1557-7015,NA,NA
238,"Richman, S.",1964,energy transformation studies on diaptomus oregonensis,Verhandlungen des Internationalen Verein Limnologie,15,2,654,659,10.1080/03680770.1962.11895586,NA,NA,NA
249,"Shcherbakoff, A. P.",1935,uber den sauerstoffverbrauch von einigen planktoncrustaceen,Arb. Linmol. Stat. Kossino,19,NA,67,89,NA,NA,NA,NA
260,"Roff, J. C.",1973,"oxygen consumption of limnocalanus macrurus (calanoida, copepoda) in relation to environmental conditions",Canadian Journal of Zoology,51,8,877,885,10.1139/z73-131,0008-4301,NA,NA
267,"Laybourn-Parry, J., and I. M. Strachan.",1980,"respiratory metabolism of cyclops bicuspidatus (copepoda: cyclopoida) from esthwaite water, cumbria",Oecologia,46,3,386,390,10.1007/BF00346268,1432-1939,NA,NA
276,"Gophen, M.",1976,"temperature dependence of food intake, ammonia excretion and respiration in ceriodaphnia reticulata (jurine) (lake kinneret, israel)",Freshwater Biology,6,5,451,455,10.1111/j.1365-2427.1976.tb01634.x,1365-2427,NA,NA
287,"Ivanova M. B., and R. Z. Klekowski.",1972,respiratory and filtration rates in simocephalus vetulus (o.f. muller) at different ph,Polish Archiv Hydrobiologie,19,3,303,318,NA,NA,NA,NA
296,Obreshkove V.,1930,oxygen consumption in the developmental stages of a cladoceran,Physiological Zoology,3,2,271,282,10.1086/physzool.3.2.30151097,0031-935X,NA,NA
306,"Goss, L. B., and D. L. Bunting.",1980,temperature effects on zooplankton respiration,Comparative and Biochemical Physiology,66,4,651,658,10.1016/0300-9629(80)90013-4,0300-9629,NA,NA
