tax.uid,mean.mass,accepted.taxa.name,genus,family,order,class,phylum,kingdom
tax-1,156.58364728831663,Aphanocapsa delicatissima,Aphanocapsa,Merismopediaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-10,316.79749971718763,Lemmermanniella parva,Lemmermanniella,Synechococcaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-100,22240.83085783672,Kephyrion,Kephyrion,Dinobryaceae,Chromulinales,Chrysophyceae,Ochrophyta,Chromista
tax-1000,1418059.2516872233,Lepocinclis oxyuris,Lepocinclis,Phacidae,Euglenida,Euglenophyceae,Euglenozoa,Protozoa
tax-1001,13670.121333705225,Cosmarium pseudopyramidatum,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-1002,13257.143999999998,Brebissonia lanceolata,Brebissonia,Cymbellaceae,Cymbellales,Bacillariophyceae,Bacillariophyta,Chromista
tax-1003,28259.999999999996,Cosmarium brebissonii,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-1004,42099.7559508546,Cosmarium reniforme,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-1005,735606.2373633147,Gymnodinium uberrimum,Gymnodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Myzozoa,Chromista
tax-1006,719429.0330573173,Apocalathium aciculiferum,Apocalathium,Thoracosphaeraceae,Thoracosphaerales,Dinophyceae,Myzozoa,Chromista
tax-1007,114424.25266661149,Amphora ovalis,Amphora,Catenulaceae,Thalassiophysales,Bacillariophyceae,Bacillariophyta,Chromista
tax-1008,373295.33095077105,Epithemia,Epithemia,Rhopalodiaceae,Rhopalodiales,Bacillariophyceae,Ochrophyta,Chromista
tax-1009,32640,Pinnularia major,Pinnularia,Pinnulariaceae,Naviculales,Bacillariophyceae,Bacillariophyta,Chromista
tax-101,23.549999999999997,Siderocelis oblonga,Siderocelis,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae
