location.code,habitat,location,country,continent,latitude,longitude
loc-1,lake,Lake Siggeforasjön,Sweeden,Europe,59.977783,17.146841
loc-2,pond,"Botanical garden, Gothenburg",Sweeden,Europe,57.677273,11.953868
loc-3,lake,Trindemossen,Sweeden,Europe,57.665891,11.965299
loc-4,lake,Lake Finnsmossen,Sweeden,Europe,57.675041,11.952768
loc-5,lake,Stora Delsjön,Sweeden,Europe,57.680699,12.045753
loc-6,lake,Valmossen,Sweeden,Europe,57.643242,11.773005
loc-7,lake,Torneträsk,Sweeden,Europe,68.361747,18.802152
loc-8,lake,Lake Västra Ringsjön,Sweeden,Europe,55.896517,13.469619
loc-9,lake,Lake Ryssbysjön,Sweeden,Europe,57.703567,14.639673
loc-11,lake,Lake Skedviken,Sweeden,Europe,59.768184,18.274054
loc-12,lake,Blelham Tarn,UK,Europe,54.396576,-2.976605
loc-13,lab,Carolina Biological Supply Company,USA,North America,36.104745,-79.488611
loc-14,lake,Greiner lake,Canada,North America,69.2083,-104.7503
loc-15,pond,Greiner lake,Canada,North America,69.171388,-104.62111
loc-16,pond,Greiner lake,Canada,North America,69.285277,-104.75666
loc-17,lake,Greiner lake,Canada,North America,69.22305,-10475666
loc-18,lake,Greiner lake,Canada,North America,69.296387999999993,-104.75749999999999
loc-19,lake,Greiner lake,Canada,North America,69.289439999999999,-104.89610999999999
loc-20,lake,Greiner lake,Canada,North America,69.237769999999998,-104.85138000000001
loc-21,lake,Greiner lake,Canada,North America,69.157769999999999,-104.9992
loc-22,lake,Greiner lake,Canada,North America,69.103054999999998,-104.54083300000001
loc-23,pond,Greiner lake,Canada,North America,69.200833000000003,-104.755278
loc-24,lake,Lake Fühlinger See,Germany,Europe,51.022500,6.930028
loc-25,pond,Vleteren,Belgium,Europe,50.918528,2.724167
loc-26,pond,De Haan,Belgium,Europe,51.23161,3.030333
loc-27,lake,lake alta,Canada,North America,50.116730,-122.981553
loc-28,lake,lake brohm,Canada,North America,49.821217,-123.135023
loc-29,lake,lake chilliwack,Canada,North America,49.057445,-121.414463
loc-30,lake,lake cultus,Canada,North America,49.057367,-121.982622
loc-31,lake,lake deer,Canada,North America,49.236103,-122.971390
loc-32,lake,lake cowichan,Canada,North America,48.876629,-124.266104
loc-33,lake,lake lizard,Canada,North America,48.606232,-124.223017
loc-34,lake,lake pixie,Canada,North America,48.595024,-124.197592
loc-35,lab,University of Texas,USA,North America,30.287082,-97.739733
loc-36,pond,Książęca Park,Poland,Europe,52.231368,21.028677
loc-37,lake,Lake Gehu,China,Asia,31.599094,119.792778
loc-38,lake,Lake Tianmu,China,Asia,31.296373,119.421114
loc-39,lake,Lake Dianshan,China,Asia,31.127766,120.973334
loc-40,lake,Lake Hongze,China,Asia,33.282035,118.698675
loc-41,lake,Lake Taihu,China,Asia,31.204605,120.165293
loc-42,lake,Qiandao lake,China,Asia,29.597444,118.960566
loc-43,lab,Culture Collection of Algae and Protozoa,UK,Europe,56.451074,-5.440372
loc-44,lake,Convict Lake,USA,North America,37.589895,-118.858224
loc-45,lake,lake Klostersee,Germany,Europe,52.333764,12.740191
loc-49,lab,MicroBioTests Inc.,Belgium,Europe,51.086511,3.672637
loc-50,backwaters,Araguaia River,Brazil,South America,-14.680729,-51.031147
loc-53,lake,Guelph Lake,Canada,North America,43.596394,-80.239140
loc-54,lake,Lake Ontario,USA,North America,43.514544,-77.369520
loc-55,river,Mekong River,Vietnam,Asia,10.802752,105.248898
loc-56,river,Ganges - Buxar,India,Asia,25.579869,83.971349
loc-57,river,Ganges - Patna,India,Asia,25.617669,85.218275
loc-58,river,Ganges - Bhagalpur,India,Asia,25.263568,87.048921
loc-59,river,Ganges - Farakka,India,Asia,24.808686,87.928152
loc-60,river,Ganges - Jangipur,India,Asia,24.469423,88.113300
loc-61,river,Ganges - Berhampore,India,Asia,24.110438,88.244384
loc-62,pond,Belgium,Belgium,Europe,NA,NA
loc-63,pond,Belgium's North Sea coast,Belgium,Europe,51.00540556,2.858569444
loc-64,pond,Belgium's North Sea coast,Belgium,Europe,51.24858889,3.266569444
loc-65,pond,Belgium's North Sea coast,Belgium,Europe,51.259275,3.281425
loc-66,pond,Belgium's North Sea coast,Belgium,Europe,51.35691111,3.342822222
loc-67,pond,Belgium's North Sea coast,Belgium,Europe,51.33646389,3.348697222
loc-68,pond,Belgium's North Sea coast,Belgium,Europe,51.33489444,3.348230556
loc-69,pond,Belgium's North Sea coast,Belgium,Europe,51.35054722,3.330438889
loc-70,pond,Belgium's North Sea coast,Belgium,Europe,51.35570833,3.334488889
loc-71,pond,Leuven,Belgium,Europe,50.82835556,4.639055556
loc-79,pond,Belgium's North Sea coast,Belgium,Europe,51.29297222,3.1167
loc-80,pond,Belgium's North Sea coast,Belgium,Europe,51.27769167,3.094155556
loc-83,lake,Lake Illahuapi,Chile,South America,-40.271486,-72.299918
loc-84,lake,Lake San Pedro,Chile,South America,-39.038391,-72.029280
loc-85,lab,Federal University of São Carlos,Brazil,South America,-21.983999,-47.881536
loc-86,lake,Lake Pabezninkai,Lithuania,Europe,54.349652,24.570579
loc-87,lake,Nobleboro,USA,North America,44.103499,-69.484599
