Sample,Type,Site,Time_diff_h,Time_diff_min,No_of_copepods,Taxon,Sex,Stage,Prosome_length_µm,Dry_weight_g,Dry_weight_µg,Dry_weight_ng,Data_file,Acq_Date_Time,CA_per_copepod_mol,CA_per_copepod_pmol,448.3_CA,450.3_dhCA,660.5_dhCA,674.6_dhCA,680.5_dhCA,686.5_dhCA,686.5_CA,688.6_dhCA,706.5_dhCA,706.6_CA,708.5_dhCA,708.6_CA,710.6_dhCA,712.5_CA,712.6_dhCA,714.6_dhCA,732.5_CA,734.5_dhCA,734.5_CA,736.6_dhCA,758.6_CA,760.5_dhCA
F1a,Freshwater,F1,0.5,30,1,Cyclops strenuus,female,adult,920,0.00000539,5.39,5385.19,F1a.d,03/02/2022 18:28,4E-12,3.999,0,0.001659157,0.003888868,0.002605815,0,0.036482767,0,0.003767629,0,0,0.001500858,0,0.008348733,0,0.003993313,0.011007861,0,0.004699218,0,0.001029238,0,0.001001455
F1b,Freshwater,F1,0.667,40,1,Cyclops strenuus,female,adult,1100,0.00000837,8.37,8365.6,F1b.d,03/02/2022 18:54,1.66E-11,16.599,0,0.004592841,0.015232794,0.018548448,0,0.083634936,0,0.021414585,0,0,0.0071058,0,0.0707471,0,0.04104604,0.031247811,0,0.024736006,0,0.007918814,0,0.005750368
F1c,Freshwater,F1,0.667,40,1,Cyclops strenuus,female,adult,1000,0.00000661,6.61,6614,F1c.d,03/02/2022 19:19,1.84E-11,18.357,0,0.005536194,0.009391083,0.041104444,0,0.090414818,0,0.022892485,0,0,0.00377845,0,0.058606577,0,0.050149474,0.045490268,0,0.025197188,0,0.011463367,0,0.003115254
F1d,Freshwater,F1,0.667,40,1,Cyclops strenuus,female,adult,820,0.00000406,4.06,4055.23,F1d.d,03/02/2022 19:45,6.66E-12,6.657,0,0.005147675,0.006357663,0.010953394,0,0.048373988,0,0.006619163,0,0,0.002037815,0,0.016411526,0,0.011112144,0.012806551,0,0.008992196,0,0.003548347,0,0.000770451
F1e,Freshwater,F1,0.75,45,1,Cyclops strenuus,female,adult,1060,0.00000764,7.64,7635.6,F1e.d,03/02/2022 20:11,1.87E-11,18.723,0,0.006481179,0.023627049,0.033158955,0,0.118221972,0,0.021053114,0,0,0.008025154,0,0.047618758,0,0.033974294,0.043674313,0,0.02502105,0,0.006594563,0,0.007011419
F1f,Freshwater,F1,0.917,55,1,Cyclops strenuus,female,adult,940,0.00000568,5.68,5678.38,F1f.d,03/02/2022 20:37,1.7E-11,17.029,0,0.0073942,0.019624077,0.031710072,0,0.111816308,0,0.02078137,0,0,0.004389524,0,0.045040797,0,0.033666092,0.035920482,0,0.018701252,0,0.009475557,0,0.002069013
F1g,Freshwater,F1,0.917,55,1,Cyclops strenuus,female,adult,1040,0.00000729,7.29,7285.37,F1g.d,03/02/2022 21:02,4.58E-12,4.579,0,0.003033239,0.004374908,0.003960807,0,0.030068471,0,0.00381941,0,0,0.001358799,0,0.010868525,0,0.011189715,0.010595763,0,0.008200126,0,0.003530144,0,0.000578567
F1h,Freshwater,F1,1.083,65,1,Cyclops strenuus,female,adult,1080,0.000008,8,7995.65,F1h.d,03/02/2022 21:28,1.65E-11,16.533,0,0.005254446,0.013526143,0.020881948,0,0.100016842,0,0.019834571,0,0,0.00608896,0,0.046611276,0,0.037473385,0.044326219,0,0.025959066,0,0.007452596,0,0.003231421
F1i,Freshwater,F1,1.083,65,1,Cyclops strenuus,female,adult,1120,0.00000875,8.75,8745.54,F1i.d,03/02/2022 21:54,1.59E-11,15.873,0,0.009996574,0.009361758,0.020013176,0,0.079122976,0,0.014699427,0,0,0.002823069,0,0.074044149,0,0.051428867,0.031293448,0,0.015825284,0,0.007628381,0,0.001220814
F1j,Freshwater,F1,1.083,65,1,Cyclops strenuus,female,adult,1020,0.00000695,6.94,6944.86,F1j.d,03/02/2022 22:20,4.36E-12,4.358,0,0.002325022,0.003766179,0.004212625,0,0.031621002,0,0.004563501,0,0,0.001364461,0,0.014783378,0,0.006330359,0.008930223,0,0.00687521,0,0.001763974,0,0.000632066
