Sample,tank,Species,length,community,treatment
1,10,Bosmina,0.335,Experienced,Control
1,10,Bosmina,0.368,Experienced,Control
1,10,Calanoid,1.274,Experienced,Control
1,10,Cyclopoid,0.362,Experienced,Control
1,10,Cyclopoid,0.483,Experienced,Control
1,10,Cyclopoid,0.331,Experienced,Control
1,10,Cyclopoid,0.453,Experienced,Control
1,10,Cyclopoid,0.41,Experienced,Control
1,10,Cyclopoid,0.382,Experienced,Control
1,10,Cyclopoid,0.34,Experienced,Control
1,10,Cyclopoid,0.42,Experienced,Control
1,10,Cyclopoid,0.401,Experienced,Control
1,10,Cyclopoid,0.603,Experienced,Control
1,10,Cyclopoid,0.367,Experienced,Control
1,10,Cyclopoid,0.315,Experienced,Control
1,10,Cyclopoid,0.573,Experienced,Control
1,10,Cyclopoid,0.398,Experienced,Control
1,10,Cyclopoid,0.399,Experienced,Control
1,10,Cyclopoid,0.399,Experienced,Control
1,10,Cyclopoid,0.398,Experienced,Control
1,10,Cyclopoid,0.356,Experienced,Control
1,10,Cyclopoid,0.431,Experienced,Control
1,10,Cyclopoid,0.308,Experienced,Control
1,10,Cyclopoid,0.351,Experienced,Control
1,10,Cyclopoid,0.433,Experienced,Control
1,10,Cyclopoid,0.403,Experienced,Control
1,10,Cyclopoid,0.374,Experienced,Control
1,10,Cyclopoid,0.347,Experienced,Control
1,10,Daphnia,0.773,Experienced,Control
1,10,Daphnia,0.64,Experienced,Control
1,10,Daphnia,0.669,Experienced,Control
1,10,Daphnia,0.639,Experienced,Control
1,10,Insect,0.858,Experienced,Control
1,10,Insect,0.814,Experienced,Control
1,30,Calanoid,0.380641,Experienced,Caged
1,30,Calanoid,0.907862,Experienced,Caged
1,30,Calanoid,0.426223,Experienced,Caged
1,30,Cyclopoid,0.347,Experienced,Caged
1,30,Cyclopoid,0.55,Experienced,Caged
1,30,Cyclopoid,0.326,Experienced,Caged
1,30,Cyclopoid,0.249,Experienced,Caged
1,30,Cyclopoid,0.401,Experienced,Caged
1,30,Cyclopoid,0.362,Experienced,Caged
1,30,Cyclopoid,0.327,Experienced,Caged
1,30,Cyclopoid,0.428,Experienced,Caged
1,30,Cyclopoid,0.334,Experienced,Caged
1,30,Cyclopoid,0.449,Experienced,Caged
1,30,Cyclopoid,0.256,Experienced,Caged
1,30,Cyclopoid,0.312,Experienced,Caged
1,30,Cyclopoid,0.339,Experienced,Caged
1,30,Cyclopoid,0.29,Experienced,Caged
1,30,Cyclopoid,0.677,Experienced,Caged
1,30,Cyclopoid,0.447,Experienced,Caged
1,30,Cyclopoid,0.41,Experienced,Caged
1,30,Cyclopoid,0.296,Experienced,Caged
1,30,Cyclopoid,0.557,Experienced,Caged
1,30,Cyclopoid,0.504,Experienced,Caged
1,30,Cyclopoid,0.317,Experienced,Caged
1,30,Cyclopoid,0.344,Experienced,Caged
1,30,Cyclopoid,0.723,Experienced,Caged
1,30,Cyclopoid,0.361,Experienced,Caged
1,30,Cyclopoid,0.375,Experienced,Caged
1,30,Cyclopoid,0.358,Experienced,Caged
1,30,Daphnia,0.78,Experienced,Caged
1,30,Daphnia,0.702,Experienced,Caged
1,30,Daphnia,0.695,Experienced,Caged
1,30,Daphnia,0.864,Experienced,Caged
1,30,Daphnia,0.654,Experienced,Caged
1,30,Daphnia,1.182,Experienced,Caged
1,30,Daphnia,0.785,Experienced,Caged
1,30,Daphnia,0.771,Experienced,Caged
1,30,Daphnia,0.856,Experienced,Caged
1,30,Daphnia,0.958,Experienced,Caged
1,30,Daphnia,1.015,Experienced,Caged
1,30,Daphnia,0.518,Experienced,Caged
1,5,Calanoid,0.766,Naive,Free
1,5,Calanoid,0.77,Naive,Free
1,5,Calanoid,0.849,Naive,Free
1,5,Calanoid,0.956,Naive,Free
1,5,Cyclopoid,0.299,Naive,Free
1,5,Daphnia,0.73,Naive,Free
1,5,Daphnia,0.673,Naive,Free
1,5,Daphnia,0.793,Naive,Free
1,5,Daphnia,0.633,Naive,Free
1,5,Daphnia,0.829,Naive,Free
1,5,Polyphemus,0.709,Naive,Free
1,5,Polyphemus,0.385,Naive,Free
1,5,Polyphemus,0.631,Naive,Free
1,5,Polyphemus,0.512,Naive,Free
1,5,Polyphemus,0.614,Naive,Free
2,20,Calanoid,0.864,Experienced,Free
2,20,Calanoid,0.771,Experienced,Free
2,20,Calanoid,1.026,Experienced,Free
2,20,Calanoid,0.568,Experienced,Free
2,20,Calanoid,0.676,Experienced,Free
2,20,Calanoid,0.369,Experienced,Free
2,20,Calanoid,0.821,Experienced,Free
2,20,Calanoid,0.998,Experienced,Free
2,20,Calanoid,0.336,Experienced,Free
2,20,Calanoid,0.722,Experienced,Free
2,20,Calanoid,0.748,Experienced,Free
2,20,Calanoid,0.564,Experienced,Free
2,20,Calanoid,0.709,Experienced,Free
2,20,Calanoid,0.917,Experienced,Free
2,20,Calanoid,0.825,Experienced,Free
2,20,Calanoid,0.868,Experienced,Free
2,20,Calanoid,0.68,Experienced,Free
2,20,Calanoid,0.759,Experienced,Free
2,20,Calanoid,0.743,Experienced,Free
2,20,Calanoid,0.702,Experienced,Free
2,20,Calanoid,1.004,Experienced,Free
2,20,Calanoid,0.587,Experienced,Free
2,20,Calanoid,0.811,Experienced,Free
2,20,Calanoid,0.777,Experienced,Free
2,20,Cyclopoid,0.306,Experienced,Free
2,20,Cyclopoid,0.374,Experienced,Free
2,20,Cyclopoid,0.261,Experienced,Free
2,20,Cyclopoid,0.288,Experienced,Free
2,20,Cyclopoid,0.414,Experienced,Free
2,20,Cyclopoid,0.408,Experienced,Free
2,20,Cyclopoid,0.254,Experienced,Free
2,20,Cyclopoid,0.251,Experienced,Free
2,20,Cyclopoid,0.325,Experienced,Free
2,20,Cyclopoid,0.346,Experienced,Free
2,20,Cyclopoid,0.277,Experienced,Free
2,20,Cyclopoid,0.592,Experienced,Free
2,20,Cyclopoid,0.296,Experienced,Free
2,20,Cyclopoid,0.337,Experienced,Free
2,20,Cyclopoid,0.341,Experienced,Free
2,20,Cyclopoid,0.333,Experienced,Free
2,20,Cyclopoid,0.287,Experienced,Free
2,20,Cyclopoid,0.267,Experienced,Free
2,20,Cyclopoid,0.342,Experienced,Free
2,20,Cyclopoid,0.398,Experienced,Free
2,20,Cyclopoid,0.381,Experienced,Free
2,20,Cyclopoid,0.297,Experienced,Free
2,20,Cyclopoid,0.302,Experienced,Free
2,20,Cyclopoid,0.291,Experienced,Free
2,20,Cyclopoid,0.306,Experienced,Free
1,29,Calanoid,0.75,Naive,Control
2,10,Calanoid,0.363,Experienced,Control
2,10,Calanoid,0.596,Experienced,Control
2,10,Calanoid,0.599,Experienced,Control
2,10,Calanoid,0.375,Experienced,Control
2,10,Calanoid,0.619,Experienced,Control
2,10,Calanoid,0.82,Experienced,Control
2,10,Cyclopoid,0.33,Experienced,Control
2,10,Cyclopoid,0.288,Experienced,Control
2,10,Cyclopoid,0.378,Experienced,Control
2,10,Cyclopoid,0.729,Experienced,Control
2,10,Cyclopoid,0.48,Experienced,Control
2,10,Cyclopoid,0.334,Experienced,Control
2,10,Cyclopoid,0.391,Experienced,Control
2,10,Cyclopoid,0.368,Experienced,Control
2,10,Cyclopoid,0.297,Experienced,Control
2,10,Cyclopoid,0.279,Experienced,Control
2,10,Cyclopoid,0.254,Experienced,Control
