lake,date_yyyy_mm_dd,zoo_order,zoo_taxa,zoo_lifestage,zoo_length_unit,zoo_length_measurement
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 1,mm,0.485
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 1,mm,0.582
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 1,mm,0.679
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 1,mm,0.485
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 1,mm,0.679
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 1,mm,0.485
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 1,mm,0.485
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 1,mm,0.679
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 1,mm,0.679
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 1,mm,0.485
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 1,mm,0.582
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 1,mm,0.485
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 1,mm,0.6402
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.679
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.776
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.873
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.873
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.9118
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.873
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.9118
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.873
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,1.067
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,1.067
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,1.1058
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,1.067
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,1.067
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,1.1252
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,1.0282
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,1.067
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,1.067
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,1.067
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.97
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.261
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.261
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.261
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.261
