size (cm),treatment,time (day)
1.78,fluoxetine,5
1.28,fluoxetine,5
1.95,fluoxetine,5
1.7,fluoxetine,5
1.7,fluoxetine,5
1.6,fluoxetine,5
1.66,fluoxetine,5
1.69,fluoxetine,5
1.75,fluoxetine,5
1.89,fluoxetine,5
1.8,fluoxetine,5
1.52,fluoxetine,5
1.68,fluoxetine,5
1.74,fluoxetine,5
1.93,fluoxetine,5
1.69,fluoxetine,5
1.69,fluoxetine,5
2.21,fluoxetine,5
1.59,fluoxetine,5
1.73,fluoxetine,5
1.58,fluoxetine,5
1.66,fluoxetine,5
1.7,fluoxetine,5
1.86,fluoxetine,5
1.8,fluoxetine,5
1.59,fluoxetine,5
1.52,fluoxetine,5
1.68,fluoxetine,5
1.74,fluoxetine,5
1.93,fluoxetine,5
1.81,fluoxetine,5
1.79,fluoxetine,5
1.63,fluoxetine,5
1.71,fluoxetine,5
1.56,fluoxetine,5
1.5,fluoxetine,5
1.67,fluoxetine,5
1.6,fluoxetine,5
1.62,fluoxetine,5
1.6,fluoxetine,5
1.65,fluoxetine,5
1.6,fluoxetine,5
1.72,fluoxetine,5
1.76,fluoxetine,5
1.51,fluoxetine,5
1.67,fluoxetine,5
1.6,fluoxetine,5
1.6,fluoxetine,5
1.54,fluoxetine,5
1.7,fluoxetine,5
1.72,fluoxetine,5
1.6,fluoxetine,5
1.65,fluoxetine,5
1.75,fluoxetine,5
1.83,fluoxetine,5
1.64,fluoxetine,5
1.97,fluoxetine,5
1.79,fluoxetine,5
1.59,fluoxetine,5
1.53,fluoxetine,5
1.6,fluoxetine,5
1.62,fluoxetine,5
1.6,fluoxetine,5
1.65,fluoxetine,5
1.65,fluoxetine,5
1.58,fluoxetine,5
1.72,fluoxetine,5
1.58,fluoxetine,5
1.79,fluoxetine,5
1.5,fluoxetine,5
1.51,fluoxetine,5
1.6,fluoxetine,5
1.61,fluoxetine,5
1.53,fluoxetine,5
1.5,fluoxetine,5
1.66,fluoxetine,5
1.55,fluoxetine,5
1.59,fluoxetine,5
1.98,fluoxetine,5
1.91,fluoxetine,5
1.96,fluoxetine,5
1.97,fluoxetine,5
1.85,fluoxetine,5
1.75,fluoxetine,5
1.91,fluoxetine,5
1.82,fluoxetine,5
1.75,fluoxetine,5
1.98,fluoxetine,5
1.88,fluoxetine,5
1.79,fluoxetine,5
1.96,fluoxetine,5
1.81,fluoxetine,5
1.82,fluoxetine,5
1.89,fluoxetine,5
1.87,fluoxetine,5
1.94,fluoxetine,5
1.79,fluoxetine,5
1.95,fluoxetine,5
1.97,fluoxetine,5
1.94,fluoxetine,5
1.92,fluoxetine,5
1.93,fluoxetine,5
1.88,fluoxetine,5
1.86,fluoxetine,5
1.85,fluoxetine,5
1.98,fluoxetine,5
1.95,fluoxetine,5
1.91,fluoxetine,5
1.93,fluoxetine,5
1.83,fluoxetine,5
1.89,fluoxetine,5
1.9,fluoxetine,5
1.92,fluoxetine,5
1.92,fluoxetine,5
1.87,fluoxetine,5
1.8,fluoxetine,5
1.86,fluoxetine,5
1.95,fluoxetine,5
1.96,fluoxetine,5
1.83,fluoxetine,5
1.97,fluoxetine,5
1.96,fluoxetine,5
1.82,fluoxetine,5
1.45,fluoxetine,5
1.86,fluoxetine,5
1.87,fluoxetine,5
1.89,fluoxetine,5
1.96,fluoxetine,5
1.77,fluoxetine,5
1.98,fluoxetine,5
1.58,fluoxetine,5
1.82,fluoxetine,5
1.82,fluoxetine,5
1.8,fluoxetine,5
1.85,fluoxetine,5
1.76,fluoxetine,5
1.63,fluoxetine,5
1.97,fluoxetine,5
1.85,fluoxetine,5
1.86,fluoxetine,5
1.99,fluoxetine,5
1.97,fluoxetine,5
1.92,fluoxetine,5
1.96,fluoxetine,5
1.98,fluoxetine,5
1.57,fluoxetine,5
1.73,fluoxetine,5
1.66,fluoxetine,5
1.61,fluoxetine,5
1.8,fluoxetine,5
1.95,fluoxetine,5
1.78,fluoxetine,5
1.64,fluoxetine,5
1.79,no fluoxetine,5
1.71,no fluoxetine,5
1.84,no fluoxetine,5
1.67,no fluoxetine,5
1.61,no fluoxetine,5
1.76,no fluoxetine,5
1.59,no fluoxetine,5
1.5,no fluoxetine,5
1.57,no fluoxetine,5
