transf,treatment,plateloc,species,temp,Environment,Habitat,Invasion,who,counts,mF,Fsd,mFL3,sFL3,mssc,mFL4,sFL4,biomass,countsml,countsintransfer,biorepid,fulltreat,X,Extinct,corr.Extinct,size
0,OIn,C01,Ostreococcus,22,FW,away,co-culture,ostreo,1000,86390,150984.9485,2.459695299,2.187098246,19575.35294,1.495071883,2.43156046,4.600916493,50000,10000,C01:ostreo,OIn:22,,1,1,1.277652912
1,OIn,C01,Ostreococcus,22,FW,away,co-culture,ostreo,100,86390,150984.9485,2.459695299,2.187098246,19575.35294,1.495071883,2.43156046,4.600916493,5000,1000,C01:ostreo,OIn:22,#REF!,1,1,1.277652912
2,OIn,C01,Ostreococcus,22,FW,away,co-culture,ostreo,1901,564533,45707.92417,1.617891776,2.30317735,7965.635981,1.720274725,3.248912778,167.8655455,95050,19010,C01:ostreo,OIn:22,#REF!,1,1,2.316256064
3,OIn,C01,Ostreococcus,22,FW,away,co-culture,ostreo,70,65422.42857,168516.786,3.004639883,2.285853117,19653.45714,0.578936832,0.526210308,3.336300746,3500,700,C01:ostreo,OIn:22,#REF!,1,1,1.23210799
4,OIn,C01,Ostreococcus,22,FW,away,co-culture,ostreo,11455,28314.60428,33017.02953,1.656609691,0.580617516,6583.180533,0.791874346,0.297068111,1.707379842,572750,114550,C01:ostreo,OIn:22,#REF!,1,1,1.151503854
5,OIn,C01,Ostreococcus,22,FW,away,co-culture,ostreo,11455,28314.60428,33017.02953,1.656609691,0.580617516,6583.180533,0.791874346,0.297068111,1.707379842,572750,114550,C01:ostreo,OIn:22,#REF!,1,1,1.151503854
6,OIn,C01,Ostreococcus,22,FW,away,co-culture,ostreo,14721,28314.60428,33017.02953,1.656609691,0.580617516,6583.180533,0.791874346,0.297068111,1.707379842,736050,147210,C01:ostreo,OIn:22,#REF!,1,1,1.151503854
7,OIn,C01,Ostreococcus,22,FW,away,co-culture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
8,OIn,C01,Ostreococcus,22,FW,away,co-culture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
9,OIn,C01,Ostreococcus,22,FW,away,co-culture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
10,OIn,C01,Ostreococcus,22,FW,away,co-culture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
11,OIn,C01,Ostreococcus,22,FW,away,co-culture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
12,OIn,C01,Ostreococcus,22,FW,away,co-culture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
13,OIn,C01,Ostreococcus,22,FW,away,co-culture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
14,OIn,C01,Ostreococcus,22,FW,away,co-culture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
15,OIn,C01,Ostreococcus,22,FW,away,co-culture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
16,OIn,C01,Ostreococcus,22,FW,away,co-culture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
17,OIn,C01,Ostreococcus,22,FW,away,co-culture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
18,OIn,C01,Ostreococcus,22,FW,away,co-culture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
19,OIn,C01,Ostreococcus,22,FW,away,co-culture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
20,OIn,C01,Ostreococcus,22,FW,away,co-culture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
