SampleCode,Year,Month,Date,Site,Station,Species,Genus,Abbrv,Rare_genera,Broad_Taxa_group,Density_N_mL,Density_%,Biovolume_um3_mL,Biovolume_%,Total_Sample_Density,Total_Sample_Biovolume,Cells_mL
0821FC_Phyto_L_spatial,2013,August,8/21/2013,Fall Creek,spatial,Achnanthes minutissima,Achnanthes,Achn,N,Diatom (Bacillariophyceae),6.632352941,1.904761905,331.6176471,1.353912808,348.1985294,24493.27941,
0821FC_Phyto_L_spatial,2013,August,8/21/2013,Fall Creek,spatial,Dolichospermum flos-aquae,Dolichospermum,Doli,N,Bluegreen algae (Cyanobacteria),13.26470588,3.80952381,5776.779412,23.58516112,348.1985294,24493.27941,86.22058824
0821FC_Phyto_L_spatial,2013,August,8/21/2013,Fall Creek,spatial,Ankistrodesmus falcatus,Ankistrodesmus,Anki,N,Green algae (Chlorophyta & Charophyta),3.316176471,0.952380952,82.90441176,0.338478202,348.1985294,24493.27941,
0821FC_Phyto_L_spatial,2013,August,8/21/2013,Fall Creek,spatial,Caloneis ventricosa minuta,Caloneis,Calo,N,Diatom (Bacillariophyceae),3.316176471,0.952380952,928.5294118,3.790955862,348.1985294,24493.27941,
0821FC_Phyto_L_spatial,2013,August,8/21/2013,Fall Creek,spatial,Chlamydomonas sp.,Chlamydomonas,Chla,N,Green algae (Chlorophyta & Charophyta),6.632352941,1.904761905,2155.514706,8.800433252,348.1985294,24493.27941,
0821FC_Phyto_L_spatial,2013,August,8/21/2013,Fall Creek,spatial,Chromulina sp.,Chromulina,Chro,N,Golden algae (Chrysophyceae),172.4411765,49.52380952,3448.823529,14.0806932,348.1985294,24493.27941,
0821FC_Phyto_L_spatial,2013,August,8/21/2013,Fall Creek,spatial,Cryptomonas erosa,Cryptomonas,Cryp,N,Cryptophyte (Cryptophyta),6.632352941,1.904761905,3448.823529,14.0806932,348.1985294,24493.27941,
0821FC_Phyto_L_spatial,2013,August,8/21/2013,Fall Creek,spatial,Elakatothrix gelatinosa,Elakatothrix,Elak,N,Green algae (Chlorophyta & Charophyta),3.316176471,0.952380952,278.5588235,1.137286759,348.1985294,24493.27941,
0821FC_Phyto_L_spatial,2013,August,8/21/2013,Fall Creek,spatial,Melosira italica,Melosira,Melo,N,Diatom (Bacillariophyceae),3.316176471,0.952380952,3123.838235,12.75385865,348.1985294,24493.27941,
0821FC_Phyto_L_spatial,2013,August,8/21/2013,Fall Creek,spatial,Navicula cryptocephala,Navicula,Navi,N,Diatom (Bacillariophyceae),3.316176471,0.952380952,613.4926471,2.504738695,348.1985294,24493.27941,
