ID,Age,Clone,Treatment,ind,BS
1,23,C1-1,C,4,1875
2,20,C1-1,C,2,1900
3,23,C5-10,C,2,2850
4,23,C5-10,C,2,3275
5,23,C5-10,C,4,2875
6,22,C5-10,C,3,2900
7,22,C5-10,C,4,2875
8,21,C5-10,C,4,27875
9,20,C5-10,C,3,2700
10,20,C5-10,C,3,2650
11,23,O2-10,C,4,30625
12,22,O2-10,C,3,3116666667
13,22,O2-10,C,3,3183333333
14,22,O2-10,C,4,31125
15,22,O2-10,C,2,3075
16,22,O2-10,C,4,3000
17,22,O2-10,C,4,3000
18,21,O2-10,C,4,28625
19,21,O2-10,C,2,3325
20,21,O2-10,C,4,3033333333
21,21,O2-10,C,3,3016666667
22,23,O2-20,C,3,2633333333
23,23,O2-20,C,4,29375
24,20,O2-20,C,4,30125
25,20,O2-20,C,3,3033333333
26,22,O2-20,C,3,2550
27,22,O2-20,C,3,2333333333
28,22,O2-20,C,2,2750
29,22,O2-20,C,3,2216666667
30,22,O2-20,C,3,2633333333
31,22,O2-20,C,4,2425
32,22,O2-20,C,4,24625
33,22,O2-20,C,3,2416666667
34,22,O2-20,C,3,2433333333
35,22,O2-20,C,2,2200
36,22,O2-20,C,4,25375
37,22,O2-20,C,2,2750
38,22,O2-20,C,4,2675
39,21,O2-20,C,4,28625
40,20,C1-1,C,3,1800
42,20,C1-1,T1,4,21375
43,23,C5-10,T1,3,3050
45,23,C5-10,T1,1,2600
46,23,C5-10,T1,2,3025
47,22,C5-10,T1,4,29375
48,22,C5-10,T1,4,2725
49,21,C5-10,T1,3,2933333333
50,20,C5-10,T1,3,2750
51,20,C5-10,T1,4,25875
52,23,O2-10,T1,3,3116666667
53,22,O2-10,T1,3,2933333333
54,22,O2-10,T1,3,2966666667
55,22,O2-10,T1,2,3000
56,22,O2-10,T1,4,27125
57,22,O2-10,T1,2,2975
58,22,O2-10,T1,2,3025
59,21,O2-10,T1,3,2850
60,21,O2-10,T1,4,3050
61,21,O2-10,T1,3,2933333333
62,23,O2-20,T1,1,2250
63,23,O2-20,T1,2,2800
64,20,O2-20,T1,2,3150
65,20,O2-20,T1,2,2900
66,22,O2-20,T1,4,2575
67,22,O2-20,T1,3,2716666667
68,22,O2-20,T1,4,2550
69,22,O2-20,T1,2,2975
70,22,O2-20,T1,2,2475
71,22,O2-20,T1,3,2250
72,22,O2-20,T1,4,2650
73,22,O2-20,T1,4,2750
74,22,O2-20,T1,3,2683333333
75,22,O2-20,T1,2,2875
76,22,O2-20,T1,2,2100
77,22,O2-20,T1,1,3350
78,22,O2-20,T1,3,2616666667
79,21,O2-20,T1,3,2966666667
80,20,C1-1,T1,3,2416666667
