ID,Day,Clone,Treatment,MeanBS
1,9,C1-1,C,5875
2,19,C1-1,C,69375
3,9,C5-10,C,760
3,6,C5-10,C,725
3,7,C5-10,C,71591
3,4,C5-10,C,7125
4,9,C5-10,C,780
4,7,C5-10,C,775
5,11,C5-10,C,845
5,9,C5-10,C,740
5,7,C5-10,C,705
6,11,C5-10,C,755
6,7,C5-10,C,725
6,8,C5-10,C,670
7,10,C5-10,C,785
7,7,C5-10,C,735
8,12,C5-10,C,830
8,12,C5-10,C,765
8,11,C5-10,C,720
8,9,C5-10,C,715
9,10,C5-10,C,885
9,13,C5-10,C,765
9,12,C5-10,C,755
9,9,C5-10,C,710
10,10,C5-10,C,850
10,12,C5-10,C,81875
10,13,C5-10,C,765
11,10,O2-10,C,940
11,7,O2-10,C,695
12,14,O2-10,C,800
12,12,O2-10,C,775
12,11,O2-10,C,770
12,8,O2-10,C,66875
13,12,O2-10,C,850
13,14,O2-10,C,810
13,11,O2-10,C,800
13,9,O2-10,C,735
14,10,O2-10,C,880
14,14,O2-10,C,860
14,13,O2-10,C,795
14,12,O2-10,C,76875
14,9,O2-10,C,760
15,10,O2-10,C,950
15,12,O2-10,C,745
15,9,O2-10,C,715
15,11,O2-10,C,670
15,7,O2-10,C,655
16,11,O2-10,C,9166666667
16,14,O2-10,C,805
16,13,O2-10,C,780
16,9,O2-10,C,735
16,12,O2-10,C,735
16,12,O2-10,C,735
17,10,O2-10,C,945
17,12,O2-10,C,785
17,13,O2-10,C,780
17,9,O2-10,C,740
17,7,O2-10,C,685
18,10,O2-10,C,825
18,14,O2-10,C,805
18,13,O2-10,C,790
18,9,O2-10,C,695
19,9,O2-10,C,8375
19,11,O2-10,C,715
19,8,O2-10,C,690
20,11,O2-10,C,850
20,13,O2-10,C,770
20,9,O2-10,C,715
20,8,O2-10,C,650
21,12,O2-10,C,80625
21,11,O2-10,C,765
21,9,O2-10,C,735
21,8,O2-10,C,685
21,13,O2-10,C,590
22,11,O2-20,C,940
22,9,O2-20,C,790
22,6,O2-20,C,735
22,7,O2-20,C,700
22,8,O2-20,C,675
23,7,O2-20,C,830
23,9,O2-20,C,780
23,6,O2-20,C,710
24,14,O2-20,C,815
24,12,O2-20,C,8125
24,11,O2-20,C,760
24,9,O2-20,C,720
25,12,O2-20,C,725
25,9,O2-20,C,710
26,12,O2-20,C,845
26,11,O2-20,C,755
26,8,O2-20,C,725
26,13,O2-20,C,675
27,11,O2-20,C,920
27,14,O2-20,C,775
27,13,O2-20,C,750
28,11,O2-20,C,910
28,7,O2-20,C,650
29,11,O2-20,C,935
29,8,O2-20,C,705
29,7,O2-20,C,665
30,11,O2-20,C,800
30,8,O2-20,C,725
30,7,O2-20,C,675
31,11,O2-20,C,790
31,7,O2-20,C,725
31,8,O2-20,C,690
32,11,O2-20,C,9166666667
32,7,O2-20,C,740
33,18,O2-20,C,9625
33,7,O2-20,C,720
34,16,O2-20,C,775
34,13,O2-20,C,740
35,10,O2-20,C,855
35,19,O2-20,C,800
36,11,O2-20,C,9625
36,10,O2-20,C,7875
36,7,O2-20,C,700
36,8,O2-20,C,675
37,10,O2-20,C,975
37,7,O2-20,C,700
38,11,O2-20,C,900
38,13,O2-20,C,765
38,12,O2-20,C,7625
38,9,O2-20,C,705
38,11,O2-20,C,700
38,7,O2-20,C,695
38,8,O2-20,C,645
39,12,O2-20,C,75625
39,9,O2-20,C,710
40,10,C1-1,T1,850
42,18,C1-1,T1,69375
42,16,C1-1,T1,660
42,13,C1-1,T1,59375
43,11,C5-10,T1,855
43,13,C5-10,T1,725
45,14,C5-10,T1,750
45,11,C5-10,T1,740
45,7,C5-10,T1,680
46,11,C5-10,T1,745
46,13,C5-10,T1,710
46,8,C5-10,T1,640
47,11,C5-10,T1,765
47,13,C5-10,T1,740
47,14,C5-10,T1,725
47,9,C5-10,T1,6333333333
48,11,C5-10,T1,760
48,13,C5-10,T1,720
48,14,C5-10,T1,700
48,9,C5-10,T1,645
49,12,C5-10,T1,75625
49,13,C5-10,T1,730
49,11,C5-10,T1,69375
49,9,C5-10,T1,645
50,16,C5-10,T1,735
50,14,C5-10,T1,725
50,12,C5-10,T1,70625
50,13,C5-10,T1,660
51,19,C5-10,T1,705
51,16,C5-10,T1,695
51,14,C5-10,T1,680
51,13,C5-10,T1,645
52,14,O2-10,T1,76875
52,11,O2-10,T1,780
52,13,O2-10,T1,700
52,9,O2-10,T1,650
53,18,O2-10,T1,78125
53,19,O2-10,T1,770
53,16,O2-10,T1,720
53,14,O2-10,T1,650
53,13,O2-10,T1,6375
54,18,O2-10,T1,83125
54,14,O2-10,T1,71875
54,13,O2-10,T1,700
54,11,O2-10,T1,650
55,16,O2-10,T1,755
55,14,O2-10,T1,725
55,18,O2-10,T1,635
55,12,O2-10,T1,60625
56,14,O2-10,T1,755
56,18,O2-10,T1,730
56,18,O2-10,T1,730
56,16,O2-10,T1,725
57,18,O2-10,T1,760
57,14,O2-10,T1,6625
57,14,O2-10,T1,575
58,16,O2-10,T1,720
58,14,O2-10,T1,700
58,13,O2-10,T1,680
58,12,O2-10,T1,64375
59,18,O2-10,T1,765
59,18,O2-10,T1,765
59,14,O2-10,T1,71875
59,14,O2-10,T1,680
59,13,O2-10,T1,615
59,19,O2-10,T1,590
60,18,O2-10,T1,800
60,14,O2-10,T1,745
60,13,O2-10,T1,735
60,14,O2-10,T1,735
61,18,O2-10,T1,710
61,16,O2-10,T1,700
61,13,O2-10,T1,665
61,14,O2-10,T1,650
64,18,O2-20,T1,810
64,14,O2-20,T1,765
64,14,O2-20,T1,70625
64,12,O2-20,T1,625
65,18,O2-20,T1,76875
65,19,O2-20,T1,720
65,14,O2-20,T1,700
66,11,O2-20,T1,700
66,14,O2-20,T1,695
66,8,O2-20,T1,58125
66,9,O2-20,T1,5416666667
67,13,O2-20,T1,710
67,11,O2-20,T1,655
68,14,O2-20,T1,720
68,11,O2-20,T1,675
68,9,O2-20,T1,630
69,11,O2-20,T1,695
69,13,O2-20,T1,675
70,18,O2-20,T1,865
70,14,O2-20,T1,675
71,11,O2-20,T1,675
72,13,O2-20,T1,700
72,11,O2-20,T1,650
72,8,O2-20,T1,630
72,9,O2-20,T1,5875
73,14,O2-20,T1,765
73,11,O2-20,T1,690
73,13,O2-20,T1,660
73,9,O2-20,T1,600
74,11,O2-20,T1,705
74,13,O2-20,T1,68125
74,9,O2-20,T1,575
75,14,O2-20,T1,735
75,12,O2-20,T1,7125
75,11,O2-20,T1,645
75,9,O2-20,T1,5833333333
77,13,O2-20,T1,710
78,13,O2-20,T1,750
78,16,O2-20,T1,665
78,14,O2-20,T1,660
78,12,O2-20,T1,6375
79,18,O2-20,T1,78125
79,11,O2-20,T1,665
79,14,O2-20,T1,650
80,16,C1-1,T1,650
80,18,C1-1,T1,650
80,13,C1-1,T1,63125
