Lake,Trt,Clone,Replicate,Died_before_mature,rep_by_day7,totaloffspring,Day7_length_mm,Day21_length_mm
Egypt,E,E10,1,0,1,28,0.953,1.24
Egypt,E,E10,2,0,0,16,0.923,NA
Egypt,E,E10,3,0,0,19,1.01,1.212
Egypt,E,E10,4,0,1,23,1.044,1.259
Egypt,E,E10,5,0,0,27,0.995,1.325
Egypt,E,E10,6,0,1,28,1.018,1.341
Egypt,E,E10,7,0,1,37,0.986,1.286
Egypt,E,E10,8,0,1,27,1.007,1.278
Egypt,E,E10,9,0,1,28,0.979,1.297
Egypt,E,E10,10,0,0,26,0.971,1.211
Egypt,E,E11,1,0,0,33,1.028,1.283
Egypt,E,E11,2,0,1,26,1.032,1.229
Egypt,E,E11,3,0,1,28,0.997,1.203
Egypt,E,E11,4,0,1,29,0.987,1.258
Egypt,E,E11,5,0,1,33,1.004,1.287
Egypt,E,E11,6,0,1,30,0.921,1.247
Egypt,E,E11,7,0,1,34,1.002,1.34
Egypt,E,E11,8,0,0,21,0.974,1.214
Egypt,E,E11,9,0,0,26,0.937,1.223
Egypt,E,E11,10,0,1,27,1.043,1.243
Egypt,E,E12,1,0,0,27,0.991,1.27
Egypt,E,E12,2,0,0,18,0.955,1.259
Egypt,E,E12,3,0,1,24,0.918,1.223
Egypt,E,E12,4,0,1,24,0.965,1.212
Egypt,E,E12,5,0,1,29,0.985,1.226
Egypt,E,E12,6,0,1,28,1.03,1.211
Egypt,E,E12,7,0,1,28,0.993,1.203
Egypt,E,E12,8,0,1,20,0.985,NA
Egypt,E,E12,9,0,0,24,0.819,1.197
Egypt,E,E12,10,0,1,25,1.009,1.203
Egypt,E,E14,1,0,1,20,1.009,1.25
Egypt,E,E14,2,0,1,23,0.989,1.292
Egypt,E,E14,3,0,1,30,1.025,1.23
Egypt,E,E14,4,0,1,27,1.025,1.227
Egypt,E,E14,5,0,0,27,0.944,1.246
Egypt,H,E10,1,0,1,35,1.003,1.235
Egypt,H,E10,2,0,1,26,0.959,1.25
Egypt,H,E10,3,0,1,23,0.936,1.214
Egypt,H,E10,4,0,1,29,0.975,1.213
Egypt,H,E10,5,0,1,23,0.97,1.121
Egypt,H,E10,6,0,1,26,0.974,1.136
Egypt,H,E10,7,0,0,14,0.853,1.217
Egypt,H,E10,8,1,NA,NA,NA,NA
Egypt,H,E10,9,0,0,28,0.943,1.233
Egypt,H,E10,10,0,1,25,0.824,1.247
Egypt,H,E11,1,0,1,33,0.969,1.282
Egypt,H,E11,2,0,1,23,0.929,1.198
Egypt,H,E11,3,0,1,25,0.938,1.273
Egypt,H,E11,4,0,1,25,1.006,1.246
Egypt,H,E11,9,0,1,26,0.934,1.217
Egypt,H,E11,10,0,1,26,0.981,1.273
Egypt,H,E12,1,0,1,15,1.025,1.103
Egypt,H,E12,2,0,1,20,1.001,1.243
Egypt,H,E12,3,0,0,18,0.945,1.151
Egypt,H,E12,4,0,0,14,0.953,1.185
Egypt,H,E12,5,0,0,17,0.962,1.183
Egypt,H,E14,1,0,1,25,1.013,1.182
Egypt,H,E14,2,0,1,24,1.077,1.254
Egypt,H,E14,3,0,1,26,1.06,1.254
Egypt,H,E14,4,0,1,24,0.953,1.189
Egypt,H,E14,5,0,1,27,1.059,1.234
Egypt,S,E10,1,0,1,34,1.013,1.319
Egypt,S,E10,2,0,1,40,0.991,1.294
Egypt,S,E10,3,0,1,27,0.966,1.309
Egypt,S,E10,4,0,1,37,0.911,1.263
Egypt,S,E10,5,0,1,28,0.978,1.279
Egypt,S,E10,6,0,1,30,0.967,1.341
Egypt,S,E10,7,0,1,31,1.005,1.322
Egypt,S,E10,8,0,1,39,1.005,1.325
Egypt,S,E10,9,0,1,32,0.996,1.285
Egypt,S,E10,10,0,1,40,0.96,1.283
Egypt,S,E11,1,0,1,35,0.938,1.289
Egypt,S,E11,2,0,1,29,1.033,1.312
Egypt,S,E11,3,0,1,26,1.015,1.231
Egypt,S,E11,4,0,1,27,0.999,1.27
Egypt,S,E11,5,0,1,28,0.964,1.225
Egypt,S,E11,6,0,1,38,1.012,1.309
Egypt,S,E11,7,0,1,35,0.947,1.29
Egypt,S,E11,8,0,1,31,1.022,1.228
Egypt,S,E11,9,0,1,35,1.007,1.28
Egypt,S,E11,10,0,1,24,0.986,1.236
Egypt,S,E11,11,0,1,26,0.975,1.226
Egypt,S,E12,1,0,1,35,0.999,1.27
Egypt,S,E12,2,0,1,29,0.974,1.252
Egypt,S,E12,3,0,1,36,1.03,1.3
Egypt,S,E12,4,0,1,37,0.991,1.253
Egypt,S,E12,5,0,1,30,0.98,1.246
Egypt,S,E12,6,0,1,28,0.913,1.158
Egypt,S,E12,7,0,1,26,0.76,1.213
Egypt,S,E12,8,0,1,27,0.986,1.226
Egypt,S,E12,9,0,1,27,0.995,1.219
Egypt,S,E14,1,0,1,27,1.036,1.3
Egypt,S,E14,2,0,1,39,0.994,1.298
Egypt,S,E14,3,0,1,28,1.025,1.331
Egypt,S,E14,4,0,1,28,0.996,1.259
Egypt,S,E14,5,0,1,25,1.023,1.313
Hall,E,H1,1,0,1,23,0.872,1.087
Hall,E,H1,2,0,0,27,0.905,1.16
Hall,E,H1,3,0,1,23,0.932,1.237
Hall,E,H1,4,0,0,30,0.858,1.182
Hall,E,H1,5,0,1,24,0.919,1.15
Hall,E,H1,6,0,1,23,0.996,1.193
Hall,E,H1,7,0,1,24,0.858,1.201
Hall,E,H1,8,0,0,27,0.884,1.15
Hall,E,H1,9,0,1,19,0.954,1.088
Hall,E,H2,1,0,1,26,1.032,1.241
Hall,E,H2,2,0,1,24,0.875,1.188
Hall,E,H2,3,0,0,23,0.867,1.208
Hall,E,H2,4,0,0,24,0.852,1.232
Hall,E,H2,5,0,1,27,1.047,1.23
Hall,E,H2,6,0,1,27,0.973,1.206
Hall,E,H2,7,0,1,33,0.844,1.177
Hall,E,H2,8,0,0,25,0.819,1.173
Hall,E,H2,9,1,NA,NA,NA,NA
Hall,E,H2,10,0,0,24,0.851,1.159
Hall,E,H2,11,0,0,25,0.864,1.154
Hall,E,H2,12,0,0,27,0.983,1.223
Hall,E,H3,1,0,0,29,0.874,1.253
Hall,E,H3,2,0,0,23,0.806,1.212
Hall,E,H3,3,0,0,32,0.85,1.225
Hall,E,H3,4,0,0,22,0.949,1.201
Hall,E,H3,5,0,1,26,0.829,1.198
Hall,E,H3,6,0,0,27,0.83,1.223
Hall,E,H3,7,0,0,28,0.821,1.228
Hall,E,H3,8,0,1,27,0.952,1.251
Hall,E,H3,9,0,1,29,0.975,1.187
