"","Accession numbers of DNA markers",,,"","","","","",""
"Strain","COI","23S","ITS","Length","Min","Max","Width","Min","Max"
"VR66-02","OQ104382","OQ034578","OQ048161","6.1 ± 0.5","5.5","6.7","2.9 ± 0.4","2.2","3.3"
"VR66-04","OQ104383","OQ034579","OQ048162","6.7 ± 0.5","6.2","7.6","3.2 ± 0.3","3","3.7"
"VR66-05","OQ104384","OQ034580","OQ048163","6.7 ± 1.0","5.2","8.3","3.1 ± 0.5","2.4","3.9"
"VR66-07","OQ104385","OQ034581","ON124903†","7.1 ± 0.6","6.4","8.1","3.1 ± 0.4","2.5","3.8"
"VR66-10","OQ104386","OQ034582","ON124904†","8.0 ± 0.9","6.0","8.8","3.7 ± 0.8","2.5","4.7"
"R86-45","OQ104387","OQ034583","ON124901†","9.1 ± 1.0","7.5","10.4","3.8 ± 0.5","2.6","4.3"
"R86-47","OQ104388","OQ034584","ON124902†","6.1 ± 0.8","5.2","7.3","2.6 ± 0.5","1.8","3.1"
"R86-48","OQ104389","OQ034585","OQ048164","6.5 ± 0.6","5.8","7.5","3.2 ± 0.4","2.8","4.2"
"R86-51","OQ104390","OQ034586","OQ048165","6.5 ± 0.5","5.8","7.1","2.9 ± 0.3","2.4","3.5"
"R86-53","OQ104391","OQ034587","OQ048166","7.4 ± 0.6","6.4","8.3","3.6 ± 0.5","2.6","4.1"
"R86-54","OQ104392","OQ034588","OQ048167","6.2 ± 0.7","5.1","7.0","2.5 ± 0.2","2.2","2.8"
"R86-56","OQ104393","OQ034589","OQ048168","7.0 ± 1.1","5.5","9.1","3.6 ± 0.5","3.1","4.5"
"R129-31","OQ104394","OQ034590","OQ048169","6.1 ± 1.5","4.3","8.7","2.7 ± 0.6","2.2","4.0"
"R129-32","OQ104395","OQ034591","OQ048170","6.6 ± 0.8","5.9","8.4","2.7 ± 0.5","2.2","3.5"
"R129-33","OQ104396","OQ034592","OQ048171","6.9 ± 1.3","5.2","8.7","3.3 ± 0.7","2.5","4.2"
"R129-34","OQ104397","OQ034593","OQ048172","6.1 ± 0.5","5.5","7.1","2.8 ± 0.5","2.2","3.7"
"R129-35","OQ104398","OQ034594","OQ048173","7.4 ± 1.1","5.8","9.3","3.6 ± 0.6","2.7","4.4"
"R129-36","OQ104399","OQ034595","OQ048174","6.2 ± 0.4","5.5","6.7","2.4 ± 0.2","2.2","2.6"
"R129-37","OQ104400","OQ034596","OQ048175","7.0 ± 0.5","6.3","7.7","3.3 ± 0.2","3.0","3.7"
"R129-38","OQ104401","OQ034597","OQ048176","7.0 ± 0.7","6.0","8.0","2.8 ± 0.3","2.3","3.3"
"R129-39","OQ104402","OQ034598","OQ048177","6.2 ± 0.8","5.0","7.6","2.6 ± 0.3","2.1","3.1"
"R129-40","OQ104403","OQ034599","OQ048178","7.4 ± 1.0","6.2","8.9","3.3 ± 0.7","2.5","4.6"
"R129-42","OQ104404","OQ034600","OQ048179","7.6 ± 0.9","6.1","8.7","3.6 ± 0.5","3.1","4.7"
"SK147-17","OQ104405","OQ034601","OQ048180","7.7 ± 0.6","6.4","8.5","4.0 ± 0.7","3","4.8"
"SK147-19","OQ104406","OQ034602","OQ048181","7.7 ± 0.9","6.3","8.8","3.9 ± 0.5","3.1","4.4"
"SK147-21","OQ104407","OQ034603","OQ048182","7.2 ± 0.6","6.6","8.3","3.5 ± 0.3","3.2","4.0"
"SK147-23","OQ104408","OQ034604","OQ048183","8.3 ± 1.1","7.0","10.3","3.9 ± 0.6","2.9","4.9"
"SK147-25","OQ104409","OQ034605","OQ048184","7.3 ± 1.2","6.2","8.9","3.7 ± 0.6","2.9","4.3"
"SK147-26","OQ104410","OQ034606","OQ048185","7.8 ± 0.7","7.0","8.9","4.2 ± 0.7","3.6","5.7"
"SK147-28","OQ104411","OQ034607","OQ048186","8.8 ± 1.3","7.4","10.9","4.0 ± 0.9","2.9","5.5"
"CCAP 11/119","OQ104412","OQ034608","OQ048187","7.4 ± 1.3","5.6","9.5","4.4 ± 0.9","3.3","5.5"
