Temp,BPA,Trip,Species,proportion_of_count,proportion_of_biovolume,Total_ BV,bv_species,count,avg_bv_per_count
18,0,A,Cv,0.955223105,0.899532306,14348209.29,12906677.79,18389,701.8694758
18,0,A,Ab,0.040829048,0.07308966,14348209.29,1048705.74,786,1334.231221
18,0,A,Sq,0.003947847,0.027378034,14348209.29,392825.7601,76,5168.760001
18,0,B,Cv,0.986082292,0.945482841,28029816.18,26501710.24,69859,379.36
18,0,B,Ab,0.012506175,0.037892683,28029816.18,1062124.94,886,1198.786614
18,0,B,Sq,0.001411532,0.016624476,28029816.18,465980.9999,100,4659.809999
18,0,C,Cv,0.992903347,0.953567659,29490112.79,28120817.81,105913,265.5086515
18,0,C,Ab,0.006543546,0.033392731,29490112.79,984755.4,698,1410.824355
18,0,C,Sq,0.000553108,0.01303961,29490112.79,384539.58,59,6517.619999
18,2,A,Cv,0.988514327,0.956636642,26914381.19,25747283.23,64893,396.7651862
18,2,A,Ab,0.010769723,0.034983336,26914381.19,941554.8299,707,1331.760721
18,2,A,Sq,0.00071595,0.008380023,26914381.19,225543.13,47,4798.79
18,2,B,Cv,0.991412511,0.947376628,25451690.43,24112336.65,101941,236.532275
18,2,B,Ab,0.008003968,0.040500193,25451690.43,1030798.38,823,1252.488919
18,2,B,Sq,0.000583521,0.012123179,25451690.43,308555.4,60,5142.589999
18,2,C,Cv,0.979840073,0.902291222,24562298.9,22162346.68,89819,246.7445271
18,2,C,Ab,0.019418111,0.083393737,24562298.9,2048341.9,1780,1150.753876
18,2,C,Sq,0.000741815,0.014315041,24562298.9,351610.32,68,5170.74
18,13,A,Cv,0.998203252,0.99275476,41364147.31,41064454.15,100001,410.6404351
18,13,A,Ab,0.001607091,0.005006661,41364147.31,207096.28,161,1286.312298
18,13,A,Sq,0.000189657,0.002238578,41364147.31,92596.88,19,4873.52
18,13,B,Cv,0.998628197,0.993039164,27560328.25,27368485.33,89540,305.6565259
18,13,B,Ab,0.001215663,0.003828287,27560328.25,105508.84,109,967.9710091
18,13,B,Sq,0.00015614,0.003132549,27560328.25,86334.07999,14,6166.72
18,13,C,Cv,0.999061106,0.994036956,24227497.59,24083027.95,90447,266.2667413
18,13,C,Ab,0.000795299,0.004122193,24227497.59,99870.41,72,1387.089028
18,13,C,Sq,0.000143596,0.001840852,24227497.59,44599.23,13,3430.71
23,0,A,Cv,0.980239322,0.843176233,38722186.78,32649627.6,100104,326.1570726
23,0,A,Ab,0.00429878,0.021093301,38722186.78,816778.7299,439,1860.543804
23,0,A,Sq,0.015461899,0.135730466,38722186.78,5255780.448,1579,3328.549999
23,0,B,Cv,0.978753407,0.845270706,35500769.19,30007760.25,82597,363.3032707
23,0,B,Ab,0.004218509,0.021611331,35500769.19,767218.8901,356,2155.109242
23,0,B,Sq,0.017028084,0.133117962,35500769.19,4725790.051,1437,3288.650001
23,0,C,Cv,0.975313699,0.819452851,33313459.87,27298809.68,71431,382.1703417
23,0,C,Ab,0.007141004,0.037082214,33313459.87,1235336.84,523,2362.020727
23,0,C,Sq,0.017545297,0.143464935,33313459.87,4779313.352,1285,3719.310001
23,2,A,Cv,0.991847185,0.906018473,25350867.81,22968354.54,88323,260.0495289
23,2,A,Ab,0.002762524,0.018909825,25350867.81,479380.4701,246,1948.701098
23,2,A,Sq,0.005390291,0.075071702,25350867.81,1903132.8,480,3964.86
23,2,B,Cv,0.960676502,0.86501549,31158537.91,26952617.93,39137,688.6735807
23,2,B,Ab,0.021650016,0.047848175,31158537.91,1490879.18,882,1690.339206
23,2,B,Sq,0.017673482,0.087136335,31158537.91,2715040.8,720,3770.89
23,2,C,Cv,0.971521765,0.838886304,31272672.49,26234216.63,66421,394.9687091
23,2,C,Ab,0.013237187,0.044359361,31272672.49,1387235.76,905,1532.857193
23,2,C,Sq,0.015241048,0.116754336,31272672.49,3651220.099,1042,3504.049999
23,13,A,Cv,0.99818406,0.971611495,17869305.83,17362022.96,89048,194.9737553
23,13,A,Ab,0.000156933,0.000556135,17869305.83,9937.75,14,709.8392857
23,13,A,Sq,0.001659007,0.027832369,17869305.83,497345.1201,148,3360.44
23,13,B,Cv,0.99375675,0.973468726,30927254.7,30106715.24,37724,798.0785505
23,13,B,Ab,0.000579542,0.001159161,30927254.7,35849.66,22,1629.53
23,13,B,Sq,0.005663707,0.025372113,30927254.7,784689.8001,215,3649.72
27,0,A,Cv,0.995624392,0.975950726,16597331.53,16198177.76,14335,1129.974033
27,0,A,Ab,0.000555633,0.001592345,16597331.53,26428.67001,8,3303.583751
27,0,A,Sq,0.003819975,0.022456929,16597331.53,372725.1001,55,6776.820001
27,0,B,Cv,0.996952413,0.976549881,28377916.47,27712450.96,10857,2552.496174
27,0,B,Ab,0.001118381,0.000901194,28377916.47,25574,40,639.35
27,0,B,Sq,0.001929207,0.022548925,28377916.47,639891.5101,69,9273.790002
27,0,C,Cv,0.998502054,0.991518327,29745991.44,29493695.67,20664,1427.298474
27,0,C,Ab,9.66417E-05,0.000123312,29745991.44,3668.039999,2,1834.019999
27,0,C,Sq,0.001401305,0.008358361,29745991.44,248627.73,29,8573.37
27,2,A,Cv,0.999785308,0.996244713,37476756.1,37336020.13,79166,471.6168573
27,2,A,Ab,0.000101032,0.001236452,37476756.1,46338.21,8,5792.276249
