replicate,species,volume
1,ANK,39.31209117
2,ANK,61.80523703
3,ANK,202.3258624
4,ANK,90.45376731
5,ANK,74.16964821
6,ANK,38.68233732
7,ANK,48.77482427
8,ANK,221.8953372
9,ANK,98.33152998
10,ANK,83.09116326
11,ANK,70.00705329
12,ANK,67.80064957
13,ANK,126.8877841
14,ANK,69.98206885
15,ANK,187.140194
16,ANK,40.04537355
17,ANK,30.90559678
18,ANK,73.3333513
19,ANK,18.93906909
20,ANK,17.69772199
21,ANK,30.10047542
22,ANK,40.19435801
23,ANK,67.63851148
24,ANK,63.40727155
25,ANK,31.24828367
26,ANK,43.7544083
27,ANK,16.28119926
28,ANK,41.2221752
29,ANK,4.564394977
30,ANK,5.068016582
1,CHLA,1105.364713
2,CHLA,747.8838815
3,CHLA,471.78174
4,CHLA,1356.953219
5,CHLA,1011.692874
6,CHLA,613.2180302
7,CHLA,747.8838815
8,CHLA,970.9566846
9,CHLA,711.1069291
10,CHLA,757.1742985
11,CHLA,1245.459185
12,CHLA,1011.692874
13,CHLA,402.060213
14,CHLA,1234.486016
15,CHLA,1137.198012
16,CHLA,1105.364713
17,CHLA,613.2180302
18,CHLA,440.3363178
19,CHLA,1613.181274
20,CHLA,981.0883557
21,CHLA,1613.181274
22,CHLA,613.2180302
23,CHLA,702.0096817
24,CHLA,561.8962295
25,CHLA,1180.108368
26,CHLA,711.1069291
27,CHLA,315.0790207
28,CHLA,891.1780485
29,CHLA,702.0096817
30,CHLA,832.858354
1,SCE,3022.568809
2,SCE,1777.766422
3,SCE,1732.448742
4,SCE,5034.111885
5,SCE,2351.148008
6,SCE,3697.699389
7,SCE,2780.108499
8,SCE,1188.296167
9,SCE,1193.07938
10,SCE,1686.093425
11,SCE,4164.269242
12,SCE,3624.181039
13,SCE,4967.35545
14,SCE,1934.070734
15,SCE,7654.779819
16,SCE,5008.544444
17,SCE,6238.018357
18,SCE,1616.293054
19,SCE,3442.677914
20,SCE,4285.52063
21,SCE,4094.389494
22,SCE,2750.515207
23,SCE,1551.207812
24,SCE,4311.481228
25,SCE,3152.049058
26,SCE,2655.244343
27,SCE,1777.766422
28,SCE,4785.095745
29,SCE,3176.577948
30,SCE,3117.105529
1,SEL,33.92571546
2,SEL,24.75883938
3,SEL,42.44979929
4,SEL,29.51991677
5,SEL,30.94163238
6,SEL,15.39058048
7,SEL,29.64455554
8,SEL,16.02192858
9,SEL,20.12522212
10,SEL,27.89702474
11,SEL,19.34012884
12,SEL,27.84803974
13,SEL,18.06047406
14,SEL,38.37417172
15,SEL,32.7355385
16,SEL,26.02333444
17,SEL,23.25255683
18,SEL,17.62073964
19,SEL,17.92560147
20,SEL,16.52162697
21,SEL,13.41571965
22,SEL,19.72796634
23,SEL,27.80105251
24,SEL,16.08729013
25,SEL,22.31193601
26,SEL,18.09210078
27,SEL,14.25555938
28,SEL,16.62677998
29,SEL,23.24785412
30,SEL,16.96295152
1,STA,15765.78121
2,STA,14529.69634
3,STA,23799.58478
4,STA,11518.07394
5,STA,11338.92786
6,STA,12771.226
7,STA,9581.37197
8,STA,8944.322084
9,STA,10083.26523
10,STA,13010.77688
11,STA,11335.04143
12,STA,16516.26692
13,STA,8994.529178
14,STA,12572.86098
15,STA,10444.57633
16,STA,10006.28485
17,STA,11640.63073
18,STA,8415.122833
19,STA,10515.67563
20,STA,14607.66682
21,STA,15874.44938
22,STA,14418.75986
23,STA,8266.625594
24,STA,6904.783473
25,STA,9434.555831
26,STA,11328.29382
27,STA,8799.05957
28,STA,10192.43491
29,STA,6986.12311
30,STA,10206.3811
