Publication Type,Authors,Author Full Names,Article Title,Source Title,ISSN,eISSN,ISBN,Publication Year,Volume,Issue,Start Page,End Page,Article Number,DOI,Book DOI,UT (Unique WOS ID)
J,"Bergman, I; Lindstrom, ES; Sassenhagen, I","Bergman, Ingrid; Lindstrom, Eva S.; Sassenhagen, Ingrid",Ciliate Grazing on the Bloom-Forming Microalga Gonyostomum semen,MICROBIAL ECOLOGY,0095-3628,1432-184X,,2024,87,1,,,33,10.1007/s00248-024-02344-9,,WOS:001145053200001
J,"Cabrera, M; Capparelli, M; Ortega-Andrade, M; Medina-Villamizar, EJ; Rico, A","Cabrera, Marcela; Capparelli, Mariana, V; Ortega-Andrade, Mauricio; Medina-Villamizar, Evencio Joel; Rico, Andreu",Effects of the insecticide imidacloprid on aquatic invertebrate communities of the Ecuadorian Amazon,ENVIRONMENTAL POLLUTION,0269-7491,1873-6424,,2024,357,,,,124459,10.1016/j.envpol.2024.124459,,WOS:001286182400001
J,"Huynh, TH; Horváth, Z; Pálffy, K; Kardos, V; Szabó, B; Dobosy, P; Vad, CF","Huynh, Thu-Hong; Horvath, Zsofia; Palffy, Karoly; Kardos, Vivien; Szabo, Beata; Dobosy, Peter; Vad, Csaba F.",Heatwave-induced functional shifts in zooplankton communities result in weaker top-down control on phytoplankton,ECOLOGY AND EVOLUTION,2045-7758,,,2024,14,8,,,e70096,10.1002/ece3.70096,,WOS:001283878300001
J,"Weisse, T","Weisse, Thomas",Thermal response of freshwater ciliates: Can they survive at elevated lake temperatures?,FRESHWATER BIOLOGY,0046-5070,1365-2427,,2024,,,,,,10.1111/fwb.14302,,WOS:001270852500001
J,"Diel, P; Kiene, M; Laforsch, C","Diel, Patricia; Kiene, Marvin; Laforsch, Christian",Variation in defensive spines across juvenile instars of Daphnia magna,JOURNAL OF PLANKTON RESEARCH,0142-7873,1464-3774,,2024,46,4,452,458,,10.1093/plankt/fbae033,,WOS:001270283100001
J,"Gurung, A; Mukherjee, S; Declercq, M; Souffreau, C; De Meester, L","Gurung, Aditi; Mukherjee, Shinjini; Declercq, Maj; Souffreau, Caroline; De Meester, Luc",Strain-dependent and host genotype-dependent priority effects in gut microbiome assembly affect host fitness in Daphnia,LIMNOLOGY AND OCEANOGRAPHY,0024-3590,1939-5590,,2024,,,,,,10.1002/lno.12614,,WOS:001265118000001
J,"Paris, L; Dutaut, M; Coly, S; Foltier, D; Gire, B; Coulon, M; Thouvenot, A; Latour, D; Legrand, B","Paris, Laurianne; Dutaut, Mathilde; Coly, Sylvain; Foltier, David; Gire, Benoit; Coulon, Marianne; Thouvenot, Antoine; Latour, Delphine; Legrand, Benjamin",Effect of water temperature on the signal of a phycocyanin probe and correction factor applied to three morphotypes to improve field monitoring of cyanobacteria,ALGAL RESEARCH-BIOMASS BIOFUELS AND BIOPRODUCTS,2211-9264,,,2024,82,,,,103599,10.1016/j.algal.2024.103599,,WOS:001267294100001
J,"Ma, MD; Li, JX; Lu, AR; Zhu, PX; Yin, XW","Ma, Mengdi; Li, Jiaxin; Lu, Aoran; Zhu, Peixun; Yin, Xuwang",Effects of phytoplankton diversity on resource use efficiency in a eutrophic urban river of Northern China,FRONTIERS IN ENVIRONMENTAL SCIENCE,,2296-665X,,2024,12,,,,1389220,10.3389/fenvs.2024.1389220,,WOS:001270274000001
J,"Bazin, S; Diouloufet, V; Molina, A; Peroux, T; Montoya, JM; Blanchet, S; Edeline, E; Jacquet, S; Rasconi, S; Fayolle, S; Campana, M; Zambeaux, T; Leclerc, C; Lassus, R; Morla, J; Daufresne, M; Sentis, A","Bazin, Simon; Diouloufet, Virginie; Molina, Ange; Peroux, Tiphaine; Montoya, Jose M.; Blanchet, Simon; Edeline, Eric; Jacquet, Stephan; Rasconi, Serena; Fayolle, Stephanie; Campana, Marina; Zambeaux, Thalia; Leclerc, Camille; Lassus, Remy; Morla, Julie; Daufresne, Martin; Sentis, Arnaud",Direct effect of artificial warming on communities is stronger than its indirect effect through body mass reduction,OIKOS,0030-1299,1600-0706,,2024,,,,,,10.1111/oik.10561,,WOS:001258735500001
J,"Lejeune, B; Lepoint, G; Denoël, M","Lejeune, Benjamin; Lepoint, Gilles; Denoel, Mathieu",Food web collapse and regime shift following goldfish introduction in permanent ponds,GLOBAL CHANGE BIOLOGY,1354-1013,1365-2486,,2024,30,7,,,e17435,10.1111/gcb.17435,,WOS:001273817600001
J,"Kiene, M; Schott, M; Martin-Creuzburg, D; Laforsch, C","Kiene, Marvin; Schott, Matthias; Martin-Creuzburg, Dominik; Laforsch, Christian",Food quantity and quality modulates inducible defenses in a common predator-prey system,LIMNOLOGY AND OCEANOGRAPHY,0024-3590,1939-5590,,2024,69,7,1535,1546,,10.1002/lno.12595,,WOS:001253985400001
J,"Dos Santos, NG; Chiarelli, LJ; Morari, PHR; de Souza, MET; Calixto, G; Kato, BED; Rodrigues, GLD; Figueira, LC; Castilho-Noll, MSM","Dos Santos, Natan Guilherme; Chiarelli, Laura Jardim; Morari, Pedro Henrique Ribeiro; de Souza, Maria Eduarda Turcato; Calixto, Guilherme; Kato, Brendown Eiji Dias; Rodrigues, Gabriel Liboni Del Pino; Figueira, Luana Cassia; Castilho-Noll, Maria Stela Maioli",How land use affects freshwater zooplankton communities: a global overview,HYDROBIOLOGIA,0018-8158,1573-5117,,2024,,,,,,10.1007/s10750-024-05562-x,,WOS:001247878400002
J,"Akter, S; Wilfert, K; Saliu, OR; Schoelynck, J; De Boeck, G","Akter, Sabiha; Wilfert, Katharina; Saliu, Olayemi Razaq; Schoelynck, Jonas; De Boeck, Gudrun",Feeding on stressed algae exerts important effects on life history traits of Daphnia magna in a multi-stressor environment,AQUATIC TOXICOLOGY,0166-445X,1879-1514,,2024,273,,,,106988,10.1016/j.aquatox.2024.106988,,WOS:001254008500001
J,"Huang, J; Gu, L; Sun, YF; Zhang, L; Huang, Y; Yang, Z","Huang, Jing; Gu, Lei; Sun, Yunfei; Zhang, Lu; Huang, Yuan; Yang, Zhou",Declining aqueous calcium and fish predation risk interactively modify the phenotypic plasticity in Daphnia pulex,ENVIRONMENTAL POLLUTION,0269-7491,1873-6424,,2024,356,,,,124266,10.1016/j.envpol.2024.124266,,WOS:001261105200001
