Source,Habitat/Location
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
Liang et al. 1996 (Mar. Bio. 124:527-536),Temperate eutrophic inlet
