Ref.code;Authors;Year;Title;Journal.Book;Pub.type
1;Canadian Institute of Ecology and Evolution (CIEE) working group on zooplankton dynamics.;2012;Freshwater zooplankton database;NA;Unpublished data
2;Lynch, M.;1980; The evolution of cladoceran life histories;Quarterly Review of Biology;Article
3;Bottrell, H. H., Duncan, A., Gliwicz, Z. M., Grygierek, E., Herzig, A., Hillbricht-Ilkowska, A., Kurasawa, H., Larsson, P., and T. Weglenska.;1976;A review of some problems in zooplankton production studies;Norwegian Journal of Zoology;Article
4;TÅmpling, W. V., and G. Friedrich.;1999;Biologische Gewasseruntersuchung;Methoden der Biologischen Wasseruntersuchung II;Book or book chapter
5;Adrian, R.;1988;Untersuchungen zur herbivore und carnivoren ernahrungsweise von Cyclops Kolensis und C. Vicinus (Crustacea, Copepoda) ;NA;Thesis
6;Dumont, H. J., de Velde, I. V., and S. Dumont.;1975;The dry weight estimate of biomass in a selection of Cladocera, Copepoda and Rotifera from the plankton, periphyton and benthos of continental waters;Oecologia;Article
7;Berne, T. V. ;1991;Abundance, standing crop and production of microcrustacean populations (Cladocera, Copepoda) in the littoral zone of Lake Biel, Switzerland;Archiv fÅr Hydrobiologie;Article
8;Frey, D. G.;1973;Comparative morphology and biology of three species of Eurycercus (Chrydoridae, Cladocera) with a description of Eurycercus macrocanthus sp.;Internationale Revue der gesamten Hydrobiologie;Article
9;Smirnov, N. N.;1964;Eurycercus lamellatus (chydoridae: Cladocera): Field observations and nutrition;Hydrobiologia;Article
10;Green, J.;1956;Growth, size, and reproduction in Daphnia (Crustacea: Cladocera);Journal of the Zoological society of London;Article
11;Burgis, M. J. ;1973;Observations on the Cladocera of Lake George, Uganda;Journal of the Zoological society of London;Article
12;Murugan, N., and K. G. Sivaramakrishnan;1973;The biology of Simocephalus acutirostratus King (Cladocera: Daphnidae) - Laboratory studies of life span, instar duration, egg production, growth, and stages in embryonic development;Freshwater Biology;Article
13;Branstrator, D. K.;2005;Contrasting life histories of the predatory cladocerans Leptodora kindtii and Bythotrephes longimanus;Journal of Plankton Research;Article
14;Andrews, T. F.;1948;The life history, distribution, growth, and abundance of Leptodora kindtii (Focke) in Western Lake Erie;NA;Thesis
15;Vijverberg, J., and H. P. Koelewijn.;2004;Effect of temperature on development and growth of the raptorial cladoceran Leptodora kindtii under laboratory conditions;Freshwater Biology;Article
16;Vijverberg, J., Koelewijn, H. P. and W. L. T. van Densen. ;2005;Effects of predation and food on the population dynamics of the raptorial cladoceran Leptodora kindtii;Limnology and Oceanography;Article
17;Lehman, J. T. and C. E. Caceres;1993;Food-web responses to species invasion by a predatory invertebrate: Bythotrephes in Lake Michigan;Limnology and Oceanography;Article
18;Culver, D. A., Boucherle, M. M., Bean, D. J., and J. W. Fletcher. ;1985;Biomass of freshwater crustacean zooplankton from length-weight regressions;Canadian Journal Fisheries and Aquatic Sciences;Article
19;Barnett, A. J., Finlay, K., and B. E. Beisner. ;2007;Functional diversity of crustacean zooplankton communities: towards a trait-based classification;Freshwater Biology;Article
20;McCauley, E. ;1984;The estimation of the abundance and biomass of zooplankton in samples;A manual on methods for the assessment of secondary production in fresh waters;Book or book chapter
21;Green, J. D., and M. A. Chapman.;1977;Temperature effects on oxygen consumption by copepod Boeckella dilatata;New Zealand Journal of Marine and Freshwater Research;Article
22;Comita, G. W.;1968;Oxygen consumption in Diaptomus;Limnology and Oceanography;Article
23;Kibby, H.V. ;1971;Energetics and population dynamics of Diaptomus gracilis;Ecological Monograph;Article
24;Richman, S.;1964;Energy transformation studies on Diaptomus oregonensis;Verhandlungen des Internationalen Verein Limnologie;Article
25;Shcherbakoff, A. P. ;1935;Uber den Sauerstoffverbrauch von einigen Planktoncrustaceen;Arb. Linmol. Stat. Kossino;Article
26;Roff, J. C.;1973;Oxygen consumption of Limnocalanus macrurus (Calanoida, Copepoda) in relation to environmental conditions;Canadian Journal of Zoology;Article
27;Laybourn-Parry, J., and I. M. Strachan.;1980;Respiratory metabolism of Cyclops bicuspidatus (Copepoda: Cyclopoida) from Esthwaite Water, Cumbria;Oecologia;Article
28;Gophen, M.;1976;Temperature dependence of food intake, ammonia excretion and respiration in Ceriodaphnia reticulata (Jurine) (Lake Kinneret, Israel);Freshwater Biology;Article
29;Ivanova M. B., and R. Z. Klekowski.;1972;Respiratory and filtration rates in Simocephalus vetulus (O.F. Muller) at different pH;Polish Archiv Hydrobiologie;Article
30;Obreshkove V.;1930;Oxygen consumption in the developmental stages of a cladoceran;Physiological Zoology;Article
31;Goss, L. B., and D. L. Bunting.;1980;Temperature effects on zooplankton respiration;Comparative and Biochemical Physiology ;Article
32;Richman, S.;1958;The transformation of energy by Daphnia pulex;Ecological Monograph;Article
33;Kersting, K., and C. Van der Leeuw-Leegwater.;1976;Effect of food concentration on the respiration of Daphnia magna;Hydrobiologia;Article
34;Schindler, D. W.;1968;Feeding, assimilation and respiration rates of Daphnia magna under various environmental conditions and their relation to production estimates;Journal of Animal Ecology;Article
35;Carillo, P., Reche. I., and L. Cruz-Pizarro. ;1996;Intraspecific stoichiometric variability and the ratio of nitrogen to phosphorus resupplied by zooplankton;Freshwater Biology;Article
36;Peters R. H., and E. H. Rigler.;1973;Phosphorous release by Daphnia;Limnology and Oceanography;Article
37;Peters, R. H.;1975;Phosphorus regeneration by natural population of limnetic zooplankton;Verhandlungen der Internationale Vereinigung fÅr Theoretische und Angewandte Limnologie;Article
38;Urabe, J.;1993;N and P cycling coupled by grazers' activities: food quality and nutrient release by zooplankton;Ecology;Article
39;Hartmann, H. J. ;1987;Effects of differential grazing and phosphorus recycling on the phytoplankton community dynamics;NA;Thesis
40;LaRow, E. J., Wilkinson J. W., and K. D. Kumar.;1975;The effect of food concentration and temperature on respiration and excretion in herbivorous zooplankton;Verhandlungen der Internationale Vereinigung fÅr Theoretische und Angewandte Limnologie;Article
41;Lehman, J. T. ;1980;Release and cycling of nutrients between planktonic algae and herbivores;Limnology and Oceanography;Article
42;Ejsmont-Karabin, J.;1984;Phosphorus and nitrogen excretion by lake zooplankton (rotifers and crustaceans) in relationship to individual body weights of the animals, ambient temperature and presence or absence of food; Ekologia Polska;Article
43;Peters, R. H., and D. Lean.;1973;The characterization of soluble phosphorus released by limnetic zooplankton;Limnology and Oceanography;Article
44;den Oude, P. J., and R. D. Gulati.;1988;Phosphorus and nitrogen excretion rates of zooplankton from the eutrophic Loosdrecht lakes, with notes in other P sources for phytoplankton requirements;Hydrobiologia;Article
45;Rigler, F. H.;1961;The uptake and release of inorganic phosphorus by Daphnia magna (Strauss);Limnology and Oceanography;Article
46;Olsen, Y., and K. Ostgaard.;1985;Estimating release rates of phosphorus from zooplankton: Model and experimental verification;Limnology and Oceanography;Article
47;Bowers, J. A. ;1986;Phosphorus regeneration by the predatory copepod Diacyclops thomasi;Canadian Journal of Fisheries and Aquatic Sciences;Article
48;Gardner, W. S., and W. H. Miller. ;1981;Intracellular Composition and Net Release Rates of Free Amino Acids in Daphnia magna;Canadian Journal of Fisheries and Aquatic Sciences;Article
49;Gardner, W. S., and D. Scavia.;1981;Kinetic examination of nitrogen release by zooplankters;Limnology and Oceanography;Article
50;He, W., and W. X. Wang.;2007;Kinetics of phosphorus in Daphnia at different food concentrations and carbon:phosphorus ratios ;Limnology and Oceanography;Article
51;Jacobsen, T. R., and G. W. Comita.;1976;Ammonia?Nitrogen Excretion in Daphnia Pulex;Hydrobiologia;Article
52;Ganf, G. G., and P. Blazka.;1974;Oxygen uptake, ammonia and phosphate excretion by zooplankton of a shallow equatorial (Lake George, Uganda);Limnology and Oceanography;Article
53;Baudoin, M. F., and O. Ravera.;1972;Weight, size, and chemical composition of some freshwater zooplankters: Daphnia hyalina (Leydig);Notes in Limnology and Oceanography;Article
54;Birge E., and C. Juday.;1922;The inland lakes of Wisconsin: The plankton;Wisconsin Geological and Natural History Survey ;Institutional report, bulletin or memoirs
55;Scavia, D., and W. S. Gardner.;1982;Kinetics of nitrogen and phosphorus release in varying food supplies by Daphnia magna;Hydrobiologia;Article
56;Olsen, Y., Jensen, A., Reinertsen, H., Borsheim, K. Y., Heidal, M., and A. Langeland.;1986;Dependence of the rate of release of phosphorus by zooplankton on the P:C ratio in the food supply, as calculated by a recycling model;Limnology and Oceanography;Article
57;Attayde, J. L., and L. A. Hansson.;1999;Effects of nutrient recycling by zooplankton and fish on phytoplankton communities;Oecologia;Article
58;Andersen, T, and D. O. Hessen.;1991;Carbon, Nitrogen, and Phosphorus Content of Freshwater Zooplankton;Limnology and Oceanography;Article
