Genus;Species;Replicate.number;Group;Habitat;Trophic.group;Ref.tg;Body.length;Min.bl;Max.bl;Ref.bl;Dry.mass;Min.dm;Max.dm;Ref.dm;Cct.prop;Min.Cprop;Max.Cprop;Cct.total;Ref.C;Nct.prop;Min.Nprop;Max.Nprop;Nct.total;Ref.N;Pct.prop;Min.Pprop;Max.Pprop;Pct.total;Ref.P;N:Pct;Min.NP;Max.NP;Ref.NP;Protein.ct;Min.prot;Max.prot;Ref.prot;Lipid.ct;Min.lip;Max.lip;Ref.lip;Respiration.rt.ind;Respiration.rt.mg;Min.resp.mg;Max.resp.mg;Temp.resp.rt;Min.temp.resp.rt;Max.temp.resp.rt;Ref.resp;N-ammonia.ex.rt.ug.ind;N-ammonia.ex.rt.ug.dm;Min.Nex.rt.ug.dm;Max.Nex.rt.ug.dm;N-ammonia.ex.rt.nmol.dm;N-ammonia.ex.rt.nmol.ind;Min.Nex.rt.nmol.ind;Max.Nex.rt.nmol.ind;Temp.Nex.rt;Min.temp.Nex.rt;Max.temp.Nex.rt;Ref.N.ex;P-phosphate.ex.rt.ug.ind;P-phosphate.ex.rt.ug.dm;Min.Pex.rt.ug.dm;Max.Pex.rt.ug.dm;P-phosphate.ex.rt.nmol.dm;P-phosphate.ex.rt.nmol.ind;Min.Pex.rt.nmol.ind;Max.Pex.rt.nmol.ind;Temp.Pex.rt;Min.temp.Pex.rt;Max.temp.Pex.rt;Ref.P.ex;N:P.ex;Min.NP.ex;Max.NP.ex;Ref.NPex
Acanthocyclops;robustus;NA;Copepoda;Freshwater;Omnivore;19;1,14;NA;NA;1,19;0,0086;NA;NA;1,18,20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acanthocyclops;vernalis;1;Copepoda;Freshwater;OmniCarn;1;1,2;NA;NA;1;0,0086;NA;NA;1,18,20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acanthocyclops;vernalis;2;Copepoda;Freshwater;Omnivore;19;0,72;NA;NA;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acanthodiaptomus;denticornis;NA;Copepoda;Freshwater;OmniHerb;58;NA;NA;NA;NA;NA;NA;NA;NA;51,3;NA;NA;NA;58;11;NA;NA;NA;58;0,63;NA;NA;NA;58;38,7;NA;NA;58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acanthodiaptomus;sp.;NA;Copepoda;Marine;NA;NA;NA;NA;NA;NA;1,89;NA;NA;69;41,4;NA;NA;0,78246;69;10,7;NA;NA;0,20223;69;1,000000;NA;NA;0,01890;69;23,647;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;3,1;NA;NA;NA;10;NA;NA;69;0,13;NA;NA;NA;NA;NA;NA;NA;10;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acantholeberis;curvirostris;NA;Cladocera;Freshwater;Herbivore;1;0,63;NA;NA;1;0,002171;NA;NA;1,18,20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;australis;1;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0099;NA;NA;70;41,5959596;NA;NA;0,004118;70;9,616161616;NA;NA;0,00095;70;0,787878788;NA;NA;0,00008;70;26,97333333;NA;NA;70;50,9;NA;NA;183;NA;NA;NA;NA;0,072;NA;NA;NA;25;NA;NA;70;0,00448;NA;NA;NA;NA;NA;NA;NA;25;NA;NA;70;0,0018;NA;NA;NA;NA;NA;NA;NA;25;NA;NA;70;5,50314413;NA;NA;70
Acartia;australis;2;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,00937;NA;NA;70;41,60085379;NA;NA;0,003898;70;9,615795091;NA;NA;0,00090;70;0,789754536;NA;NA;0,00007;70;26,90824324;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,051;NA;NA;NA;25;NA;NA;70;0,0063;NA;NA;NA;NA;NA;NA;NA;25;NA;NA;70;0,002;NA;NA;NA;NA;NA;NA;NA;25;NA;NA;70;6,96491679;NA;NA;70
Acartia;australis;3;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,00972;NA;NA;70;41,60493827;NA;NA;0,004044;70;9,619341564;NA;NA;0,00094;70;0,79218107;NA;NA;0,00008;70;26,83571429;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,055;NA;NA;NA;25;NA;NA;70;0,0042;NA;NA;NA;NA;NA;NA;NA;25;NA;NA;70;0,0017;NA;NA;NA;NA;NA;NA;NA;25;NA;NA;70;5,462679835;NA;NA;70
Acartia;australis;4;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,00747;NA;NA;70;41,6064257;NA;NA;0,003108;70;9,625167336;NA;NA;0,00072;70;0,789825971;NA;NA;0,00006;70;26,9320339;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,043;NA;NA;NA;25;NA;NA;70;0,0028;NA;NA;NA;NA;NA;NA;NA;25;NA;NA;70;0,0016;NA;NA;NA;NA;NA;NA;NA;25;NA;NA;70;3,869398217;NA;NA;70
Acartia;australis;5;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0145;NA;NA;70;41,6;NA;NA;0,006032;70;9,620689655;NA;NA;0,00140;70;0,793103448;NA;NA;0,00012;70;26,80826087;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0051;NA;NA;NA;27;NA;NA;70;NA;NA;NA;NA;0,274153729;NA;NA;NA;24,5;NA;NA;183;NA;NA;NA;NA;0,191775225;24,5;NA;NA;NA;NA;NA;183;NA;6;27;69
