source.code,original.source.code,list.name,authours,title,publication,year,volume,issue,start.page.no,end.page.no,doi,abstract
1,1,primary data,"Bergman, I; Lindstrom, ES; Sassenhagen, I",Ciliate Grazing on the Bloom-Forming Microalga Gonyostomum semen,MICROBIAL ECOLOGY,2024,87,1,NA,NA,10.1007/s00248-024-02344-9,Describe a small ciliate species (< 17 mu m) that preys on G. semen
3,3,primary data,"Llorente, A; Fraile, H; de Bikuña, BG; Seoane, S",HPLC validation as a management tool in artificial water storage ponds,LIMNOLOGICA,2024,105,,NA,NA,10.1016/j.limno.2024.126160,carried out a taxonomy-based validation for the application of HPLC to the management of two artificial water storage ponds. We also investigated the error and variability sources that affected the relationships between calculated biovolumes of phytoplankton groups and associated pigment concentrations
5,5,primary data,"Arnoldt, S; Pourdanandeh, M; Spikkeland, I; Andersson, MX; Selander, E",Mass spectroscopy reveals compositional differences in copepodamides from limnic and marine copepods,SCIENTIFIC REPORTS,2024,14,1,NA,NA,10.1038/s41598-024-53247-1,Report the consistent presence of copepodamides in copepods from six Swedish freshwater lakes.
6,6,primary data,"Sildever, S; Stewart, RIA; Tesson, SVM","Factors contributing to the potential expansion of Limnomonas gaiensis (Chlamydomonadales, Chlorophyta) in freshwater lakes in Northern Europe",EUROPEAN JOURNAL OF PHYCOLOGY,2024,59,2,169,183,10.1080/09670262.2023.2274080,Investigated the phylogeography of L. gaiensis along a latitudinal gradient 
7,7,primary data,"Zuo, YP; Southard, M; Xu, QN; Zhang, GX; Skibinski, E; Moon, N; Gan, L; Chen, YS; Jiang, L",Cell size-dependent species sensitivity to nanoparticles underlies changes in phytoplankton diversity and productivity,GLOBAL CHANGE BIOLOGY,2024,30,1,NA,NA,10.1111/gcb.17049,Effect of nanoparticales on species interactions
8,8,primary data,"Murphy, CA; Pollock, AMM; Arismendi, I; Johnson, SL",HABs and HAB nots: Dynamics of phytoplankton blooms across similar oligotrophic reservoirs,LIMNOLOGICA,2023,103,,NA,NA,10.1016/j.limno.2023.126110,"the characteristics and annual dynamics of phytoplankton communities were examined, focusing on the timing, magnitude, and predictability of cyanobacterial blooms in five multi-purpose flood-control reservoirs from the Willamette Basin, Oregon, USA"
9,9,primary data,"Blackburn-Desbiens, P; Grosbois, G; Power, M; Culp, J; Rautio, M",Integrating hydrological connectivity and zooplankton composition in Arctic ponds and lakes,FRESHWATER BIOLOGY,2023,68,12,2131,2150,10.1111/fwb.14181,Testing how well the degree of hydrological connectivity explained patterns in species composition and abundance and contributed to crustacean production
10,10,primary data,"Titocci, J; Fink, P",Disturbance alters phytoplankton functional traits and consequently drives changes in zooplankton life-history traits and lipid composition,HYDROBIOLOGIA,2024,851,1,161,180,10.1007/s10750-023-05323-2,How the loss of trait diversity of phytoplankton affects their prey
11,11,primary data,"Rogalski, MA; Ferah, U",Lake water chemistry and population of origin interact to shape fecundity and growth in Daphnia ambigua,ECOLOGY AND EVOLUTION,2023,13,6,NA,NA,10.1002/ece3.10176,"laboratory reciprocal transplant experiment to assess how animals representing these populations vary in fecundity, body size, and survival when reared in lake water from each environment."
12,12,primary data,"Ramaekers, L; Vanschoenwinkel, B; Brendonck, L; Pinceel, T",Elevated dissolved carbon dioxide and associated acidification delays maturation and decreases calcification and survival in the freshwater crustacean Daphnia magna,LIMNOLOGY AND OCEANOGRAPHY,2023,68,7,1624,1635,10.1002/lno.12372,"Here, we investigated the direct effects of elevated pCO(2) and associated acidification on the water flea Daphnia magna"
14,14,primary data,"Klasios, N; Tseng, M",Microplastics in subsurface water and zooplankton from eight lakes in British Columbia,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,2023,80,8,1248,1267,10.1139/cjfas-2022-0293,"Quantify and characterize microplastics in subsurface water and zooplankton from eight lakes in BC, Canada"
15,15,primary data,"Theus, ME; Michaels, J; Fey, SB",Interactive effects of temperature and bisphenol A on phytoplankton growth and community structure,CONSERVATION PHYSIOLOGY,2023,11,1,NA,NA,10.1093/conphys/coad021,Understanding how environmental gradients of both temperature and BPA concentration influence freshwater phytoplankton population growth and community structure
16,16,primary data,"Grzesiuk, M; Gryglewicz, E; Bentkowski, P; Pijanowska, J",Impact of Fluoxetine on Herbivorous Zooplankton and Planktivorous Fish,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,2023,42,2,385,392,10.1002/etc.5525,The effect of fluoxetine on somatic growth of daphnia magna
