"","source.code","original.source.code","list.name","authours","Article.Title","publication","year","volume","issue","start.page.no","end.page.no","doi","abstract","Author.Full.Names","ISSN","eISSN","ISBN","Book.DOI","UT..Unique.WOS.ID."
"1",1,1,"primary data","Bergman, I; Lindstrom, ES; Sassenhagen, I","Ciliate Grazing on the Bloom-Forming Microalga Gonyostomum semen","MICROBIAL ECOLOGY",2024,87,"1",NA,NA,"10.1007/s00248-024-02344-9","Describe a small ciliate species (< 17 mu m) that preys on G. semen","Bergman, Ingrid; Lindstrom, Eva S.; Sassenhagen, Ingrid","0095-3628","1432-184X","","","WOS:001145053200001"
"2",3,3,"primary data","Llorente, A; Fraile, H; de Bikuña, BG; Seoane, S","HPLC validation as a management tool in artificial water storage ponds","LIMNOLOGICA",2024,105,"",NA,NA,"10.1016/j.limno.2024.126160","carried out a taxonomy-based validation for the application of HPLC to the management of two artificial water storage ponds. We also investigated the error and variability sources that affected the relationships between calculated biovolumes of phytoplankton groups and associated pigment concentrations","Llorente, Alfredo; Fraile, Henar; de Bikuna, Begona Gartzia; Seoane, Sergio","0075-9511","1873-5851","","","WOS:001203002900001"
"3",5,5,"primary data","Arnoldt, S; Pourdanandeh, M; Spikkeland, I; Andersson, MX; Selander, E","Mass spectroscopy reveals compositional differences in copepodamides from limnic and marine copepods","SCIENTIFIC REPORTS",2024,14,"1",NA,NA,"10.1038/s41598-024-53247-1","Report the consistent presence of copepodamides in copepods from six Swedish freshwater lakes.","Arnoldt, Sina; Pourdanandeh, Milad; Spikkeland, Ingvar; Andersson, Mats X.; Selander, Erik","2045-2322","","","","WOS:001158921600069"
"4",6,6,"primary data","Sildever, S; Stewart, RIA; Tesson, SVM","Factors contributing to the potential expansion of Limnomonas gaiensis (Chlamydomonadales, Chlorophyta) in freshwater lakes in Northern Europe","EUROPEAN JOURNAL OF PHYCOLOGY",2024,59,"2",169,183,"10.1080/09670262.2023.2274080","Investigated the phylogeography of L. gaiensis along a latitudinal gradient ","Sildever, Sirje; Stewart, Rebecca I. A.; Tesson, Sylvie V. M.","0967-0262","1469-4433","","","WOS:001119041300001"
"5",7,7,"primary data","Zuo, YP; Southard, M; Xu, QN; Zhang, GX; Skibinski, E; Moon, N; Gan, L; Chen, YS; Jiang, L","Cell size-dependent species sensitivity to nanoparticles underlies changes in phytoplankton diversity and productivity","GLOBAL CHANGE BIOLOGY",2024,30,"1",NA,NA,"10.1111/gcb.17049","Effect of nanoparticales on species interactions","Zuo, Yiping; Southard, Michael; Xu, Qianna; Zhang, Guangxing; Skibinski, Emily; Moon, Nicole; Gan, Lan; Chen, Yongsheng; Jiang, Lin","1354-1013","1365-2486","","","WOS:001105424600001"
"6",8,8,"primary data","Murphy, CA; Pollock, AMM; Arismendi, I; Johnson, SL","HABs and HAB nots: Dynamics of phytoplankton blooms across similar oligotrophic reservoirs","LIMNOLOGICA",2023,103,"",NA,NA,"10.1016/j.limno.2023.126110","the characteristics and annual dynamics of phytoplankton communities were examined, focusing on the timing, magnitude, and predictability of cyanobacterial blooms in five multi-purpose flood-control reservoirs from the Willamette Basin, Oregon, USA","Murphy, Christina A.; Pollock, Amanda M. M.; Arismendi, Ivan; Johnson, Sherri L.","0075-9511","1873-5851","","","WOS:001091794800001"
"7",9,9,"primary data","Blackburn-Desbiens, P; Grosbois, G; Power, M; Culp, J; Rautio, M","Integrating hydrological connectivity and zooplankton composition in Arctic ponds and lakes","FRESHWATER BIOLOGY",2023,68,"12",2131,2150,"10.1111/fwb.14181","Testing how well the degree of hydrological connectivity explained patterns in species composition and abundance and contributed to crustacean production","Blackburn-Desbiens, Penelope; Grosbois, Guillaume; Power, Michael; Culp, Joseph; Rautio, Milla","0046-5070","1365-2427","","","WOS:001070535300001"
"8",10,10,"primary data","Titocci, J; Fink, P","Disturbance alters phytoplankton functional traits and consequently drives changes in zooplankton life-history traits and lipid composition","HYDROBIOLOGIA",2024,851,"1",161,180,"10.1007/s10750-023-05323-2","How the loss of trait diversity of phytoplankton affects their prey","Titocci, Jessica; Fink, Patrick","0018-8158","1573-5117","","","WOS:001046081300002"
"9",11,11,"primary data","Rogalski, MA; Ferah, U","Lake water chemistry and population of origin interact to shape fecundity and growth in Daphnia ambigua","ECOLOGY AND EVOLUTION",2023,13,"6",NA,NA,"10.1002/ece3.10176","laboratory reciprocal transplant experiment to assess how animals representing these populations vary in fecundity, body size, and survival when reared in lake water from each environment.","Rogalski, Mary A.; Ferah, Utku","2045-7758","","","","WOS:001015486000001"
"10",12,12,"primary data","Ramaekers, L; Vanschoenwinkel, B; Brendonck, L; Pinceel, T","Elevated dissolved carbon dioxide and associated acidification delays maturation and decreases calcification and survival in the freshwater crustacean Daphnia magna","LIMNOLOGY AND OCEANOGRAPHY",2023,68,"7",1624,1635,"10.1002/lno.12372","Here, we investigated the direct effects of elevated pCO(2) and associated acidification on the water flea Daphnia magna","Ramaekers, Lana; Vanschoenwinkel, Bram; Brendonck, Luc; Pinceel, Tom","0024-3590","1939-5590","","","WOS:000985751500001"
