"","doi","Column2"
"1","10.1016/j.simyco.2019.05.001",NA
"2","10.1016/j.simyco.2015.10.003",NA
"3","10.1128/JCM.42.11.5315-5319.2004",NA
"4","10.1016/j.simyco.2020.05.001",NA
"5","10.1016/j.simyco.2015.10.004",NA
"6","10.3114/sim.2010.65.01",NA
"7","10.1016/j.simyco.2017.11.003",NA
"8","10.3114/sim.2007.58.05",NA
"9","10.3389/fmicb.2020.01303",NA
"10","10.3114/sim.2008.61.02",NA
"11","10.3767/003158511X606239",NA
"12","10.1016/j.simyco.2015.10.002",NA
"13","10.3389/fmicb.2020.572596",NA
"14","10.1016/j.riam.2009.09.001",NA
"15","10.1007/s13225-020-00453-7",NA
"16","10.1094/PDIS-07-19-1383-PDN",NA
"17","10.1038/s41598-020-69718-0",NA
"18","10.1016/j.simyco.2014.08.001",NA
"19","10.3114/fuse.2020.05.04",NA
"20","10.3114/fuse.2021.07.10",NA
"21","10.1016/j.simyco.2021.100116",NA
"22","10.3767/persoonia.2019.43.01",NA
"23","10.3767/persoonia.2019.43.05",NA
"24","10.1007/s10482-013-9943-z",NA
"25","10.3767/003158510X500705",NA
"26","10.1038/s41598-017-07807-3",NA
"27","",NA
"28","10.3852/mycologia.97.3.718",NA
"29","10.1094/PD-89-0177",NA
"30","10.3767/003158508X324227",NA
"31","10.3767/003158516X691582",NA
"32","10.3767/003158515X685364",NA
"33","10.1099/ijs.0.018499-0",NA
"34","10.1016/j.simyco.2020.01.002",NA
"35","10.2307/3761998",NA
"36","10.1128/CMR.13.2.236",NA
"37","10.1080/22221751.2020.1785333",NA
"38","10.1080/12298093.2018.1551854",NA
"39","10.5941/MYCO.2014.42.4.401",NA
"40","10.15560/16.4.907",NA
"41","10.5941/MYCO.2015.43.4.392",NA
"42",NA,""
"43",NA,"The forcible discharge distance of ascospores of Gibberelia zeae"
"44",NA,"Clonostachys moreaui (Hypocreales, Bionectriaceae), a new species from the island of Madeira (Portugal)"
"45",NA,"Thermophilic fungi: taxonomy and biogeography"
"46",NA,"Isaria takamizusanensis is the anamorph of Cordyceps ryogamimontana, warranting a new combination, Purpureocillium takamizusanense comb. Nov"
"47",NA,"Isaria takamizusanensis is the anamorph of Cordyceps ryogamimontana, warranting a new combination, Purpureocillium takamizusanense comb. nov"
"48",NA,"Descriptions of medical fung"
"49",NA,"Rhodosporidium diobovatum sp. n., the perfect form of an asporogenous yeast (Rhodotorula sp.)"
"50",NA,"A taxonomic summary and revision of Rhizophydium (Rhizophydiales, Chytridiomycota"
"51",NA,"A new species of Mortierella, and an associated sporangiiferous mycoparasite in a new genus, Nothadelphia"
"52",NA,"Characterization of a zygomycete fungus, Mortierella minutissima from freshwater of Yeongsan river in Korea"
"53",NA,"Molecular characterization and genetic diversity of four undescribed novel oleaginous Mortierella alpina strains from Libya"
