"","paper","doi"
"1","Kopečná J., Jirků M., Oborník M., Tokarev Y., Lukeš J., Modrý D. : Phylogenetic Analysis of Coccidian Parasites from Invertebrates: Search for Missing Links, Protist, 2006, 157(2), 173-183, doi: 10.1016/j.protis.2006.02.005","10.1016/j.protis.2006.02.005"
"2","Medina‐Durán J., Mayén‐Estrada R., Mariño‐Pérez R., Song H. : Morphology and Phylogenetic Position of Two New Gregarine Species (Apicomplexa: Eugregarinorida) Parasitizing the Lubber Grasshopper Taeniopoda centurio (Drury, 1770) (Insecta: Orthoptera: Romaleidae) in Mexico, Journal of Eukaryotic Microbiology, 2019, 67(1), 4-17, doi: 10.1111/jeu.12748","10.1111/jeu.12748"
"3","Clopton R. E. : Leidyana migrator n. sp. (Apicomplexa: Eugregarinida: Leidyanidae) from the Madagascar Hissing Cockroach, Gromphadorhina portentosa (Insecta: Blattodea), Invertebrate Biology, 1995, 114(4), 271, doi: 10.2307/3226836","10.2307/3226836"
"4","Levine N. : Three New Species of Ascocystis (Apicomplexa, Lecudinidae) From Mosquitoes*, The Journal of Protozoology, 1980, 27(2), 147-151, doi: 10.1111/j.1550-7408.1980.tb04669.x","10.1111/j.1550-7408.1980.tb04669.x"
"5","Leander B. S. : Marine gregarines: evolutionary prelude to the apicomplexan radiation?, Trends in Parasitology, 2008, 24(2), 60-67, doi: 10.1016/j.pt.2007.11.005","10.1016/j.pt.2007.11.005"
"6","Leander B., Kuvardina O., Aleshin V., Mylnikov A., Keeling P. : Molecular Phylogeny and Surface Morphology of Colpodella edax (Alveolata): Insights into the Phagotrophic Ancestry of Apicomplexans, The Journal of Eukaryotic Microbiology, 2003, 50(5), 334-340, doi: 10.1111/j.1550-7408.2003.tb00145.x","10.1111/j.1550-7408.2003.tb00145.x"
"7","Simpson A. G. B. , Patterson D. J. : Ultrastructure and identification of the predatory flagellate Colpodella pugnax Cienkowski (Apicomplexa) with a description of Colpodella turpis n. sp. and a review of the genus, Systematic Parasitology, 1996, 33(3), 187-198, doi: 10.1007/bf01531200","10.1007/bf01531200"
"8","Bourland W., Rotterová J., Čepička I. : Morphologic and molecular characterization of seven species of the remarkably diverse and widely distributed metopid genus Urostomides Jankowski, 1964 (Armophorea, Ciliophora), European Journal of Protistology, 2017, 61, 194-232, doi: 10.1016/j.ejop.2017.07.003","10.1016/j.ejop.2017.07.003"
"9","Bourland W., Wendell L. : Redescription of Atopospira galeata (Kahl, 1927) nov. comb. and A. violacea (Kahl, 1926) nov. comb. with redefinition of Atopospira Jankowski, 1964 nov. stat. and Brachonella Jankowski, 1964 (Ciliophora, Armophorida), European Journal of Protistology, 2014, 50(4), 356-372, doi: 10.1016/j.ejop.2014.05.004","10.1016/j.ejop.2014.05.004"
"10","Foissner W. : Heterometopus meisterfeldi nov. gen., nov. spec. (Protozoa, Ciliophora), a new metopid from Australia, European Journal of Protistology, 2016, 55, 118-127, doi: 10.1016/j.ejop.2015.11.005","10.1016/j.ejop.2015.11.005"
"11","Finlay B., Fenchel T. : Polymorphic bacterial symbionts in the anaerobic ciliated protozoon Metopus, FEMS Microbiology Letters, 1991, 79(2-3), 187-190, doi: 10.1111/j.1574-6968.1991.tb04526.x","10.1111/j.1574-6968.1991.tb04526.x"
"12","Bourland W, Rotterová J, Čepička I : Morphologic and molecular characterization of Brachonella pulchra (Kahl, 1927) comb. nov. (Armophorea, Ciliophora) with comments on cyst structure and formation, International Journal of Systematic and Evolutionary Microbiology, 2018, 68, 3052–3065, doi: 10.1099/ijsem.0.002888","10.1099/ijsem.0.002888"
