"","Reference for sizes"
"1","K. Krammer and H. Lange-Bertalot. Bacillariophyceae 4. Teil: Achnanthaceae. Kritische Ergänzungen zu Navicula (Lineolatae) und Gomphonema. Gesamtliteraturverzeichnis Teil 14.  1991. 437 pages.
"
"2","K. Krammer and H. Lange-Bertalot. Bacillariophyceae 1. Teil: Naviculaceae.  1986. 876 pages.
"
"3","K. Krammer and H. Lange-Bertalot. Bacillariophyceae 3. Teil: Centrales, Fragilariaceae, Eunotiaceae., 1991. 576  pages."
"4","Bibliotheca Diatomologica 46, 2002, Van de Vijver."
"5","M. Potapova and K. C. Ponader. Two common North American diatoms, Achnanthidium rivulare sp. nov. and A. deflexum (Reimer) Kingston: morphology, ecology and comparison with related species. Diatom Research 19 (1):33-57, 2004."
"6","Biovolume of ADMI"
"7","O. Monnier, H. Lange-Bertalot, F. Rimet, L. Hoffmann, and L. Ector. Achnanthidium atomoides sp. nov., a new diatom from the Grand-Duchy of Luxembourg. Vie Milieu 54:127-136, 2004.
"
"8","K. Krammer and H. Lange-Bertalot. Bacillariophyceae 4. Teil: Achnanthaceae. Kritische Ergänzungen zu Navicula (Lineolatae) und Gomphonema. Gesamtliteraturverzeichnis Teil 14.  1991. 437 pages."
"9","K. Krammer and H. Lange-Bertalot. Bacillariophyceae 1. Teil: Naviculaceae.  1986. 876 pages. Biovolume ADLS
"
"10","M. Potapova and K. C. Ponader. Two common North American diatoms, Achnanthidium rivulare sp. nov. and A. deflexum (Reimer) Kingston: morphology, ecology and comparison with related species. Diatom Research 19 (1):33-57, 2004.
"
"11","Bibliotheca Diatomologica Band 18"
"12","Bibliotheca Diatomologica 18"
"13","Bibliotheca Diatomologica Band 29 and Band 27"
"14","Simonsen 1987, plate 221"
"15","Simonsen 1987, plate 505"
"16","K. Krammer and H. Lange-Bertalot. Bacillariophyceae 1. Teil: Naviculaceae.  1986. 876 pages. Biovolume de ACOP
"
"17","K. Krammer and H. Lange-Bertalot. Bacillariophyceae 1. Teil: Naviculaceae.  1986. 876 pages. Biovolume Amphipleura pellucida"
"18","Diatom of Europe, vol 2."
"19","Diatom of Europe 2"
"20","K. Krammer and H. Lange-Bertalot. Bacillariophyceae 1. Teil: Naviculaceae.  1986. 876 pages."
"21","Iconographia diatomologica 13"
"22","Simonsen, plate 506"
"23","Van Heurck, H. 1896. A Treatise on the Diatomaceae. Translated by W.E. Baxter. William Wesley & Son, London. 558 pp., 35 pls."
"24","Iconographia Diatomologica 18"
"25","Iconographia diatomologica, volume 2, 1996"
"26","H. Lange-Bertalot and G. Moser. Brachysira. Monographie der Gattung. Bibliotheca Diatomologica 29:1-212, 1994.
"
"27","Iconogrphia Diatomologica 13"
"28","K. Krammer and H. Lange-Bertalot. Bacillariophyceae 2. Teil: Bacillariaceae, Epithemiaceae, Surirellaceae.  1988. 596 pages."
"29","H. Lange-Bertalot and G. Moser. Brachysira. Monographie der Gattung. Bibliotheca Diatomologica 29:1-212, 1994. Biovolume de BNEO
"
"30","Diatom of Europe 3"
"31","K. Krammer and H. Lange-Bertalot. Bacillariophyceae 1. Teil: Naviculaceae.  1986. 876 pages. Biovolume de CBAC"
"32","ADIAC website"
"33","F. E. Round, R. M. Crawford, and D. G. Mann. The diatoms. Biology, morphology of the genera., 1990. 747 pages. + personnal observations on cultures + F. Rimet, L. Ector, H. M. Cauchie, and L. Hoffmann. Changes in diatom-dominated biofilms during simulated improvements in water quality: implications for diatom-based monitoring in rivers. Eur.J.Phycol. 44:567-577, 2009.
"
"34","Diatom of Europe 4"
"35","Diatoms of Europe 4."
"36","Diatoms of Europe 4. idem biovol CBAN"
