body size,source code,Authors,Article Title,Source Title,Publication Year,Volume,Issue,Start Page,End Page,DOI,Abstract
D,1,"Bergman, I; Lindstrom, ES; Sassenhagen, I",Ciliate Grazing on the Bloom-Forming Microalga Gonyostomum semen,MICROBIAL ECOLOGY,2024,87,1,,,10.1007/s00248-024-02344-9,Describe a small ciliate species (< 17 mu m) that preys on G. semen
D,3,"Llorente, A; Fraile, H; de Bikuña, BG; Seoane, S",HPLC validation as a management tool in artificial water storage ponds,LIMNOLOGICA,2024,105,,,,10.1016/j.limno.2024.126160,carried out a taxonomy-based validation for the application of HPLC to the management of two artificial water storage ponds. We also investigated the error and variability sources that affected the relationships between calculated biovolumes of phytoplankton groups and associated pigment concentrations
D,5,"Arnoldt, S; Pourdanandeh, M; Spikkeland, I; Andersson, MX; Selander, E",Mass spectroscopy reveals compositional differences in copepodamides from limnic and marine copepods,SCIENTIFIC REPORTS,2024,14,1,,,10.1038/s41598-024-53247-1,Report the consistent presence of copepodamides in copepods from six Swedish freshwater lakes.
D,6,"Sildever, S; Stewart, RIA; Tesson, SVM","Factors contributing to the potential expansion of Limnomonas gaiensis (Chlamydomonadales, Chlorophyta) in freshwater lakes in Northern Europe",EUROPEAN JOURNAL OF PHYCOLOGY,2024,59,2,169,183,10.1080/09670262.2023.2274080,Investigated the phylogeography of L. gaiensis along a latitudinal gradient 
D,7,"Zuo, YP; Southard, M; Xu, QN; Zhang, GX; Skibinski, E; Moon, N; Gan, L; Chen, YS; Jiang, L",Cell size-dependent species sensitivity to nanoparticles underlies changes in phytoplankton diversity and productivity,GLOBAL CHANGE BIOLOGY,2024,30,1,,,10.1111/gcb.17049,Effect of nanoparticales on species interactions
D,8,"Murphy, CA; Pollock, AMM; Arismendi, I; Johnson, SL",HABs and HAB nots: Dynamics of phytoplankton blooms across similar oligotrophic reservoirs,LIMNOLOGICA,2023,103,,,,10.1016/j.limno.2023.126110,"the characteristics and annual dynamics of phytoplankton communities were examined, focusing on the timing, magnitude, and predictability of cyanobacterial blooms in five multi-purpose flood-control reservoirs from the Willamette Basin, Oregon, USA"
D,9,"Blackburn-Desbiens, P; Grosbois, G; Power, M; Culp, J; Rautio, M",Integrating hydrological connectivity and zooplankton composition in Arctic ponds and lakes,FRESHWATER BIOLOGY,2023,68,12,2131,2150,10.1111/fwb.14181,Testing how well the degree of hydrological connectivity explained patterns in species composition and abundance and contributed to crustacean production
D,10,"Titocci, J; Fink, P",Disturbance alters phytoplankton functional traits and consequently drives changes in zooplankton life-history traits and lipid composition,HYDROBIOLOGIA,2024,851,1,161,180,10.1007/s10750-023-05323-2,How the loss of trait diversity of phytoplankton affects their prey
D,11,"Rogalski, MA; Ferah, U",Lake water chemistry and population of origin interact to shape fecundity and growth in Daphnia ambigua,ECOLOGY AND EVOLUTION,2023,13,6,,,10.1002/ece3.10176,"laboratory reciprocal transplant experiment to assess how animals representing these populations vary in fecundity, body size, and survival when reared in lake water from each environment."
D,12,"Ramaekers, L; Vanschoenwinkel, B; Brendonck, L; Pinceel, T",Elevated dissolved carbon dioxide and associated acidification delays maturation and decreases calcification and survival in the freshwater crustacean Daphnia magna,LIMNOLOGY AND OCEANOGRAPHY,2023,68,7,1624,1635,10.1002/lno.12372,"Here, we investigated the direct effects of elevated pCO(2) and associated acidification on the water flea Daphnia magna"
D,14,"Klasios, N; Tseng, M",Microplastics in subsurface water and zooplankton from eight lakes in British Columbia,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,2023,80,8,1248,1267,10.1139/cjfas-2022-0293,"Quantify and characterize microplastics in subsurface water and zooplankton from eight lakes in BC, Canada"
D,15,"Theus, ME; Michaels, J; Fey, SB",Interactive effects of temperature and bisphenol A on phytoplankton growth and community structure,CONSERVATION PHYSIOLOGY,2023,11,1,,,10.1093/conphys/coad021,Understanding how environmental gradients of both temperature and BPA concentration influence freshwater phytoplankton population growth and community structure
D,16,"Grzesiuk, M; Gryglewicz, E; Bentkowski, P; Pijanowska, J",Impact of Fluoxetine on Herbivorous Zooplankton and Planktivorous Fish,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,2023,42,2,385,392,10.1002/etc.5525,The effect of fluoxetine on somatic growth of daphnia magna
D,17,"Zheng, SW; Wang, R; Kainz, MJ; Liu, CY; Li, PW; Li, ZX; Yan, HY; Yin, DQ","How phytoplankton biomass controls metal(loid) bioaccumulation in size-fractionated plankton in anthropogenic-impacted subtropical lakes: A comprehensive study in the Yangtze River Delta, China",WATER RESEARCH,2022,224,,,,10.1016/j.watres.2022.119075,"Investigated the bioaccumulation of eight metal(loid)s (As, Co, Cu, Hg, Mn, Pb, Se, and Zn) in plankton"
D,18,"Lachapelle, J; Bestion, E; Jackson, EE; Schaum, CE",Presence of a resident species aids invader evolution,LIMNOLOGY AND OCEANOGRAPHY,2022,67,10,2252,2264,10.1002/lno.12200,(1) how the presence of a locally adapted phytoplankton species will affect an invading phytoplankton species' evolutionary response to a physiologically challenging environment; (2) whether this response is conserved across environments varying in quality; and (3) which traits are associated with being a successful invader under climate change scenarios
D,19,"Baker, HK; Li, SS; Samu, SC; Jones, NT; Symons, CC; Shurin, JB",Prey naivete alters the balance of consumptive and non-consumptive predator effects and shapes trophic cascades in freshwater plankton,OIKOS,2022,2022,11,,,10.1111/oik.09173,How the ecological and evolutionary experience that prey share with a given predator determine their position along the trade off curve of consumptive (CEs) and non-consumptive predator effects (NCEs).
D,21,"Titocci, J; Fink, P","Food quality impacts on reproductive traits, development and fatty acid composition of the freshwater calanoid copepod Eudiaptomus sp.",JOURNAL OF PLANKTON RESEARCH,2022,44,4,528,541,10.1093/plankt/fbac030,Supplied five different phytoplankton diets to the freshwater calanoid copepod Eudiaptomus sp. to investigate their dietary quality for the copepods' fitness traits over the copepod's entire life cycle
D,22,"Gu, L; Qin, SS; Sun, YF; Huang, J; Akbar, S; Zhang, L; Yang, Z",Coping with antagonistic predation risks: Predator-dependent unique responses are dominant in Ceriodaphnia cornuta,MOLECULAR ECOLOGY,2022,31,14,3951,3962,10.1111/mec.16550,"Based on antagonistic predation pressure froman invertebrate (Chaoborus larvae) and a vertebrate (Rhodeus ocellatus) predator, westudied the responses of multiple traits and transcriptomes of the freshwater crus-tacean Ceriodaphnia cornuta under multiple predation risks."
D,25,"Ramaekers, L; Pinceel, T; Brendonck, L; Vanschoenwinkel, B",Direct effects of elevated dissolved CO2 can alter the life history of freshwater zooplankton,SCIENTIFIC REPORTS,2022,12,1,,,10.1038/s41598-022-10094-2,The extent to which freshwater zooplankton may be directly affectedby dissolved CO2 levels (pCO2) 
D,26,"Gomes, ACAM; Macêdo, RL; Gomes, LF; Velho, LFM; Rocha, O; Vieira, LCG","Range expansion of Kellicottia bostoniensis (Rousselet, 1908) (Rotifera) throughout a biogeographic boundary between the Brazilian savanna and the Amazon",AQUATIC SCIENCES,2022,84,2,,,10.1007/s00027-022-00861-8,surveying Kellicottia bostoniensis in Araguaia River
D,29,"Kim, K; Taylor, DJ",Thermal phenotypic plasticity of the second limb in Daphnia,JOURNAL OF PLANKTON RESEARCH,2022,44,2,259,267,10.1093/plankt/fbac003,Thermal phenotypic plasticity of the second limb in Daphnia
D,30,"Dao, TS; Nguyen, VT; Baduel, C; Bui, MH; Tran, VT; Pham, TL; Bui, BT; Dinh, KV",Toxicity of di-2-ethylhexyl phthalate and tris (2-butoxyethyl) phosphate to a tropical micro-crustacean (Ceriodaphnia cornuta) is higher in Mekong River water than in standard laboratory medium,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2022,29,26,39777,39789,10.1007/s11356-022-18993-7,Effect of di(2-ethylhexyl) phthalate (DEHP) and tris (2-butoxyethyl) phosphate (TBOEP) on C.cornuta
D,32,"Mohanty, TR; Tiwari, NK; Kumari, S; Ray, A; Manna, RK; Bayen, S; Roy, S; Das Gupta, S; Ramteke, MH; Swain, HS; Bhor, M; Das, BK",Variation of Aulacoseira granulata as an eco-pollution indicator in subtropical large river Ganga in India: a multivariate analytical approach,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2022,29,25,37498,37512,10.1007/s11356-021-18096-9,assess major environmental factors which contribute to A. granulata bloom in the riverine system
D,35,"Govaert, L; De Meester, L; Rousseaux, S; Declerck, SAJ; Pantel, JH",Measuring the contribution of evolution to community trait structure in freshwater zooplankton,OIKOS,2021,130,10,1773,1787,10.1111/oik.07885,when evolutionary processes are likely to play an important role in structuring community features
D,37,"Caputo, L; Fuentes, R; Woelfl, S; Castañeda, LE; Cárdenas, L","Phenotypic plasticity of clonal populations of the freshwater jellyfish Craspedacusta sowerbii (Lankester, 1880) in Southern Hemisphere lakes (Chile) and the potential role of the zooplankton diet",AUSTRAL ECOLOGY,2021,46,8,1192,1197,10.1111/aec.13087,report synchronous blooms of clonal populations of C. sowerbii in two nordpatagonian lakes
D,38,"Flöder, S; Yong, J; Klauschies, T; Gaedke, U; Poprick, T; Brinkhoff, T; Moorthi, S",Intraspecific trait variation alters the outcome of competition in freshwater ciliates,ECOLOGY AND EVOLUTION,2021,11,15,10225,10243,10.1002/ece3.7828,we investigate how intraspecific trait variation affects the competition between the freshwater ciliates Euplotes octocarinatus and Coleps hirtus in a nitrogen-limited chemostat system
