"","Authors","Article.Title","Source.Title","Publication.Year","Volume","Issue","Start.Page","End.Page","DOI","body.size","Abstract"
"1","Bergman, I; Lindstrom, ES; Sassenhagen, I","Ciliate Grazing on the Bloom-Forming Microalga Gonyostomum semen","MICROBIAL ECOLOGY",2024,87,"1",NA,NA,"10.1007/s00248-024-02344-9","D","Describe a small ciliate species (< 17 mu m) that preys on G. semen"
"2","Wander, HL; Lewis, ASL; Howard, DW; Lofton, ME; Woelmer, WM; Brown, BL; Carey, CC","Zooplankton community structure and diel migration patterns vary over hours, days, and years in the pelagic and littoral zone of a eutrophic reservoir","JOURNAL OF PLANKTON RESEARCH",2024,46,"3",307,322,"10.1093/plankt/fbae017",NA,NA
"3","Llorente, A; Fraile, H; de Bikuña, BG; Seoane, S","HPLC validation as a management tool in artificial water storage ponds","LIMNOLOGICA",2024,105,"",NA,NA,"10.1016/j.limno.2024.126160","D","carried out a taxonomy-based validation for the application of HPLC to the management of two artificial water storage ponds. We also investigated the error and variability sources that affected the relationships between calculated biovolumes of phytoplankton groups and associated pigment concentrations"
"4","Kim, JO; Dimitriou, A; Forster, I; Tseng, M","Heatwave-mediated decreases in phytoplankton quality negatively affect zooplankton productivity","FUNCTIONAL ECOLOGY",2024,38,"4",778,791,"10.1111/1365-2435.14530",NA,NA
"5","Arnoldt, S; Pourdanandeh, M; Spikkeland, I; Andersson, MX; Selander, E","Mass spectroscopy reveals compositional differences in copepodamides from limnic and marine copepods","SCIENTIFIC REPORTS",2024,14,"1",NA,NA,"10.1038/s41598-024-53247-1","D","Report the consistent presence of copepodamides in copepods from six Swedish freshwater lakes."
"6","Sildever, S; Stewart, RIA; Tesson, SVM","Factors contributing to the potential expansion of Limnomonas gaiensis (Chlamydomonadales, Chlorophyta) in freshwater lakes in Northern Europe","EUROPEAN JOURNAL OF PHYCOLOGY",2024,59,"2",169,183,"10.1080/09670262.2023.2274080","D","Investigated the phylogeography of L. gaiensis along a latitudinal gradient "
"7","Zuo, YP; Southard, M; Xu, QN; Zhang, GX; Skibinski, E; Moon, N; Gan, L; Chen, YS; Jiang, L","Cell size-dependent species sensitivity to nanoparticles underlies changes in phytoplankton diversity and productivity","GLOBAL CHANGE BIOLOGY",2024,30,"1",NA,NA,"10.1111/gcb.17049","D","Effect of nanoparticales on species interactions"
"8","Murphy, CA; Pollock, AMM; Arismendi, I; Johnson, SL","HABs and HAB nots: Dynamics of phytoplankton blooms across similar oligotrophic reservoirs","LIMNOLOGICA",2023,103,"",NA,NA,"10.1016/j.limno.2023.126110","D","the characteristics and annual dynamics of phytoplankton communities were examined, focusing on the timing, magnitude, and predictability of cyanobacterial blooms in five multi-purpose flood-control reservoirs from the Willamette Basin, Oregon, USA"
"9","Blackburn-Desbiens, P; Grosbois, G; Power, M; Culp, J; Rautio, M","Integrating hydrological connectivity and zooplankton composition in Arctic ponds and lakes","FRESHWATER BIOLOGY",2023,68,"12",2131,2150,"10.1111/fwb.14181","D","Testing how well the degree of hydrological connectivity explained patterns in species composition and abundance and contributed to crustacean production"
"10","Titocci, J; Fink, P","Disturbance alters phytoplankton functional traits and consequently drives changes in zooplankton life-history traits and lipid composition","HYDROBIOLOGIA",2024,851,"1",161,180,"10.1007/s10750-023-05323-2","D","How the loss of trait diversity of phytoplankton affects their prey"
"11","Rogalski, MA; Ferah, U","Lake water chemistry and population of origin interact to shape fecundity and growth in Daphnia ambigua","ECOLOGY AND EVOLUTION",2023,13,"6",NA,NA,"10.1002/ece3.10176","D","laboratory reciprocal transplant experiment to assess how animals representing these populations vary in fecundity, body size, and survival when reared in lake water from each environment."
"12","Ramaekers, L; Vanschoenwinkel, B; Brendonck, L; Pinceel, T","Elevated dissolved carbon dioxide and associated acidification delays maturation and decreases calcification and survival in the freshwater crustacean Daphnia magna","LIMNOLOGY AND OCEANOGRAPHY",2023,68,"7",1624,1635,"10.1002/lno.12372","D","Here, we investigated the direct effects of elevated pCO(2) and associated acidification on the water flea Daphnia magna"
"13","Tökölyi, J","Warming increases survival and asexual fitness in a facultatively sexual freshwater cnidarian with winter diapause","ECOLOGY AND EVOLUTION",2023,13,"4",NA,NA,"10.1002/ece3.9981",NA,NA
"14","Klasios, N; Tseng, M","Microplastics in subsurface water and zooplankton from eight lakes in British Columbia","CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES",2023,80,"8",1248,1267,"10.1139/cjfas-2022-0293","D","Quantify and characterize microplastics in subsurface water and zooplankton from eight lakes in BC, Canada"
"15","Theus, ME; Michaels, J; Fey, SB","Interactive effects of temperature and bisphenol A on phytoplankton growth and community structure","CONSERVATION PHYSIOLOGY",2023,11,"1",NA,NA,"10.1093/conphys/coad021","D","Understanding how environmental gradients of both temperature and BPA concentration influence freshwater phytoplankton population growth and community structure"
"16","Grzesiuk, M; Gryglewicz, E; Bentkowski, P; Pijanowska, J","Impact of Fluoxetine on Herbivorous Zooplankton and Planktivorous Fish","ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY",2023,42,"2",385,392,"10.1002/etc.5525","D","The effect of fluoxetine on somatic growth of daphnia magna"
"17","Zheng, SW; Wang, R; Kainz, MJ; Liu, CY; Li, PW; Li, ZX; Yan, HY; Yin, DQ","How phytoplankton biomass controls metal(loid) bioaccumulation in size-fractionated plankton in anthropogenic-impacted subtropical lakes: A comprehensive study in the Yangtze River Delta, China","WATER RESEARCH",2022,224,"",NA,NA,"10.1016/j.watres.2022.119075","D","Investigated the bioaccumulation of eight metal(loid)s (As, Co, Cu, Hg, Mn, Pb, Se, and Zn) in plankton"
"18","Lachapelle, J; Bestion, E; Jackson, EE; Schaum, CE","Presence of a resident species aids invader evolution","LIMNOLOGY AND OCEANOGRAPHY",2022,67,"10",2252,2264,"10.1002/lno.12200","D","(1) how the presence of a locally adapted phytoplankton species will affect an invading phytoplankton species' evolutionary response to a physiologically challenging environment; (2) whether this response is conserved across environments varying in quality; and (3) which traits are associated with being a successful invader under climate change scenarios"
"19","Baker, HK; Li, SS; Samu, SC; Jones, NT; Symons, CC; Shurin, JB","Prey naivete alters the balance of consumptive and non-consumptive predator effects and shapes trophic cascades in freshwater plankton","OIKOS",2022,2022,"11",NA,NA,"10.1111/oik.09173","D","How the ecological and evolutionary experience that prey share with a given predator determine their position along the trade off curve of consumptive (CEs) and non-consumptive predator effects (NCEs)."
"20","Tszydel, M; Blonska, D","Intra- and interspecific competition resulting from spatial coexistence among larvae of closely-related caddisflies from the genus Hydropsyche","PEERJ",2022,10,"",NA,NA,"10.7717/peerj.13576",NA,NA
