original.taxa.name,resolved.taxa.name,resolved.source
chlorelloidea sp.,Myxococcoides chlorelloidea,manually
anabaena flos-aquae f. lemmermannii,Dolichospermum lemmermannii,manually
anabaena flos-aquae var. treleasii,Dolichospermum flosaquae,manually
cf mantellum sp.,Mantellum,manually
stomatocyst 130,Chrysophyceae,manually
anabaena bergii var. limneticum,Anabaena bergii var. limnetica,manually
stomatocyst 114,Chrysophyceae,manually
cell of dinobryon,Dinobryon,manually
scenedesmus lefevrii var. manguinii,Scenedesmus lefevrei var. manguinii,manually
cf. katodinium fongiforme,Katodinium fungiforme,manually
stomatocyst fr1,Chrysophyceae,manually
stomatocyst sp.,Chrysophyceae,manually
volvocale 4 flagella,Chlamydomonadales,manually
palmeacea sp.,Palmellaceae,manually
cosmarium novae-semliae var. sibericum,Cosmarium novae-semliae var. sibiricum,manually
stomatocyst 153,Chrysophyceae,manually
stomatocyst 2 spines,Chrysophyceae,manually
cysts of chrysophyceae (14*SpecChar*),Chrysophyceae,manually
stomatocyst 219,Chrysophyceae,manually
stomatocyst 5 spines,Chrysophyceae,manually
ulothricophyceae sp.,Chlorophyceae,manually
stomatocyst 3 spines,Chrysophyceae,manually
stomatocyst 62,Chrysophyceae,manually
stomatocyst 4 spines,Chrysophyceae,manually
stomatocyst 6 spines,Chrysophyceae,manually
staurastrum johnsoni var. triradiatum,Staurastrum johnsonii var. triradiatum,manually
staurastrum messikomerii f. planctonicum,Staurastrum messikommeri,manually
cysts of chrysophyceae (30*SpecChar*),Chrysophyceae,manually
staurastrum sebaldii var. ornatum,Staurastrum sebaldi var. ornatum,manually
staurastrum sebaldii var. ornatum f quadriradiata,Staurastrum manfeldtii,manually
bulbochaeta,Bulbochaete,manually
paralauterboniella,Paralauterborniella,manually
stichtochironomus,Chironomus,manually
nadinatella,Nadinatella,manually
afroneurus ethiopicus,Heptageniidae,manually
adenophleboides,Adenophlebiodes,manually
gomphidia quarreli confinii,Gomphidia quarrei,manually
thaumeliidae,Thaumaleidae,manually
bosminids spp.,Bosminidae,manually
ceriopdaphnia sp.,Ceriodaphnia,manually
daphniids spp.,Daphniidae,manually
diaptomiids spp.,Diaptomus,manually
harpacticoids spp.,Harpacticoida,manually
copepodit calanoida,Calanoida,manually
copepodit cyclopoida,Cyclopoida,manually
nauplii copepoda,Copepoda,manually
scenedesmus quadricauda var. longispinus,Scenedesmus quadricauda var. longispina,manually
pseudotetra*SpecChar*driella kamillae,Pseudotetraedriella kamillae,manually
tetra*SpecChar*driella,Tetradriella,manually
tetra*SpecChar*driella jovetti,Tetraedriella jovetii,manually
tetra*SpecChar*driella regularis,Tetraedriella regularis,manually
achnanthidium minutissima var. affinis,chnanthidium affine,manually
caloneis schumanniana var. biconstricta f.  minor,NA,NA
encyonema silesiacum var. latestriata,Encyonema silesiacum,manually
nitzschia liebetruthii var. liebetruthii,Nitzschia liebethruthii,manually
pinnularia acrospheria var. acrospheria,Pinnularia acrosphaeria,manually
cyclopoid copepod,Cyclopoida,manually
harpacticoid sp.,Harpacticoida,manually
calanoid,Calanoida,manually
cyclopoid,Cyclopoida,manually
nauplii,Copepoda,manually
stonefly,Plecoptera,manually
mayfly,Ephemeroptera,manually
anabena,Anabaena,manually
bdelodea,Bdelloidea,manually
synechoccus,Synechococcus,manually
non identified ciliate,Ciliophora,manually
tintinidium sp.,Tintinnidium,manually
copepodite,Copepoda,manually
ciclopoida,Cyclopoida,manually
chlorococcoum sp.,Chlorococcum,manually
euglenofita,Euglenophyta,manually
peridinial,Peridiniales,manually
fitoflagelado,couldn't resolve,manually
volvocal sp.2,Chlamydomonadales,manually
volvocal sp.1,Chlamydomonadales,manually
dinoflagelado desnudo,Dinoflagellata,manually
raphydophyta,Raphidophyceae,manually
pseudocuadrigula sp,couldn't resolve,manually
polynucleobacterwuianus,Polynucleobacter wuianus,manually
polynucleobacterasymbioticus,Polynucleobacter asymbioticus,manually
polynucleobacterduraquae,Polynucleobacter duraquae,manually
polynucleobactersinensis,Polynucleobacter sinensis,manually
polynucleobacteryangtzensis,Polynucleobacter yangtzensis,manually
bothriococcus,Botryococcus,manually
fragillaria,Fragilaria,manually
gloeomonas*SpecChar*kupfferi,Gloeomonas kupfferi,manually
monoraphidium*SpecChar*arcuatum,Monoraphidium arcuatum,manually
kijanebalola*SpecChar*devestiva,Kijanebalola devestiva,manually
chrysomonad,Chrysomonadales,manually
coconeis sp.,Cocconeis,manually
